Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
purity_package,purity_package.main_purity_module,439,13,NameExpr,Tuple[AnotherPureClass],Tuple[ClassPure],Tuple[AnotherPureClass],2024-12-15 01:02:13.877646
purity_package,purity_package.main_purity_module,439,13,CallExpr,Tuple[AnotherPureClass],Tuple[ClassPure],Tuple[AnotherPureClass],2024-12-15 01:07:51.085281
purity_package,purity_package.main_purity_module,439,13,MemberExpr,Tuple[AnotherPureClass],Tuple[ClassPure],Tuple[AnotherPureClass],2024-12-15 01:07:51.087275
purity_package,purity_package.main_purity_module,439,13,IndexExpr,Tuple[AnotherPureClass],Tuple[ClassPure],Tuple[AnotherPureClass],2024-12-15 01:07:51.089269
purity_package,purity_package.main_purity_module,439,13,NameExpr,Tuple[AnotherPureClass],Tuple[ClassPure],Tuple[AnotherPureClass],2024-12-15 01:07:51.092530
purity_package,purity_package.main_purity_module,439,13,CallExpr,Tuple[AnotherPureClass],Tuple[ClassPure],Tuple[AnotherPureClass],2024-12-15 12:03:16.014533
purity_package,purity_package.main_purity_module,439,13,MemberExpr,Tuple[AnotherPureClass],Tuple[ClassPure],Tuple[AnotherPureClass],2024-12-15 12:03:16.017530
purity_package,purity_package.main_purity_module,439,13,IndexExpr,Tuple[AnotherPureClass],Tuple[ClassPure],Tuple[AnotherPureClass],2024-12-15 12:03:16.018754
purity_package,purity_package.main_purity_module,439,13,NameExpr,Tuple[AnotherPureClass],Tuple[ClassPure],Tuple[AnotherPureClass],2024-12-15 12:03:16.019773
purity_package,purity_package.main_purity_module,439,13,CallExpr,Tuple[AnotherPureClass],Tuple[ClassPure],Tuple[AnotherPureClass],2024-12-15 12:06:41.057444
purity_package,purity_package.main_purity_module,439,13,MemberExpr,Tuple[AnotherPureClass],Tuple[ClassPure],Tuple[AnotherPureClass],2024-12-15 12:06:41.058480
purity_package,purity_package.main_purity_module,439,13,IndexExpr,Tuple[AnotherPureClass],Tuple[ClassPure],Tuple[AnotherPureClass],2024-12-15 12:06:41.059800
purity_package,purity_package.main_purity_module,439,13,NameExpr,Tuple[AnotherPureClass],Tuple[ClassPure],Tuple[AnotherPureClass],2024-12-15 12:06:41.059800
astroid,astroid.bases,133,28,NameExpr,"UnionType[ClassDef, Lambda, Proxy, None]",,"UnionType[nodes, nodes, Proxy, None]",2024-12-15 14:58:01.237832
astroid,astroid.bases,123,11,NameExpr,"UnionType[ClassDef, Lambda, Proxy, None]",,"UnionType[nodes, nodes, Proxy, None]",2024-12-15 14:58:01.239899
astroid,astroid.bases,171,46,NameExpr,"UnionType[NodeNG, Instance, None]",,"UnionType[nodes, Instance, None]",2024-12-15 14:58:01.280838
astroid,astroid.bases,195,18,NameExpr,"UnionType[NodeNG, Instance, None]",,"UnionType[nodes, Instance, None]",2024-12-15 14:58:01.308343
astroid,astroid.bases,314,37,MemberExpr,"UnionType[Call, Proxy]",,"UnionType[nodes, Proxy]",2024-12-15 14:58:01.478648
astroid,astroid.bases,314,37,NameExpr,"UnionType[Call, Proxy]",,"UnionType[nodes, Proxy]",2024-12-15 14:58:01.481071
astroid,astroid.bases,313,22,NameExpr,"UnionType[Call, Proxy]",,"UnionType[nodes, Proxy]",2024-12-15 14:58:01.483760
astroid,astroid.bases,313,57,MemberExpr,"UnionType[Call, Proxy]",,"UnionType[nodes, Proxy]",2024-12-15 14:58:01.486334
astroid,astroid.bases,313,57,NameExpr,"UnionType[Call, Proxy]",,"UnionType[nodes, Proxy]",2024-12-15 14:58:01.487357
astroid,astroid.bases,322,46,NameExpr,"UnionType[Call, Proxy]",,"UnionType[nodes, Proxy]",2024-12-15 14:58:01.503889
astroid,astroid.bases,326,51,NameExpr,"UnionType[Call, Proxy]",,"UnionType[nodes, Proxy]",2024-12-15 14:58:01.510006
astroid,astroid.bases,338,25,NameExpr,"UnionType[ClassDef, None]",,"UnionType[nodes, None]",2024-12-15 14:58:01.521433
astroid,astroid.bases,464,11,UnaryExpr,Call,,nodes,2024-12-15 14:58:01.702272
astroid,astroid.bases,464,15,MemberExpr,Call,,nodes,2024-12-15 14:58:01.703300
astroid,astroid.bases,464,15,NameExpr,Call,,nodes,2024-12-15 14:58:01.705356
astroid,astroid.bases,470,24,MemberExpr,Call,,nodes,2024-12-15 14:58:01.708568
astroid,astroid.bases,470,24,IndexExpr,Call,,nodes,2024-12-15 14:58:01.709642
astroid,astroid.bases,470,24,NameExpr,Call,,nodes,2024-12-15 14:58:01.712655
astroid,astroid.bases,472,36,CallExpr,Call,,nodes,2024-12-15 14:58:01.715898
astroid,astroid.bases,472,36,MemberExpr,Call,,nodes,2024-12-15 14:58:01.718979
astroid,astroid.bases,472,36,IndexExpr,Call,,nodes,2024-12-15 14:58:01.720004
astroid,astroid.bases,472,36,NameExpr,Call,,nodes,2024-12-15 14:58:01.722062
astroid,astroid.bases,469,26,IndexExpr,Call,,nodes,2024-12-15 14:58:01.728193
astroid,astroid.bases,469,26,MemberExpr,Call,,nodes,2024-12-15 14:58:01.731300
astroid,astroid.bases,469,26,NameExpr,Call,,nodes,2024-12-15 14:58:01.732252
astroid,astroid.bases,467,15,MemberExpr,Call,,nodes,2024-12-15 14:58:01.740845
astroid,astroid.bases,467,15,NameExpr,Call,,nodes,2024-12-15 14:58:01.741843
astroid,astroid.bases,479,49,IndexExpr,Call,,nodes,2024-12-15 14:58:01.749649
astroid,astroid.bases,479,49,MemberExpr,Call,,nodes,2024-12-15 14:58:01.750674
astroid,astroid.bases,479,49,NameExpr,Call,,nodes,2024-12-15 14:58:01.751702
astroid,astroid.bases,480,24,CallExpr,Call,,nodes,2024-12-15 14:58:01.767238
astroid,astroid.bases,480,24,MemberExpr,Call,,nodes,2024-12-15 14:58:01.770558
astroid,astroid.bases,480,24,IndexExpr,Call,,nodes,2024-12-15 14:58:01.772618
