Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
purity_package,purity_package.main_purity_module,321,13,NameExpr,,,,2024-12-15 01:02:13.705642
purity_package,purity_package.main_purity_module,328,13,NameExpr,,,,2024-12-15 01:02:13.708634
purity_package,purity_package.main_purity_module,377,13,NameExpr,,,,2024-12-15 01:02:13.727778
purity_package,purity_package.main_purity_module,384,13,NameExpr,,,,2024-12-15 01:02:13.732815
purity_package,purity_package.main_purity_module,395,4,NameExpr,,,Any,2024-12-15 01:02:13.760117
purity_package,purity_package.main_purity_module,395,13,CallExpr,,,Any,2024-12-15 01:02:13.765264
purity_package,purity_package.main_purity_module,395,13,MemberExpr,,,Any,2024-12-15 01:02:13.766333
purity_package,purity_package.main_purity_module,396,11,NameExpr,,,Any,2024-12-15 01:02:13.767408
purity_package,purity_package.main_purity_module,406,4,NameExpr,,,Any,2024-12-15 01:02:13.788667
purity_package,purity_package.main_purity_module,406,13,CallExpr,,,Any,2024-12-15 01:02:13.790725
purity_package,purity_package.main_purity_module,406,13,MemberExpr,,,Any,2024-12-15 01:02:13.791773
purity_package,purity_package.main_purity_module,407,11,NameExpr,,,Any,2024-12-15 01:02:13.793042
purity_package,purity_package.main_purity_module,417,4,NameExpr,,,Any,2024-12-15 01:02:13.816157
purity_package,purity_package.main_purity_module,417,13,CallExpr,,,Any,2024-12-15 01:02:13.817164
purity_package,purity_package.main_purity_module,417,13,MemberExpr,,,Any,2024-12-15 01:02:13.818586
purity_package,purity_package.main_purity_module,417,13,IndexExpr,,,Any,2024-12-15 01:02:13.820053
purity_package,purity_package.main_purity_module,418,11,NameExpr,,,Any,2024-12-15 01:02:13.821563
purity_package,purity_package.main_purity_module,428,4,NameExpr,,,Any,2024-12-15 01:02:13.843607
purity_package,purity_package.main_purity_module,428,13,CallExpr,,,Any,2024-12-15 01:02:13.845893
purity_package,purity_package.main_purity_module,428,13,MemberExpr,,,Any,2024-12-15 01:02:13.847921
purity_package,purity_package.main_purity_module,428,13,IndexExpr,,,Any,2024-12-15 01:02:13.848917
purity_package,purity_package.main_purity_module,429,11,NameExpr,,,Any,2024-12-15 01:02:13.850334
purity_package,purity_package.main_purity_module,439,4,NameExpr,,,Any,2024-12-15 01:02:13.874392
purity_package,purity_package.main_purity_module,440,11,NameExpr,,,Any,2024-12-15 01:02:13.877646
purity_package,purity_package.main_purity_module,450,4,NameExpr,,,Any,2024-12-15 01:02:13.897479
purity_package,purity_package.main_purity_module,450,13,CallExpr,,,Any,2024-12-15 01:02:13.898751
purity_package,purity_package.main_purity_module,450,13,MemberExpr,,,Any,2024-12-15 01:02:13.899747
purity_package,purity_package.main_purity_module,450,13,IndexExpr,,,Any,2024-12-15 01:02:13.900888
purity_package,purity_package.main_purity_module,451,11,NameExpr,,,Any,2024-12-15 01:02:13.902155
purity_package,purity_package.main_purity_module,483,4,NameExpr,,,Any,2024-12-15 01:02:13.952534
purity_package,purity_package.main_purity_module,483,13,CallExpr,,,Any,2024-12-15 01:02:13.953532
purity_package,purity_package.main_purity_module,483,13,MemberExpr,,,Any,2024-12-15 01:02:13.955525
purity_package,purity_package.main_purity_module,483,13,IndexExpr,,,Any,2024-12-15 01:02:13.955525
purity_package,purity_package.main_purity_module,484,11,NameExpr,,,Any,2024-12-15 01:02:13.956522
purity_package,purity_package.main_purity_module,494,4,NameExpr,,,Any,2024-12-15 01:02:13.973477
purity_package,purity_package.main_purity_module,494,13,CallExpr,,,Any,2024-12-15 01:02:13.974474
purity_package,purity_package.main_purity_module,494,13,MemberExpr,,,Any,2024-12-15 01:02:13.976469
