Type-Aware,Library,FunctionId,Runtime of body analysis,Date
Yes,pandas,pandas/core/ops/fill_binop,0.0009989738464355469,2025-02-26 18:00:10.447796
Yes,pandas,pandas/core/ops/align_method_SERIES,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/core/ops/flex_method_SERIES,0.002000093460083008,2025-02-26 18:00:10.447796
Yes,pandas,pandas/core/ops/align_method_FRAME,0.007199764251708984,2025-02-26 18:00:10.447796
Yes,pandas,pandas/core/ops/should_reindex_frame_op,0.0019981861114501953,2025-02-26 18:00:10.447796
Yes,pandas,pandas/core/ops/frame_arith_method_with_reindex,0.003996610641479492,2025-02-26 18:00:10.447796
Yes,pandas,pandas/core/ops/_maybe_align_series_as_frame,0.0010008811950683594,2025-02-26 18:00:10.447796
Yes,pandas,pandas/core/ops/flex_arith_method_FRAME,0.001997709274291992,2025-02-26 18:00:10.447796
Yes,pandas,pandas/core/ops/flex_comp_method_FRAME,0.0024683475494384766,2025-02-26 18:00:10.447796
Yes,pandas,pandas/compat/set_function_name,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/compat/is_platform_little_endian,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/compat/is_platform_windows,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/compat/is_platform_linux,0.0009984970092773438,2025-02-26 18:00:10.447796
Yes,pandas,pandas/compat/is_platform_mac,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/compat/is_platform_arm,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/compat/is_platform_power,0.0009992122650146484,2025-02-26 18:00:10.447796
Yes,pandas,pandas/compat/is_ci_environment,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/compat/get_lzma_file,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/reset_display_options,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/equalContents,0.0009987354278564453,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/box_expected,0.002086162567138672,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/to_array,0.0009987354278564453,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/getCols,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeStringIndex,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeCategoricalIndex,0.0010895729064941406,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeIntervalIndex,0.0010004043579101562,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeBoolIndex,0.0009987354278564453,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeNumericIndex,0.0020635128021240234,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeIntIndex,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeUIntIndex,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeRangeIndex,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeFloatIndex,0.0005033016204833984,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeDateIndex,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeTimedeltaIndex,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makePeriodIndex,0.001001119613647461,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeMultiIndex,0.001998424530029297,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/index_subclass_makers_generator,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/all_timeseries_index_generator,0.001998424530029297,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/make_rand_series,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeFloatSeries,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/makeStringSeries,0.0,2025-02-26 18:00:10.447796
