Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
pandas,pandas.core.ops,165,11,UnaryExpr,Series,,"Any, Series",2025-02-11 16:53:45.398152
pandas,pandas._testing,352,31,OpExpr,int,,OpExpr,2025-02-11 16:53:45.672194
pandas,pandas._testing,358,33,OpExpr,int,,OpExpr,2025-02-11 16:53:45.677291
pandas,pandas._testing,367,44,OpExpr,int,,OpExpr,2025-02-11 16:53:45.680387
pandas,pandas._testing,433,9,OpExpr,int,,OpExpr,2025-02-11 16:53:45.715941
pandas,pandas._testing,437,11,SliceExpr,int,,SliceExpr,2025-02-11 16:53:45.717940
pandas,pandas._testing,769,12,GeneratorExpr,None,,GeneratorExpr,2025-02-11 16:53:45.802255
pandas,pandas._testing,781,18,OpExpr,float,,OpExpr,2025-02-11 16:53:45.813377
pandas,pandas.util.version,490,7,OpExpr,"UnionType[str, bytes, SupportsInt]",,OpExpr,2025-02-11 16:53:46.094381
pandas,pandas.compat._optional,155,22,ConditionalExpr,"UnionType[str, None]",,ConditionalExpr,2025-02-11 16:53:47.574126
pandas,pandas.compat.numpy.function,163,16,CastExpr,"UnionType[bool, int, None]",,bool,2025-02-11 16:53:47.612825
pandas,pandas.compat.numpy.function,390,37,OpExpr,"UnionType[int, None]",,OpExpr,2025-02-11 16:53:47.644378
pandas,pandas.core.accessor,121,16,OpExpr,bool,,OpExpr,2025-02-11 16:53:47.685366
pandas,pandas.core.algorithms,137,17,CastExpr,ArrayLike,,BaseMaskedArray,2025-02-11 16:53:47.733269
pandas,pandas.core.algorithms,147,17,CastExpr,ArrayLike,,Categorical,2025-02-11 16:53:47.735267
pandas,pandas.core.algorithms,171,15,CastExpr,ArrayLike,,ndarray,2025-02-11 16:53:47.744587
pandas,pandas.core.algorithms,786,7,OpExpr,bool,,OpExpr,2025-02-11 16:53:47.883516
pandas,pandas.core.algorithms,836,11,ConditionalExpr,bool,,ConditionalExpr,2025-02-11 16:53:47.892616
pandas,pandas.core.algorithms,933,27,IndexExpr,"UnionType[NDArray, None]",,ndarray,2025-02-11 16:53:47.951994
pandas,pandas.core.algorithms,933,39,IndexExpr,"UnionType[NDArray, None]",,NDArray,2025-02-11 16:53:47.951994
pandas,pandas.core.algorithms,961,17,CastExpr,ArrayLike,,BaseMaskedArray,2025-02-11 16:53:47.955084
pandas,pandas.core.algorithms,991,17,CastExpr,ArrayLike,,ExtensionArray,2025-02-11 16:53:47.966521
pandas,pandas.core.algorithms,1153,13,OpExpr,"UnionType[int, NDArray]",,OpExpr,2025-02-11 16:53:48.009886
pandas,pandas.core.algorithms,1340,29,CastExpr,"UnionType[NumpyValueArrayLike, ExtensionArray]",,ArrayLike,2025-02-11 16:53:48.035415
pandas,pandas.core.algorithms,1436,4,IndexExpr,int,,List[slice],2025-02-11 16:53:48.093255
pandas,pandas.core.algorithms,1447,8,IndexExpr,int,,List[slice],2025-02-11 16:53:48.097343
pandas,pandas.core.algorithms,1451,8,IndexExpr,int,,List[slice],2025-02-11 16:53:48.108583
pandas,pandas.core.algorithms,1596,7,OpExpr,bool,,OpExpr,2025-02-11 16:53:48.162177
pandas,pandas.core.algorithms,1663,22,CallExpr,"UnionType[ArrayLike, Index]",,"UnionType[ArrayLike, Index], UnionType[ArrayLike, Index]",2025-02-11 16:53:48.197799
pandas,pandas.core.algorithms,1663,22,MemberExpr,"UnionType[ArrayLike, Index]",,"UnionType[ArrayLike, Index], UnionType[ArrayLike, Index]",2025-02-11 16:53:48.197799
pandas,pandas.core.apply,1304,31,MemberExpr,"List[Tuple[Any, Any]]",,"List[Tuple[Any, Any]], int",2025-02-11 16:53:48.658160
pandas,pandas.core.apply,1348,12,MemberExpr,"UnionType[DataFrame, Series]",,"UnionType[DataFrame, Series], str",2025-02-11 16:53:48.664760
pandas,pandas.core.arraylike,399,11,OpExpr,"Dict[str, Any]",,OpExpr,2025-02-11 16:53:48.878422
pandas,pandas.core.arraylike,504,18,IndexExpr,ufunc,,"Dict[str, str]",2025-02-11 16:53:48.933151
pandas,pandas.core.base,555,19,OpExpr,bool,,OpExpr,2025-02-11 16:53:49.074967
pandas,pandas.core.base,550,12,OpExpr,bool,,OpExpr,2025-02-11 16:53:49.077964
pandas,pandas.core.base,1141,11,OpExpr,bool,,OpExpr,2025-02-11 16:53:49.204127
pandas,pandas.core.common,302,10,CastExpr,"UnionType[Iterable, T]",,List[Any],2025-02-11 16:53:49.315279
pandas,pandas.core.construction,317,16,OpExpr,"UnionType[Dtype, None]",,OpExpr,2025-02-11 16:53:49.453372
pandas,pandas.core.construction,328,14,CastExpr,"UnionType[Dtype, None]",,ExtensionDtype,2025-02-11 16:53:49.461023
pandas,pandas.core.construction,334,26,CastExpr,"UnionType[List[object], AnyArrayLike]",,"UnionType[List[UnionType[Period, None]], AnyArrayLike]",2025-02-11 16:53:49.466146
pandas,pandas.core.construction,571,15,OpExpr,bool,,OpExpr,2025-02-11 16:53:49.548466
pandas,pandas.core.construction,611,16,CastExpr,"UnionType[DtypeObj, None]",,dtype,2025-02-11 16:53:49.570932
pandas,pandas.core.construction,734,28,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.615989
pandas,pandas.core.construction,738,61,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.617986
pandas,pandas.core.construction,740,46,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.619003
pandas,pandas.core.construction,745,12,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.620098
pandas,pandas.core.construction,745,18,CastExpr,"UnionType[List[], ndarray]",,ndarray,2025-02-11 16:53:49.620098
pandas,pandas.core.construction,745,35,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.621115
pandas,pandas.core.construction,746,20,MemberExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.623095
pandas,pandas.core.construction,746,20,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.623095
pandas,pandas.core.construction,748,16,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.624094
pandas,pandas.core.construction,748,22,CallExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.624094
pandas,pandas.core.construction,748,22,MemberExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.625202
pandas,pandas.core.construction,747,15,MemberExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.626201
pandas,pandas.core.construction,747,15,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.626201
pandas,pandas.core.construction,750,25,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.627200
pandas,pandas.core.construction,751,39,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.629198
pandas,pandas.core.construction,756,38,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.629198
pandas,pandas.core.construction,763,45,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.630276
pandas,pandas.core.construction,765,26,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-02-11 16:53:49.632275
pandas,pandas.core.frame,697,20,ConditionalExpr,"UnionType[Axes, None]",,ConditionalExpr,2025-02-11 16:53:49.681053
pandas,pandas.core.frame,698,22,ConditionalExpr,"UnionType[Axes, None]",,ConditionalExpr,2025-02-11 16:53:49.681053
pandas,pandas.core.frame,699,20,ConditionalExpr,"UnionType[Dtype, None]",,ConditionalExpr,2025-02-11 16:53:49.682129
pandas,pandas.core.frame,735,23,CastExpr,None,,ndarray,2025-02-11 16:53:49.688243
pandas,pandas.core.frame,746,24,ConditionalExpr,"UnionType[bool, None]",,ConditionalExpr,2025-02-11 16:53:49.691222
pandas,pandas.core.frame,810,20,ConditionalExpr,"UnionType[Axes, None]",,ConditionalExpr,2025-02-11 16:53:49.707590
pandas,pandas.core.frame,1039,12,OpExpr,bool,,OpExpr,2025-02-11 16:53:49.751580
pandas,pandas.core.frame,1045,11,OpExpr,bool,,OpExpr,2025-02-11 16:53:49.752579
pandas,pandas.core.frame,2238,53,OpExpr,"UnionType[int, None]",,OpExpr,2025-02-11 16:53:49.935203
pandas,pandas.core.frame,2248,16,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.940561
pandas,pandas.core.frame,2250,16,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.944695
pandas,pandas.core.frame,2255,24,CallExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.947776
pandas,pandas.core.frame,2255,24,MemberExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.948790
pandas,pandas.core.frame,2258,16,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.952882
pandas,pandas.core.frame,2259,20,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.953880
pandas,pandas.core.frame,2263,12,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.955963
pandas,pandas.core.frame,2266,12,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.957961
pandas,pandas.core.frame,2273,24,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.960082
pandas,pandas.core.frame,2268,40,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.962099
pandas,pandas.core.frame,2282,16,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.963079
pandas,pandas.core.frame,2283,20,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.964079
pandas,pandas.core.frame,2296,41,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.969162
pandas,pandas.core.frame,2295,23,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.971230
pandas,pandas.core.frame,2301,33,GeneratorExpr,List[ArrayLike],,GeneratorExpr,2025-02-11 16:53:49.973227
pandas,pandas.core.frame,2301,34,IndexExpr,Index,,List[Any],2025-02-11 16:53:49.974228
pandas,pandas.core.frame,2301,34,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.974228
pandas,pandas.core.frame,2311,24,GeneratorExpr,Index,,GeneratorExpr,2025-02-11 16:53:49.983410
pandas,pandas.core.frame,2312,12,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.985485
pandas,pandas.core.frame,2312,46,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.987501
pandas,pandas.core.frame,2317,28,NameExpr,List[ArrayLike],,List[Any],2025-02-11 16:53:49.989481
pandas,pandas.core.frame,3131,20,NameExpr,"UnionType[str, List[], Tuple[Any], None]",,"UnionType[str, List[Any], Tuple[Any], None]",2025-02-11 16:53:50.082608
pandas,pandas.core.frame,3656,60,IndexExpr,int,,DataFrame,2025-02-11 16:53:50.132356
pandas,pandas.core.frame,3664,20,IndexExpr,int,,DataFrame,2025-02-11 16:53:50.134429
pandas,pandas.core.frame,3700,51,NameExpr,List[],,List[Any],2025-02-11 16:53:50.144618
pandas,pandas.core.frame,3957,8,IndexExpr,slice,,DataFrame,2025-02-11 16:53:50.291435
pandas,pandas.core.frame,4177,25,CastExpr,IndexLabel,,int,2025-02-11 16:53:50.432663
pandas,pandas.core.frame,4232,15,IndexExpr,int,,DataFrame,2025-02-11 16:53:50.455576
pandas,pandas.core.frame,4258,12,IndexExpr,Hashable,,"Dict[Hashable, Series]",2025-02-11 16:53:50.466822
