Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
No,pandas,pandas.core.ops,165,11,UnaryExpr,Series,,"Any, Series",2025-03-08 13:22:48.954441
No,pandas,pandas._testing,352,31,OpExpr,int,,OpExpr,2025-03-08 13:22:49.124597
No,pandas,pandas._testing,358,33,OpExpr,int,,OpExpr,2025-03-08 13:22:49.128799
No,pandas,pandas._testing,367,44,OpExpr,int,,OpExpr,2025-03-08 13:22:49.130780
No,pandas,pandas._testing,433,9,OpExpr,int,,OpExpr,2025-03-08 13:22:49.160340
No,pandas,pandas._testing,437,11,SliceExpr,int,,SliceExpr,2025-03-08 13:22:49.162489
No,pandas,pandas._testing,769,12,GeneratorExpr,None,,GeneratorExpr,2025-03-08 13:22:49.241140
No,pandas,pandas._testing,781,18,OpExpr,float,,OpExpr,2025-03-08 13:22:49.251338
No,pandas,pandas.util.version,490,7,OpExpr,"UnionType[str, bytes, SupportsInt]",,OpExpr,2025-03-08 13:22:49.466622
No,pandas,pandas.compat._optional,155,22,ConditionalExpr,"UnionType[str, None]",,ConditionalExpr,2025-03-08 13:22:50.469490
No,pandas,pandas.compat.numpy.function,163,16,CastExpr,"UnionType[bool, int, None]",,bool,2025-03-08 13:22:50.506966
No,pandas,pandas.compat.numpy.function,390,37,OpExpr,"UnionType[int, None]",,OpExpr,2025-03-08 13:22:50.534468
No,pandas,pandas.core.accessor,121,16,OpExpr,bool,,OpExpr,2025-03-08 13:22:50.563349
No,pandas,pandas.core.algorithms,137,17,CastExpr,ArrayLike,,BaseMaskedArray,2025-03-08 13:22:50.600794
No,pandas,pandas.core.algorithms,147,17,CastExpr,ArrayLike,,Categorical,2025-03-08 13:22:50.601792
No,pandas,pandas.core.algorithms,171,15,CastExpr,ArrayLike,,ndarray,2025-03-08 13:22:50.606875
No,pandas,pandas.core.algorithms,786,7,OpExpr,bool,,OpExpr,2025-03-08 13:22:50.702164
No,pandas,pandas.core.algorithms,836,11,ConditionalExpr,bool,,ConditionalExpr,2025-03-08 13:22:50.707227
No,pandas,pandas.core.algorithms,933,27,IndexExpr,"UnionType[NDArray, None]",,ndarray,2025-03-08 13:22:50.741732
No,pandas,pandas.core.algorithms,933,39,IndexExpr,"UnionType[NDArray, None]",,NDArray,2025-03-08 13:22:50.741732
No,pandas,pandas.core.algorithms,961,17,CastExpr,ArrayLike,,BaseMaskedArray,2025-03-08 13:22:50.744939
No,pandas,pandas.core.algorithms,991,17,CastExpr,ArrayLike,,ExtensionArray,2025-03-08 13:22:50.750031
No,pandas,pandas.core.algorithms,1153,13,OpExpr,"UnionType[int, NDArray]",,OpExpr,2025-03-08 13:22:50.787896
No,pandas,pandas.core.algorithms,1340,29,CastExpr,"UnionType[NumpyValueArrayLike, ExtensionArray]",,ArrayLike,2025-03-08 13:22:50.813194
No,pandas,pandas.core.algorithms,1436,4,IndexExpr,int,,List[slice],2025-03-08 13:22:50.851805
No,pandas,pandas.core.algorithms,1447,8,IndexExpr,int,,List[slice],2025-03-08 13:22:50.853873
No,pandas,pandas.core.algorithms,1451,8,IndexExpr,int,,List[slice],2025-03-08 13:22:50.854873
No,pandas,pandas.core.algorithms,1596,7,OpExpr,bool,,OpExpr,2025-03-08 13:22:50.890965
No,pandas,pandas.core.algorithms,1663,22,CallExpr,"UnionType[ArrayLike, Index]",,"UnionType[ArrayLike, Index], UnionType[ArrayLike, Index]",2025-03-08 13:22:50.916071
No,pandas,pandas.core.algorithms,1663,22,MemberExpr,"UnionType[ArrayLike, Index]",,"UnionType[ArrayLike, Index], UnionType[ArrayLike, Index]",2025-03-08 13:22:50.917071
No,pandas,pandas.core.apply,1304,31,MemberExpr,"List[Tuple[Any, Any]]",,"List[Tuple[Any, Any]], int",2025-03-08 13:22:51.212901
No,pandas,pandas.core.apply,1348,12,MemberExpr,"UnionType[DataFrame, Series]",,"UnionType[DataFrame, Series], str",2025-03-08 13:22:51.218056
No,pandas,pandas.core.arraylike,399,11,OpExpr,"Dict[str, Any]",,OpExpr,2025-03-08 13:22:51.380039
No,pandas,pandas.core.arraylike,504,18,IndexExpr,ufunc,,"Dict[str, str]",2025-03-08 13:22:51.421994
No,pandas,pandas.core.base,555,19,OpExpr,bool,,OpExpr,2025-03-08 13:22:51.500127
No,pandas,pandas.core.base,550,12,OpExpr,bool,,OpExpr,2025-03-08 13:22:51.503142
No,pandas,pandas.core.base,1141,11,OpExpr,bool,,OpExpr,2025-03-08 13:22:51.641350
No,pandas,pandas.core.common,302,10,CastExpr,"UnionType[Iterable, T]",,List[Any],2025-03-08 13:22:51.717027
No,pandas,pandas.core.construction,317,16,OpExpr,"UnionType[Dtype, None]",,OpExpr,2025-03-08 13:22:51.803485
No,pandas,pandas.core.construction,328,14,CastExpr,"UnionType[Dtype, None]",,ExtensionDtype,2025-03-08 13:22:51.806476
No,pandas,pandas.core.construction,334,26,CastExpr,"UnionType[List[object], AnyArrayLike]",,"UnionType[List[UnionType[Period, None]], AnyArrayLike]",2025-03-08 13:22:51.807568
No,pandas,pandas.core.construction,571,15,OpExpr,bool,,OpExpr,2025-03-08 13:22:51.859183
No,pandas,pandas.core.construction,611,16,CastExpr,"UnionType[DtypeObj, None]",,dtype,2025-03-08 13:22:51.873508
No,pandas,pandas.core.construction,734,28,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.907827
No,pandas,pandas.core.construction,738,61,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.908808
No,pandas,pandas.core.construction,740,46,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.910806
No,pandas,pandas.core.construction,745,12,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.910806
No,pandas,pandas.core.construction,745,18,CastExpr,"UnionType[List[], ndarray]",,ndarray,2025-03-08 13:22:51.911917
No,pandas,pandas.core.construction,745,35,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.911917
No,pandas,pandas.core.construction,746,20,MemberExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.912916
No,pandas,pandas.core.construction,746,20,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.913926
No,pandas,pandas.core.construction,748,16,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.913926
No,pandas,pandas.core.construction,748,22,CallExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.913926
No,pandas,pandas.core.construction,748,22,MemberExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.914914
No,pandas,pandas.core.construction,747,15,MemberExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.914914
No,pandas,pandas.core.construction,747,15,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.914914
No,pandas,pandas.core.construction,750,25,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.915913
No,pandas,pandas.core.construction,751,39,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.916991
No,pandas,pandas.core.construction,756,38,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.916991
No,pandas,pandas.core.construction,763,45,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.918008
No,pandas,pandas.core.construction,765,26,NameExpr,"UnionType[List[], ndarray]",,"UnionType[List[Any], ndarray]",2025-03-08 13:22:51.919007
No,pandas,pandas.core.frame,697,20,ConditionalExpr,"UnionType[Axes, None]",,ConditionalExpr,2025-03-08 13:22:51.965521
No,pandas,pandas.core.frame,698,22,ConditionalExpr,"UnionType[Axes, None]",,ConditionalExpr,2025-03-08 13:22:51.966501
No,pandas,pandas.core.frame,699,20,ConditionalExpr,"UnionType[Dtype, None]",,ConditionalExpr,2025-03-08 13:22:51.967500
No,pandas,pandas.core.frame,735,23,CastExpr,None,,ndarray,2025-03-08 13:22:51.973705
No,pandas,pandas.core.frame,746,24,ConditionalExpr,"UnionType[bool, None]",,ConditionalExpr,2025-03-08 13:22:51.975722
No,pandas,pandas.core.frame,810,20,ConditionalExpr,"UnionType[Axes, None]",,ConditionalExpr,2025-03-08 13:22:51.988918
No,pandas,pandas.core.frame,1039,12,OpExpr,bool,,OpExpr,2025-03-08 13:22:52.021742
No,pandas,pandas.core.frame,1045,11,OpExpr,bool,,OpExpr,2025-03-08 13:22:52.022741
No,pandas,pandas.core.frame,2238,53,OpExpr,"UnionType[int, None]",,OpExpr,2025-03-08 13:22:52.171043
No,pandas,pandas.core.frame,2248,16,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.176106
No,pandas,pandas.core.frame,2250,16,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.178214
No,pandas,pandas.core.frame,2255,24,CallExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.180212
No,pandas,pandas.core.frame,2255,24,MemberExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.181211
No,pandas,pandas.core.frame,2258,16,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.183292
No,pandas,pandas.core.frame,2259,20,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.183292
No,pandas,pandas.core.frame,2263,12,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.184291
No,pandas,pandas.core.frame,2266,12,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.185290
No,pandas,pandas.core.frame,2273,24,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.186289
No,pandas,pandas.core.frame,2268,40,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.187352
No,pandas,pandas.core.frame,2282,16,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.188391
No,pandas,pandas.core.frame,2283,20,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.188894
No,pandas,pandas.core.frame,2296,41,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.195402
No,pandas,pandas.core.frame,2295,23,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.197449
No,pandas,pandas.core.frame,2301,33,GeneratorExpr,List[ArrayLike],,GeneratorExpr,2025-03-08 13:22:52.197449
No,pandas,pandas.core.frame,2301,34,IndexExpr,Index,,List[Any],2025-03-08 13:22:52.198560
No,pandas,pandas.core.frame,2301,34,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.198560
No,pandas,pandas.core.frame,2311,24,GeneratorExpr,Index,,GeneratorExpr,2025-03-08 13:22:52.205802
No,pandas,pandas.core.frame,2312,12,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.206801
No,pandas,pandas.core.frame,2312,46,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.208879
No,pandas,pandas.core.frame,2317,28,NameExpr,List[ArrayLike],,List[Any],2025-03-08 13:22:52.210877
No,pandas,pandas.core.frame,3131,20,NameExpr,"UnionType[str, List[], Tuple[Any], None]",,"UnionType[str, List[Any], Tuple[Any], None]",2025-03-08 13:22:52.280875
No,pandas,pandas.core.frame,3656,60,IndexExpr,int,,DataFrame,2025-03-08 13:22:52.315970
No,pandas,pandas.core.frame,3664,20,IndexExpr,int,,DataFrame,2025-03-08 13:22:52.316987
No,pandas,pandas.core.frame,3700,51,NameExpr,List[],,List[Any],2025-03-08 13:22:52.323156
No,pandas,pandas.core.frame,3957,8,IndexExpr,slice,,DataFrame,2025-03-08 13:22:52.428518
No,pandas,pandas.core.frame,4177,25,CastExpr,IndexLabel,,int,2025-03-08 13:22:52.532095
No,pandas,pandas.core.frame,4232,15,IndexExpr,int,,DataFrame,2025-03-08 13:22:52.551444
No,pandas,pandas.core.frame,4258,12,IndexExpr,Hashable,,"Dict[Hashable, Series]",2025-03-08 13:22:52.560605
