Type-Aware,Library,Full Api Analysis Runtime [s],Function Body Anaylsis Runtime [s],Average function body analysis runtime [s],Finding Referenced Functions runtime [s],Date
Yes,pandas,105.80767846107483,8.04771,0.00127,3.678759813308716,2025-02-26 18:00:10.495845
Yes,pandas,111.18882966041565,7.05614,0.00111,3.3218586444854736,2025-02-27 00:36:05.930056
Yes,pandas,114.68364405632019,7.82094,0.00123,3.806992530822754,2025-02-27 09:40:05.927600
No,pandas,100.8770706653595,6.57252,0.00104,0.0,2025-02-27 17:50:55.145684
No,pandas,109.44333338737488,7.60592,0.0012,0.0,2025-02-28 09:52:43.841674
Yes,pandas,108.88214993476868,6.75048,0.00106,2.857102632522583,2025-03-02 00:55:41.415517
Yes,pandas,91.43045330047607,6.61647,0.00104,3.0697689056396484,2025-03-02 13:03:59.688372
Yes,pandas,118.2591323852539,7.80792,0.00123,3.662559986114502,2025-03-03 10:24:13.418422
Yes,pandas,120.46465969085693,7.9599,0.00126,3.735110282897949,2025-03-03 22:12:33.519672
No,pandas,113.63784861564636,8.0988,0.00128,0.0,2025-03-04 09:43:06.227221
No,pandas,126.65573358535767,6.7061,0.00106,0.0,2025-03-06 00:25:46.284838
Yes,pandas,112.09451866149902,7.25003,0.00114,3.519355535507202,2025-03-06 17:50:26.377580
Yes,pandas,110.6331136226654,6.71128,0.00106,3.280937671661377,2025-03-09 12:05:14.293602
