Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
No,pandas,Yes,pandas._config.config._get_single_key.116.0,14874782787071720141045782159694680769979341753054658102408,15524941496568661988790768853401518944098383358135317194380,11897334644465481713642892375775461981768165455898567447226,466598153770159411068434988105452451457077521842613123581,320,1.0437087867973454,0.7998324960285094,Impure,Impure,2025-03-01 05:23:02.236646
No,pandas,No,pandas._config.display.detect_console_encoding.17.0,7941055459913709057717060866800136251770425002734926023846592457252322324353420156740370061204835780490228743,8288149359956973432828277133623287481131288127636504257607936691680810777668295785016452643255583921847362551,6351514209603604656090001149252155086346899744179794154742305438574766609159948684819584345545532280136275820,249098213373750384902454548643342626725885803367982905311837019358160856036035284242846976113130756918262094,608,1.0437087867973454,0.7998324960285094,Impure,Impure,2025-03-01 05:24:07.827873
No,pandas,No,pandas._testing.asserters._raise.654.4,1978779363951526895572672816778057218491720254117870802637567418743247547596229937,2065269409289471033456058139844063333499874487028524768562566600238330481324148415,1582692037759056009566438316073035373386661360240359589424983376977008970925613407,62071144913843442015918649439839404194422327396085467000094644434517019639752887,442,1.0437087867973454,0.7998324960285094,Impure,Impure,2025-03-01 05:24:09.917542
No,pandas,Yes,pandas._testing.asserters.assert_dict_equal.175.0,5,5,3,1,2,1.0,0.6,Pure,Pure,2025-03-01 05:24:09.918557
No,pandas,No,pandas._testing.asserters.assert_numpy_array_equal.602.0,62917276726556075671311205713410544492101373804606234600417771012282725853636331261882863568805069456703973,65667314560866700406673630786749377394734966927259000778396046664518650297225189747795424669358012202186484,50323282487517789846399472109660943477868033191930216346978010696665056346012629431943799989950405236507944,1973614376834646805484115451831755112352882443025914322337165428273277239807888179419940467696211193562621,590,1.0437087867973454,0.7998324960285094,Impure,Impure,2025-03-01 05:24:12.827534
No,pandas,No,pandas._testing.asserters.is_class_equiv.361.4,5,4,4,0,1,0.8,0.8,Impure,Pure,2025-03-01 05:24:12.848513
No,pandas,No,pandas._typing.readline.237.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 05:24:12.885474
No,pandas,No,pandas.conftest._create_series.738.0,6546329591372505770793437496663057987586689432389333339195139757212220579754505459741186221521469643575901942,6832461715786960225495500231860409563038614263125818307936376074859326234151112476748834386022072259840929716,5235967136892763342416726311243911845459420308610362552530344489432935872783254750398551663874105550181546212,205347892808234369449533278031912062976459285375718132151530523623870892760494863377980875675035227369289277,607,1.0437087867973454,0.7998324960285094,Impure,Impure,2025-03-01 05:24:13.946879
No,pandas,No,pandas.conftest.any_numpy_dtype.1649.0,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 05:24:14.002822
No,pandas,No,pandas.conftest.datapath.1152.0,1,0,1,0,0,0.0,1.0,Pure,Impure,2025-03-01 05:24:14.054724
No,pandas,No,pandas.core._numba.executor.generate_shared_aggregator.16.0,1,0,1,0,0,0.0,1.0,Pure,Impure,2025-03-01 05:24:14.055722
No,pandas,No,pandas.core.apply.__init__.991.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 05:24:14.066710
No,pandas,No,pandas.core.apply.values.638.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 05:24:14.068708
No,pandas,No,pandas.core.arrays._mixins._where.362.4,4702359275463422866110871657981140323444689354379082985156672689101397386773,4907893694479173468139459241772497422861449048575214578938132122287084279410,3761099756516722550274997471975237798175839042532643133482242130498418609030,147505492194629548636727603049961931035098471061939950901861874223273164659,416,1.0437087867973454,0.7998324960285094,Impure,Impure,2025-03-01 05:24:15.854384
No,pandas,No,pandas.core.arrays.arrow.array.__len__.565.4,20,23,13,3,4,1.15,0.65,Impure,Impure,2025-03-01 05:24:15.871368
