Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
No,pandas,Yes,pandas._config.config._get_single_key.116.0,1954510077294150074853974004008310702306805141,2014097922490804395874101963717959499849787311,1549139505373574224615460418052275854339447190,42809753934922128460592711780198353249604491,249,1.030487356340034,0.7925973487525957,Impure,Impure,2025-02-13 09:35:11.116934
No,pandas,No,pandas._config.display.detect_console_encoding.17.0,22398455474178771795428089706898330689063907929450908498267031105920727299436751,23081325167686447191132760880047806408072295161967570409723032232622373207749340,17752956424987158045611023146879399571497816242073699364059108300266512648970269,490594742135777836888824416384258314123205152158723954369581203585997278628455,469,1.030487356340034,0.7925973487525957,Impure,Impure,2025-02-13 09:37:42.609336
No,pandas,Yes,pandas._testing.asserters._raise.654.4,22420144,23093603,17744912,485016,31,1.0300381210754044,0.7914718121346589,Impure,Impure,2025-02-13 09:37:42.617332
No,pandas,Yes,pandas._testing.asserters.assert_dict_equal.175.0,2,2,1,1,1,1.0,0.5,Pure,Pure,2025-02-13 09:37:42.618327
No,pandas,Yes,pandas._testing.asserters.assert_numpy_array_equal.602.0,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-02-13 09:37:42.618327
No,pandas,No,pandas._testing.asserters.is_class_equiv.361.4,1,0,1,0,0,0.0,1.0,Impure,Pure,2025-02-13 09:37:42.619325
No,pandas,No,pandas._typing.readline.237.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-02-13 09:37:42.620327
No,pandas,No,pandas.conftest._create_series.738.0,1330603105600705332111213822044149565786073621962918901,1371169676628310042483529739864921568336563462342335591,1054632493741089154950393654048581428256088448699928508,29144281320191222010287311555578388905924954520014268,298,1.030487356340034,0.7925973487525957,Impure,Impure,2025-02-13 09:37:43.333240
No,pandas,No,pandas.conftest.any_numpy_dtype.1649.0,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-02-13 09:37:43.935198
No,pandas,No,pandas.conftest.datapath.1152.0,1,0,1,0,0,0.0,1.0,Pure,Impure,2025-02-13 09:37:44.237806
No,pandas,No,pandas.core._numba.executor.generate_shared_aggregator.16.0,1,0,1,0,0,0.0,1.0,Pure,Impure,2025-02-13 09:37:44.724655
No,pandas,No,pandas.core.apply.__init__.991.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-02-13 09:37:45.068695
No,pandas,No,pandas.core.apply.values.638.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-02-13 09:37:45.077668
No,pandas,No,pandas.core.arrays._mixins._where.362.4,738255742729102282813396679606185583482158864690,760763208627760953614493300500620337735192403398,585139544388464841549120024142300465450771423256,16170060750482188687829447497461997146388897705,264,1.030487356340034,0.7925973487525957,Impure,Impure,2025-02-13 09:37:45.744147
No,pandas,No,pandas.core.arrays.arrow.array.__len__.565.4,20,23,13,3,4,1.15,0.65,Impure,Impure,2025-02-13 09:37:45.745147
No,pandas,No,pandas.core.arrays.arrow.array._dt_floor.2156.4,7,6,5,0,2,0.8571428571428571,0.7142857142857143,Impure,Impure,2025-02-13 09:37:45.754757
No,pandas,No,pandas.core.arrays.arrow.array._dt_round.2164.4,7,6,5,0,2,0.8571428571428571,0.7142857142857143,Impure,Impure,2025-02-13 09:37:45.756736
No,pandas,Yes,pandas.core.arrays.arrow.array.convert_fill_value.802.8,14128671626,14559417468,11198347702,309461157,52,1.0304873560234302,0.7925973508643565,Impure,Impure,2025-02-13 09:37:45.757735
No,pandas,Yes,pandas.core.arrays.arrow.array.floordiv_compat.111.4,8272178883568556375995946155921117111712714960018145134675499499592035,8524375748900416304337732113954521582741984802525380789421281156244281,6556507051523644730841760655405593952441939621079740313014090858144602,181186040750166394975557457767924156475095863729256119707740792862713,393,1.030487356340034,0.7925973487525957,Impure,Impure,2025-02-13 09:37:45.758736
No,pandas,Yes,pandas.core.arrays.arrow.array.predicate.2031.20,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-02-13 09:37:45.762731
