Type-Aware?,Library,Runtime [seconds],Classified as Pure,Classified as Impure,Amount of functions,True Positive,True Negative,False Positive,False Negative,Recall,Precision,Accuracy,Balanced Accuracy,Call References,Improved CallRef,Found more func,Found same amount,Found no referenced functions,Call refs func outside of package,Api callRef not found,Api Analyzer bug,Mean reduction of referenced functions,Mean reduction of referenced functions if improved,Largest reduction,Callrefs found by purity,Callrefs found by api,Date
Yes,pandas,179139.62789869308,1131,24843,25974,19,173,3,5,0.7916666666666666,0.8636363636363636,0.96,0.887310606060606,105621,10179,704,13381,72391,0,5625,3341,4.125713636492743,42.809902740937225,233,191470,174603,2025-01-21 01:41:05.537856
Yes,pandas,20243.123594760895,715,5995,6710,20,173,3,4,0.8333333333333334,0.8695652173913043,0.965,0.9081439393939394,22107,4598,253,7302,7543,0,700,1711,3.1500882073551364,15.14549804262723,193,36686,37612,2025-03-03 06:19:27.602311
No,pandas,10009.130461215973,1566,11218,12784,17,173,3,7,0.7083333333333334,0.85,0.95,0.8456439393939394,22107,0,0,0,22107,0,0,0,0,0,0,36686,37612,2025-03-01 00:40:40.910531
Yes,pandas,24375.494240760803,1643,11026,12669,19,173,3,5,0.7916666666666666,0.8636363636363636,0.96,0.887310606060606,22107,4598,253,7302,7543,0,700,1711,3.1500882073551364,15.14549804262723,193,36686,37612,2025-03-01 04:28:29.177980
No,pandas,12529.507469415665,1544,11240,12784,17,173,3,7,0.7083333333333334,0.85,0.95,0.8456439393939394,22107,0,0,0,22107,0,0,0,0,0,0,36686,37612,2025-03-01 05:29:20.335814
Yes,pandas,11023.14107632637,1649,11126,12775,20,173,3,4,0.8333333333333334,0.8695652173913043,0.965,0.9081439393939394,22107,4598,253,7302,7543,0,700,1711,3.1499977382729454,15.145063070900392,193,36686,37612,2025-03-02 02:20:56.736718
No,pandas,9218.739877939224,615,6102,6717,17,173,3,7,0.7083333333333334,0.85,0.95,0.8456439393939394,22107,0,0,0,22107,0,0,0,0,0,0,36686,37612,2025-03-02 22:55:08.548059
Yes,pandas,12321.038601636887,717,5993,6710,20,173,3,4,0.8333333333333334,0.8695652173913043,0.965,0.9081439393939394,22107,4598,253,7302,7543,0,700,1711,3.1500882073551364,15.14549804262723,193,36686,37612,2025-03-07 13:01:33.644137
No,pandas,8803.175899505615,616,6101,6717,17,173,3,7,0.7083333333333334,0.85,0.95,0.8456439393939394,22107,0,0,0,22107,0,0,0,0,0,0,36686,37612,2025-03-08 15:22:17.473235
No,pandas,8603.819094896317,615,6102,6717,17,173,3,7,0.7083333333333334,0.85,0.95,0.8456439393939394,22107,0,0,0,22107,0,0,0,0,0,0,36686,37612,2025-03-08 15:47:06.128414
Yes,pandas,10111.154287099838,715,5995,6710,20,173,3,4,0.8333333333333334,0.8695652173913043,0.965,0.9081439393939394,22107,4598,253,7302,7543,0,700,1711,3.1500882073551364,15.14549804262723,193,36686,37612,2025-03-09 02:57:26.180731
Yes,pandas,10035.204571008682,727,5983,6710,20,173,3,4,0.8333333333333334,0.8695652173913043,0.965,0.9081439393939394,22107,4598,253,7302,7543,0,700,1711,3.1499977382729454,15.145063070900392,193,36686,37612,2025-03-10 00:47:28.390202
No,pandas,14358.140027284622,614,6103,6717,17,173,3,7,0.7083333333333334,0.85,0.95,0.8456439393939394,22107,0,0,0,22107,0,0,0,0,0,0,36686,37612,2025-04-07 14:30:55.209845
Yes,pandas,16586.232663154602,712,5998,6710,20,173,3,4,0.8333333333333334,0.8695652173913043,0.965,0.9081439393939394,22107,4598,253,7302,7543,0,700,1711,3.1499977382729454,15.145063070900392,193,36686,37612,2025-04-07 19:16:09.842039
Yes,pandas,22467.81464076042,714,5996,6710,20,173,3,4,0.8333333333333334,0.8695652173913043,0.965,0.9081439393939394,22107,4604,253,7303,7536,0,700,1711,3.149590627403085,15.123370981754995,193,36686,37612,2025-04-09 15:37:29.922720
