Type-Aware,Library,FunctionId,Runtime of body analysis,Date
No,safeds,safeds/config/_device/_get_device,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/from_file,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/from_bytes,0.0009989738464355469,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/__init__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/__eq__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/__sizeof__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/_repr_jpeg_,0.0009992122650146484,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/_repr_png_,0.0010991096496582031,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/_set_device,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/width,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/height,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/channel,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/device,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/to_jpeg_file,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/to_png_file,0.0010173320770263672,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/resize,0.0009989738464355469,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/convert_to_grayscale,0.0009808540344238281,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/crop,0.0009987354278564453,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/flip_vertically,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/flip_horizontally,0.0010175704956054688,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/adjust_brightness,0.00099945068359375,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/add_noise,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/adjust_contrast,0.0010967254638671875,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/adjust_color_balance,0.00099945068359375,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/blur,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/sharpen,0.0011234283447265625,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/invert_colors,0.0010006427764892578,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/rotate_right,0.0009987354278564453,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/rotate_left,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/image/containers/_image/Image/find_edges,0.0009992122650146484,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/_from_pandas_series,0.0010006427764892578,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/__init__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/__contains__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/__eq__,0.000102996826171875,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/__getitem__,0.001996755599975586,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/__iter__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/__len__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/__repr__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/__sizeof__,0.0010006427764892578,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/__str__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/name,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/number_of_rows,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/type,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/get_unique_values,0.0009992122650146484,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/get_value,0.0009987354278564453,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/all,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/any,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/none,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/has_missing_values,0.0009996891021728516,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/rename,0.0009982585906982422,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/transform,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/correlation_with,0.0010004043579101562,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/idness,0.0005223751068115234,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/maximum,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/mean,0.0011072158813476562,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/median,0.0005128383636474609,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/minimum,0.0005121231079101562,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/missing_value_ratio,0.0005078315734863281,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/mode,0.0005028247833251953,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/stability,0.0010004043579101562,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/standard_deviation,0.0009992122650146484,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/sum,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/variance,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/plot_boxplot,0.00099945068359375,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/plot_histogram,0.0009982585906982422,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/to_html,0.0010797977447509766,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/_repr_html_,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_column/Column/_count_missing_values,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/from_dict,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/_from_pandas_dataframe,0.0010004043579101562,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/__init__,0.0011014938354492188,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/__contains__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/__eq__,0.00099945068359375,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/__getitem__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/__iter__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/__len__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/__repr__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/__sizeof__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/__str__,0.0009984970092773438,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/column_names,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/number_of_column,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/schema,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/get_value,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/has_column,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/get_column_type,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/sort_columns,0.0009992122650146484,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/to_dict,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/to_html,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_row/Row/_repr_html_,0.0009987354278564453,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/from_csv_file,0.0010805130004882812,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/from_excel_file,0.001998424530029297,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/from_json_file,0.0009984970092773438,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/from_dict,0.0009989738464355469,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/from_columns,0.0010004043579101562,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/from_rows,0.0009992122650146484,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/_from_pandas_dataframe,0.001108407974243164,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/__init__,0.0019979476928710938,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/__eq__,0.003995656967163086,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/__repr__,0.0009987354278564453,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/__sizeof__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/__str__,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/column_names,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/number_of_columns,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/number_of_rows,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/schema,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/get_column,0.00099945068359375,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/has_column,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/get_column_type,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/get_row,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/_get_similar_columns,0.000997781753540039,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/summarize_statistics,0.007992744445800781,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/_as_table,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/add_column,0.0031080245971679688,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/add_columns,0.0031037330627441406,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/add_row,0.002995729446411133,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/add_rows,0.0010879039764404297,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/filter_rows,0.0010006427764892578,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/group_rows_by,0.0020165443420410156,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/keep_only_columns,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/remove_columns,0.0010747909545898438,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/remove_columns_with_missing_values,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/remove_columns_with_non_numerical_values,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/remove_duplicate_rows,0.0009992122650146484,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/remove_rows_with_missing_values,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/remove_rows_with_outliers,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/rename_column,0.001562356948852539,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/replace_column,0.003834247589111328,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/shuffle_rows,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/slice_rows,0.0011086463928222656,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/sort_columns,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/sort_rows,0.0009992122650146484,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/split_rows,0.001115560531616211,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/tag_columns,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/time_columns,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/transform_column,0.0009813308715820312,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/transform_table,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/inverse_transform_table,0.0,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/plot_correlation_heatmap,0.002016305923461914,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/plot_lineplot,0.0009801387786865234,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/plot_scatterplot,0.0029976367950439453,2025-03-05 23:56:37.610068
No,safeds,safeds/data/tabular/containers/_table/Table/plot_boxplots,0.0021097660064697266,2025-03-05 23:56:37.610068
