Type-Aware,Library,Runtime [seconds],Expressions,Type coverage,Expr with 3 type sources,Expr with 2 type sources,Expr with 1 type source,Expr with 0 type sources,Conflicted Types,Expressions with both type hint and docstring,Expressions with type hint,Expressions with comment type info,Expressions with inferred type info,mp_nodes.ConditionalExpr,mp_nodes.CallExpr,mp_nodes.MemberExpr,mp_nodes.StrExpr,mp_nodes.NameExpr,mp_nodes.UnaryExpr,mp_nodes.OpExpr,mp_nodes.ComparisonExpr,mp_nodes.IntExpr,mp_nodes.TupleExpr,mp_nodes.ListExp,mp_nodes.IndexExpr,mp_nodes.SliceExpr,mp_nodes.FloatExpr,mp_nodes.GeneratorExpr,mp_nodes.LambdaExpr,mp_nodes.DictExpr,,mp_nodes.StarExp,mp_nodes.SuperExpr,Date
No,safeds,85.69972348213196,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-02-28 21:20:41.379817
No,safeds,169.05488681793213,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-01 01:21:25.115088
Yes,safeds,100.27585744857788,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-01 16:17:08.140494
Yes,safeds,107.51455855369568,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-01 16:26:05.098825
Yes,safeds,87.95546007156372,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-01 22:49:46.741478
No,safeds,83.21388125419617,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-02 12:05:50.951293
Yes,safeds,88.24121117591858,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-02 12:08:19.258963
No,safeds,92.33834886550903,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-02 19:50:15.952320
No,safeds,130.10777807235718,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-07 17:41:54.653297
No,safeds,80.65361833572388,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-08 11:56:05.332708
No,safeds,97.0332202911377,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-08 12:00:18.239734
No,safeds,77.15771508216858,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-08 12:07:59.824288
No,safeds,78.6648383140564,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-08 12:11:14.369099
Yes,safeds,78.6228256225586,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-08 12:42:11.480512
No,safeds,85.94920444488525,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-08 12:54:54.494154
Yes,safeds,79.8793535232544,9868,0.9200445885691123,0,1303,7900,665,124,0,1331,0,9175,31,1629,1988,785,3990,67,168,378,322,37,153,113,11,22,34,9,14,42,2,73,2025-03-08 23:44:13.940639
