Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
safeds,safeds.data.image.containers._image,82,12,CallExpr,,,,2025-02-10 22:14:36.395327
safeds,safeds.data.image.containers._image,82,12,MemberExpr,,,,2025-02-10 22:14:36.396327
safeds,safeds.data.image.containers._image,86,12,NameExpr,,,Any,2025-02-10 22:14:36.397337
safeds,safeds.data.image.containers._image,81,13,CallExpr,,,,2025-02-10 22:14:36.399778
safeds,safeds.data.image.containers._image,81,13,MemberExpr,,,,2025-02-10 22:14:36.399778
safeds,safeds.data.image.containers._image,87,62,NameExpr,,,Any,2025-02-10 22:14:36.404797
safeds,safeds.data.image.containers._image,120,15,CallExpr,,,,2025-02-10 22:14:36.412783
safeds,safeds.data.image.containers._image,120,15,MemberExpr,,,,2025-02-10 22:14:36.413780
safeds,safeds.data.image.containers._image,135,17,CallExpr,,,,2025-02-10 22:14:36.415820
safeds,safeds.data.image.containers._image,135,17,MemberExpr,,,,2025-02-10 22:14:36.416780
safeds,safeds.data.image.containers._image,152,17,CallExpr,,,,2025-02-10 22:14:36.421786
safeds,safeds.data.image.containers._image,152,17,MemberExpr,,,,2025-02-10 22:14:36.421786
safeds,safeds.data.image.containers._image,375,12,CallExpr,,,,2025-02-10 22:14:36.454789
safeds,safeds.data.image.containers._image,375,12,MemberExpr,,,,2025-02-10 22:14:36.455799
safeds,safeds.data.image.containers._image,446,12,CallExpr,,,,2025-02-10 22:14:36.465792
safeds,safeds.data.image.containers._image,446,12,MemberExpr,,,,2025-02-10 22:14:36.466837
safeds,safeds.data.image.containers._image,484,12,CallExpr,,,,2025-02-10 22:14:36.476258
safeds,safeds.data.image.containers._image,484,12,MemberExpr,,,,2025-02-10 22:14:36.476258
safeds,safeds.data.image.containers._image,490,12,CallExpr,,,,2025-02-10 22:14:36.477227
safeds,safeds.data.image.containers._image,490,12,MemberExpr,,,,2025-02-10 22:14:36.478247
safeds,safeds.data.image.containers._image,546,12,CallExpr,,,,2025-02-10 22:14:36.485272
safeds,safeds.data.image.containers._image,546,12,MemberExpr,,,,2025-02-10 22:14:36.486239
safeds,safeds.data.image.containers._image,592,54,UnaryExpr,,,,2025-02-10 22:14:36.496238
safeds,safeds.data.image.containers._image,618,8,NameExpr,,,Any,2025-02-10 22:14:36.499276
safeds,safeds.data.image.containers._image,623,8,NameExpr,,,Any,2025-02-10 22:14:36.500285
safeds,safeds.data.image.containers._image,626,16,NameExpr,,,Any,2025-02-10 22:14:36.507272
safeds,safeds.data.image.containers._image,633,25,CallExpr,,,Any,2025-02-10 22:14:36.508277
safeds,safeds.data.image.containers._image,633,25,MemberExpr,,,Any,2025-02-10 22:14:36.509274
safeds,safeds.data.image.containers._image,636,27,CallExpr,,,Any,2025-02-10 22:14:36.510239
safeds,safeds.data.image.containers._image,636,27,MemberExpr,,,Any,2025-02-10 22:14:36.510239
safeds,safeds.data.image.containers._image,640,25,NameExpr,,,Any,2025-02-10 22:14:36.512240
safeds,safeds.data.tabular.containers._column,109,70,MemberExpr,,,,2025-02-10 22:14:36.518273
safeds,safeds.data.tabular.containers._column,109,70,NameExpr,,,,2025-02-10 22:14:36.519238
safeds,safeds.data.tabular.containers._column,109,86,CallExpr,,,,2025-02-10 22:14:36.520241
safeds,safeds.data.tabular.containers._column,109,86,MemberExpr,,,,2025-02-10 22:14:36.522245
safeds,safeds.data.tabular.containers._column,191,12,NameExpr,,,Any,2025-02-10 22:14:36.533209
safeds,safeds.data.tabular.containers._column,192,46,NameExpr,,,Any,2025-02-10 22:14:36.537215
safeds,safeds.data.tabular.containers._column,249,15,CallExpr,,,,2025-02-10 22:14:36.541245
safeds,safeds.data.tabular.containers._column,249,15,MemberExpr,,,,2025-02-10 22:14:36.542243
safeds,safeds.data.tabular.containers._column,259,15,CallExpr,,,,2025-02-10 22:14:36.545211
safeds,safeds.data.tabular.containers._column,259,15,MemberExpr,,,,2025-02-10 22:14:36.546598
safeds,safeds.data.tabular.containers._column,259,43,CallExpr,,,,2025-02-10 22:14:36.547608
safeds,safeds.data.tabular.containers._column,259,43,MemberExpr,,,,2025-02-10 22:14:36.548619
safeds,safeds.data.tabular.containers._column,259,71,CallExpr,,,,2025-02-10 22:14:36.549612
safeds,safeds.data.tabular.containers._column,259,71,MemberExpr,,,,2025-02-10 22:14:36.550605
safeds,safeds.data.tabular.containers._column,277,15,CallExpr,,,,2025-02-10 22:14:36.554621
safeds,safeds.data.tabular.containers._column,277,15,MemberExpr,,,,2025-02-10 22:14:36.555614
safeds,safeds.data.tabular.containers._column,418,40,NameExpr,,,Any,2025-02-10 22:14:36.563608
safeds,safeds.data.tabular.containers._column,418,29,NameExpr,,,Any,2025-02-10 22:14:36.564609
safeds,safeds.data.tabular.containers._column,444,40,NameExpr,,,Any,2025-02-10 22:14:36.566608
safeds,safeds.data.tabular.containers._column,444,29,NameExpr,,,Any,2025-02-10 22:14:36.567625
safeds,safeds.data.tabular.containers._column,471,44,NameExpr,,,Any,2025-02-10 22:14:36.570624
safeds,safeds.data.tabular.containers._column,471,33,NameExpr,,,Any,2025-02-10 22:14:36.572620
safeds,safeds.data.tabular.containers._column,493,86,CallExpr,,,,2025-02-10 22:14:36.575608
safeds,safeds.data.tabular.containers._column,493,86,MemberExpr,,,,2025-02-10 22:14:36.575608
safeds,safeds.data.tabular.containers._column,583,16,CallExpr,,,,2025-02-10 22:14:36.580491
safeds,safeds.data.tabular.containers._column,583,16,MemberExpr,,,,2025-02-10 22:14:36.581456
