Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
Yes,safeds,safeds.data.image.containers._image,82,12,CallExpr,,,,2025-04-08 14:05:44.334546
Yes,safeds,safeds.data.image.containers._image,82,12,MemberExpr,,,,2025-04-08 14:05:44.339689
Yes,safeds,safeds.data.image.containers._image,86,12,NameExpr,,,Any,2025-04-08 14:05:44.340783
Yes,safeds,safeds.data.image.containers._image,81,13,CallExpr,,,,2025-04-08 14:05:44.340783
Yes,safeds,safeds.data.image.containers._image,81,13,MemberExpr,,,,2025-04-08 14:05:44.341801
Yes,safeds,safeds.data.image.containers._image,87,62,NameExpr,,,Any,2025-04-08 14:05:44.342799
Yes,safeds,safeds.data.image.containers._image,120,15,CallExpr,,,,2025-04-08 14:05:44.363297
Yes,safeds,safeds.data.image.containers._image,120,15,MemberExpr,,,,2025-04-08 14:05:44.364296
Yes,safeds,safeds.data.image.containers._image,135,17,CallExpr,,,,2025-04-08 14:05:44.368407
Yes,safeds,safeds.data.image.containers._image,135,17,MemberExpr,,,,2025-04-08 14:05:44.369408
Yes,safeds,safeds.data.image.containers._image,152,17,CallExpr,,,,2025-04-08 14:05:44.372506
Yes,safeds,safeds.data.image.containers._image,152,17,MemberExpr,,,,2025-04-08 14:05:44.373505
Yes,safeds,safeds.data.image.containers._image,375,12,CallExpr,,,,2025-04-08 14:05:44.458015
Yes,safeds,safeds.data.image.containers._image,375,12,MemberExpr,,,,2025-04-08 14:05:44.458996
Yes,safeds,safeds.data.image.containers._image,446,12,CallExpr,,,,2025-04-08 14:05:44.500957
Yes,safeds,safeds.data.image.containers._image,446,12,MemberExpr,,,,2025-04-08 14:05:44.501956
Yes,safeds,safeds.data.image.containers._image,484,12,CallExpr,,,,2025-04-08 14:05:44.524045
Yes,safeds,safeds.data.image.containers._image,484,12,MemberExpr,,,,2025-04-08 14:05:44.525059
Yes,safeds,safeds.data.image.containers._image,490,12,CallExpr,,,,2025-04-08 14:05:44.525059
