Type-Aware, Library,Full Api Analysis Runtime [s],Function Body Anaylsis Runtime [s],Average function body analysis runtime [s],Finding Referenced Functions runtime [s],Date
-,safeds,99.35121941566467,0,0,0,2025-02-05 15:55:03.135139
-,safeds,109.39894556999207,0,0,0,2025-02-05 16:00:30.250127
-,safeds,163.86687207221985,0,0,0,2025-02-07 17:58:52.650942
-,safeds,108.41022825241089,0,0,0,2025-02-07 18:33:23.675445
-,safeds,110.27640318870544,0.3,0.0,0.048471927642822266,2025-02-07 18:41:42.396190
-,safeds,108.95947241783142,0.27,0.0,0.0,2025-02-07 18:51:19.716150
-,safeds,116.6534595489502,0.22,0.0,0.0,2025-02-08 03:14:01.574549
-,safeds,85.09816265106201,0.22,0.0,0.0,2025-02-08 03:20:56.773334
-,safeds,114.45862579345703,0.31,0.0,0.05385732650756836,2025-02-16 12:48:22.126893
-,safeds,114.44400882720947,0.32,0.0,0.0,2025-02-16 12:55:00.668930
No,safeds,94.83434772491455,0.26394,0.00054,0.0,2025-02-19 18:26:00.726524
No,safeds,246.5312671661377,0.65842,0.00134,0.0,2025-02-19 20:26:44.765842
Yes,safeds,217.14833855628967,0.9527,0.00194,0.13516926765441895,2025-02-19 21:06:56.088644
Yes,safeds,120.2502748966217,0.2556,0.00052,0.03476071357727051,2025-02-27 00:12:57.584805
Yes,safeds,83.1005527973175,0.30187,0.00062,0.03579068183898926,2025-02-27 09:16:43.974429
No,safeds,89.1927137374878,0.2774,0.00057,0.0,2025-02-27 17:24:35.563089
No,safeds,120.2518482208252,0.26786,0.00055,0.0,2025-02-28 09:25:22.100778
Yes,safeds,81.67374348640442,0.29875,0.00061,0.03594684600830078,2025-03-03 09:58:32.560108
Yes,safeds,84.71508884429932,0.26656,0.00054,0.040108442306518555,2025-03-03 21:45:43.840823
