Type-Aware?,Library,NodeID,#Nodes,#Edges,#Leaves,Max Depth,Branching Factor,Percentage of Leaves,Date
No,safeds,safeds.data.image.containers._image.__init__.89.4,1,0,1,0,0.0,1.0,2025-01-12 13:52:21.964553
No,safeds,safeds.data.tabular.containers._column.__init__.89.4,87,86,60,6,0.9885057471264368,0.6896551724137931,2025-01-12 13:52:21.966553
No,safeds,safeds.data.tabular.containers._row.__init__.109.4,105,104,73,6,0.9904761904761905,0.6952380952380952,2025-01-12 13:52:21.967662
No,safeds,safeds.data.tabular.containers._table.__init__.385.4,110,109,76,6,0.990909090909091,0.6909090909090909,2025-01-12 13:52:21.968659
No,safeds,safeds.data.tabular.transformation._discretizer.__init__.31.4,21,20,12,6,0.9523809523809523,0.5714285714285714,2025-01-12 13:52:21.968659
No,safeds,safeds.data.tabular.transformation._imputer.__init__.50.12,1,0,1,0,0.0,1.0,2025-01-12 13:52:21.968659
No,safeds,safeds.data.tabular.transformation._imputer.__init__.87.4,1,0,1,0,0.0,1.0,2025-01-12 13:52:21.969985
No,safeds,safeds.data.tabular.transformation._label_encoder.__init__.18.4,1,0,1,0,0.0,1.0,2025-01-12 13:52:21.970620
No,safeds,safeds.data.tabular.transformation._one_hot_encoder.__init__.62.4,1,0,1,0,0.0,1.0,2025-01-12 13:52:21.970620
No,safeds,safeds.data.tabular.transformation._range_scaler.__init__.27.4,2,1,1,1,0.5,0.5,2025-01-12 13:52:21.971621
No,safeds,safeds.data.tabular.transformation._standard_scaler.__init__.13.4,1,0,1,0,0.0,1.0,2025-01-12 13:52:21.972620
No,safeds,safeds.data.tabular.typing._column_type.__init__.20.4,1,0,1,0,0.0,1.0,2025-01-12 13:52:21.973793
No,safeds,safeds.data.tabular.typing._column_type.__init__.131.4,1,0,1,0,0.0,1.0,2025-01-12 13:52:21.973793
No,safeds,safeds.data.tabular.typing._column_type.__init__.176.4,1,0,1,0,0.0,1.0,2025-01-12 13:52:21.974793
No,safeds,safeds.data.tabular.typing._column_type.__init__.221.4,1,0,1,0,0.0,1.0,2025-01-12 13:52:21.974793
