Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
Yes,safeds,No,safeds.data.image.containers._image.from_file.46.4,5,4,3,0,2,0.8,0.6,Impure,Impure,2025-01-14 19:02:35.374464
Yes,safeds,No,safeds.data.image.containers._image.from_bytes.65.4,5,4,3,0,2,0.8,0.6,Impure,Impure,2025-01-14 19:02:35.377835
Yes,safeds,No,safeds.data.image.containers._image.__init__.89.4,1,0,1,0,0,0.0,1.0,Impure,Pure,2025-01-14 19:02:35.377835
Yes,safeds,No,safeds.data.image.containers._image.__eq__.92.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-01-14 19:02:35.378832
Yes,safeds,No,safeds.data.image.containers._image.__sizeof__.112.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-14 19:02:35.380262
Yes,safeds,No,safeds.data.image.containers._image._repr_jpeg_.122.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-01-14 19:02:35.380262
Yes,safeds,No,safeds.data.image.containers._image._repr_png_.143.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-01-14 19:02:35.381265
Yes,safeds,No,safeds.data.image.containers._image._set_device.160.4,4,3,2,0,2,0.75,0.5,Impure,Impure,2025-01-14 19:02:35.381265
Yes,safeds,No,safeds.data.image.containers._image.width.176.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-14 19:02:35.382218
Yes,safeds,No,safeds.data.image.containers._image.height.188.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-14 19:02:35.382218
Yes,safeds,No,safeds.data.image.containers._image.channel.200.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-14 19:02:35.382218
Yes,safeds,No,safeds.data.image.containers._image.device.212.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-14 19:02:35.383580
Yes,safeds,No,safeds.data.image.containers._image.to_jpeg_file.227.4,6,5,3,0,3,0.8333333333333334,0.5,Impure,Impure,2025-01-14 19:02:35.383580
Yes,safeds,No,safeds.data.image.containers._image.to_png_file.244.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-14 19:02:35.385003
Yes,safeds,No,safeds.data.image.containers._image.resize.263.4,4,3,2,0,2,0.75,0.5,Impure,Impure,2025-01-14 19:02:35.386062
Yes,safeds,No,safeds.data.image.containers._image.convert_to_grayscale.279.4,4,3,2,0,2,0.75,0.5,Impure,Impure,2025-01-14 19:02:35.387076
Yes,safeds,No,safeds.data.image.containers._image.crop.301.4,4,3,2,0,2,0.75,0.5,Impure,Impure,2025-01-14 19:02:35.387076
Yes,safeds,No,safeds.data.image.containers._image.flip_vertically.321.4,4,3,2,0,2,0.75,0.5,Impure,Impure,2025-01-14 19:02:35.388215
Yes,safeds,No,safeds.data.image.containers._image.flip_horizontally.334.4,4,3,2,0,2,0.75,0.5,Impure,Impure,2025-01-14 19:02:35.388215
Yes,safeds,No,safeds.data.image.containers._image.adjust_brightness.347.4,76,82,50,4,8,1.0789473684210527,0.6578947368421053,Impure,Impure,2025-01-14 19:02:35.389503
Yes,safeds,No,safeds.data.image.containers._image.add_noise.391.4,74,80,48,4,8,1.0810810810810811,0.6486486486486487,Impure,Impure,2025-01-14 19:02:35.389503
Yes,safeds,No,safeds.data.image.containers._image.adjust_contrast.419.4,76,82,50,4,8,1.0789473684210527,0.6578947368421053,Impure,Impure,2025-01-14 19:02:35.389503
Yes,safeds,No,safeds.data.image.containers._image.adjust_color_balance.462.4,80,86,52,4,8,1.075,0.65,Impure,Impure,2025-01-14 19:02:35.390836
Yes,safeds,No,safeds.data.image.containers._image.blur.500.4,4,3,2,0,2,0.75,0.5,Impure,Impure,2025-01-14 19:02:35.391895
Yes,safeds,No,safeds.data.image.containers._image.sharpen.519.4,76,82,50,4,8,1.0789473684210527,0.6578947368421053,Impure,Impure,2025-01-14 19:02:35.391895
Yes,safeds,No,safeds.data.image.containers._image.invert_colors.562.4,4,3,2,0,2,0.75,0.5,Impure,Impure,2025-01-14 19:02:35.393014
Yes,safeds,No,safeds.data.image.containers._image.rotate_right.581.4,4,3,2,0,2,0.75,0.5,Impure,Impure,2025-01-14 19:02:35.393014
Yes,safeds,No,safeds.data.image.containers._image.rotate_left.594.4,4,3,2,0,2,0.75,0.5,Impure,Impure,2025-01-14 19:02:35.394052
Yes,safeds,No,safeds.data.image.containers._image.find_edges.607.4,9,8,5,0,3,0.8888888888888888,0.5555555555555556,Impure,Impure,2025-01-14 19:02:35.394052
Yes,safeds,No,safeds.data.tabular.containers._column._from_pandas_series.55.4,41,40,29,0,4,0.975609756097561,0.7073170731707317,Impure,Impure,2025-01-14 19:02:35.395070
Yes,safeds,No,safeds.data.tabular.containers._column.__init__.89.4,40,39,28,0,4,0.975,0.7,Impure,Impure,2025-01-14 19:02:35.395070
Yes,safeds,No,safeds.data.tabular.containers._column.__contains__.113.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-14 19:02:35.396190
Yes,safeds,No,safeds.data.tabular.containers._column.__eq__.116.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-01-14 19:02:35.396190
Yes,safeds,No,safeds.data.tabular.containers._column.__getitem__.155.4,49,48,34,0,5,0.9795918367346939,0.6938775510204082,Impure,Impure,2025-01-14 19:02:35.397194
Yes,safeds,No,safeds.data.tabular.containers._column.__iter__.194.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-14 19:02:35.397194
Yes,safeds,No,safeds.data.tabular.containers._column.__len__.215.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-14 19:02:35.398285
Yes,safeds,No,safeds.data.tabular.containers._column.__repr__.233.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-14 19:02:35.398285
Yes,safeds,No,safeds.data.tabular.containers._column.__sizeof__.251.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-14 19:02:35.399514
Yes,safeds,No,safeds.data.tabular.containers._column.__str__.261.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-14 19:02:35.399514
Yes,safeds,No,safeds.data.tabular.containers._column.name.284.4,1,0,1,0,0,0.0,1.0,Impure,Pure,2025-01-14 19:02:35.399514
Yes,safeds,No,safeds.data.tabular.containers._column.number_of_rows.303.4,2,1,1,0,1,0.5,0.5,Impure,Pure,2025-01-14 19:02:35.400711
Yes,safeds,No,safeds.data.tabular.containers._column.type.315.4,1,0,1,0,0,0.0,1.0,Impure,Pure,2025-01-14 19:02:35.400711
Yes,safeds,No,safeds.data.tabular.containers._column.get_unique_values.341.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-14 19:02:35.401987
Yes,safeds,No,safeds.data.tabular.containers._column.get_value.359.4,6,5,3,0,3,0.8333333333333334,0.5,Impure,Impure,2025-01-14 19:02:35.402985
