Type-Aware?,Library,Runtime [s],Date
Yes,safeds,257.10174894332886,2025-02-05 16:04:47.499679
Yes,safeds,270.71641063690186,2025-02-07 18:03:23.481928
Yes,safeds,217.05014157295227,2025-02-07 18:37:00.822308
Yes,safeds,223.908100605011,2025-02-07 18:45:26.393653
No,safeds,220.83964490890503,2025-02-07 18:55:00.670114
No,safeds,191.2190637588501,2025-02-08 03:17:12.863399
No,safeds,176.624507188797,2025-02-08 03:23:53.466544
No,safeds,220.9477994441986,2025-02-16 12:10:30.569528
Yes,safeds,228.24072408676147,2025-02-16 12:33:27.775321
Yes,safeds,216.69020056724548,2025-02-16 12:51:58.905677
No,safeds,226.29530692100525,2025-02-16 12:58:47.049553
No,safeds,201.67459177970886,2025-02-19 18:29:22.469109
No,safeds,423.39982080459595,2025-02-19 20:33:48.360447
Yes,safeds,441.1151821613312,2025-02-19 21:14:17.464957
No,safeds,24.32428550720215,2025-02-26 17:06:15.115072
Yes,safeds,21.00466561317444,2025-02-26 17:08:53.004100
Yes,safeds,23.703927755355835,2025-02-27 00:13:21.376109
Yes,safeds,23.194442987442017,2025-02-27 09:17:07.248282
No,safeds,22.922457456588745,2025-02-27 17:24:58.558195
No,safeds,25.14779257774353,2025-02-28 09:25:47.341145
Yes,safeds,19.673931121826172,2025-03-03 09:58:52.312325
Yes,safeds,21.272919416427612,2025-03-03 21:46:05.185216
No,safeds,21.246596097946167,2025-03-04 09:14:57.905511
No,safeds,26.749881505966187,2025-03-05 23:57:04.455451
Yes,safeds,20.213295698165894,2025-03-06 17:24:24.708893
