Name,Purity,Info,,,,,,,,,
seaborn._compat.scale_factory.70.0,Impure,,,,,,,,,,
seaborn._compat.set_scale_obj.108.0,Impure,,,,,,,,,,
seaborn._core.data.join.72.4,Impure,,,,,,,,,,
seaborn._core.moves.__call__.53.4,Impure,,,,,,,,,,
seaborn._core.moves.widths_to_offsets.130.8,Impure,,,,,,,,,,
seaborn._core.plot.__init__.200.4,Impure,,,,,,,,,,
seaborn._core.plot.__init__.875.4,Pure,,,,,,,,,,
seaborn._core.plot._clone.283.4,Impure,,,,,,,,,,
seaborn._core.plot._make_legend.1593.4,Impure,,,,,,,,,,
seaborn._core.plot._plot_layer.1295.4,Impure,,,,,,,,,,
seaborn._core.plot._resolve_label.965.4,Impure,,,,,,,,,,
seaborn._core.plot._resolve_positionals.234.4,Pure,,,,,,,,,,
seaborn._core.plot._setup_figure.980.4,Impure,,,,,,,,,,
seaborn._core.plot._setup_split_generator.1471.4,Impure,,,,,,,,,,
seaborn._core.plot._theme_with_defaults.309.4,Impure,,,,,,,,,,
seaborn._core.plot._variables.330.4,Impure,property,,,,,,,,,
seaborn._core.plot.add.390.4,Impure,,,,,,,,,,
seaborn._core.plot.get_order.1310.12,Impure,,,,,,,,,,
seaborn._core.plot.on.344.4,Impure,,,,,,,,,,
seaborn._core.plot.save.778.4,Impure,,,,,,,,,,
seaborn._core.plot.scale.605.4,Impure,,,,,,,,,,
seaborn._core.plot.split_generator.1485.8,Impure,,,,,,,,,,
seaborn._core.plot.theme_context.94.0,Impure,,,,,,,,,,
seaborn._core.properties._default_values.450.4,Impure,,,,,,,,,,
seaborn._core.properties._default_values.546.4,Impure,,,,,,,,,,
seaborn._core.properties._get_nominal_mapping.223.4,Impure,,FP !!!,,"def _get_nominal_mapping(self, scale: Nominal, data: Series) -> Mapping:",,,,,,
seaborn._core.properties._get_values.378.4,Impure,,,,"    """"""Identify evenly-spaced values using interval or explicit mapping.""""""",,,,,,
seaborn._core.properties._get_values.702.4,Impure,,,,"    levels = categorical_order(data, scale.order)",,,,,,
seaborn._core.properties._inverse.172.4,Pure,,,,"    values = self._get_values(scale, levels)",,,,,,For some reason this is not propagated
seaborn._core.properties._mapping.663.8,Impure,,,,,,,,,,
seaborn._core.properties.default_scale.64.4,Impure,,,,    def mapping(x):,,,,,,
seaborn._core.properties.get_mapping.764.4,Impure,,FP !!!,,"def get_mapping(self, scale: Scale, data: Series) -> Mapping:",,,,,,
seaborn._core.properties.get_mapping.97.4,Pure,What about this? Is this truely pure?,"def get_mapping(self, scale: Scale, data: Series) -> Mapping:",,"    """"""Return a function that maps each data value to True or False.""""""",,,,,,
seaborn._core.properties.identity.99.8,Pure,,"    """"""Return a function that maps from data domain to property range.""""""",,"    boolean_scale = isinstance(scale, Boolean)",,,,,,
seaborn._core.properties.infer_scale.77.4,Impure,,    def identity(x):,,"    order = getattr(scale, ""order"", [True, False] if boolean_scale else None)",,,,,,getattr ist builtin und impure!?
seaborn._core.properties.standardize.103.4,Pure,,        return x,,"    levels = categorical_order(data, order)",,,,,,
seaborn._core.rules.all_numeric.114.4,Pure,,    return identity,,"    values = self._get_values(scale, levels)",,,,,,Same Here
seaborn._core.rules.categorical_order.139.0,Impure,,,,,,,,,,
seaborn._core.rules.variable_type.40.0,Impure,,,,    if boolean_scale:,,,,,,
seaborn._core.scales._get_formatter.393.4,Impure,,,,        values = values[::-1],,,,,,
seaborn._core.scales._make_identity_transforms.1000.0,Pure,Same as get_mapping,,,,,,,,,
seaborn._core.scales._make_logit_transforms.1008.0,Pure,Same as get_mapping,,,    def mapping(x):,,,,,,
seaborn._core.scales._make_power_transforms.1079.0,Pure,Same as get_mapping,,,"        ixs = np.asarray(x, np.intp)",,,,,,
seaborn._core.scales._setup.253.4,Impure,,,,        return [,,,,,,
seaborn._core.scales.get_data_interval.931.4,Impure,,,,            values[ix] if np.isfinite(x_i) else False,,,,,,
seaborn._core.scales.get_scale.984.4,Impure,,,,"            for x_i, ix in zip(x, ixs)",,,,,,
seaborn._core.scales.label.225.4,Impure,,,,        ],,,,,,
seaborn._core.scales.label.75.4,Pure,,,,,,,,,,
