Type-Aware,Library,FunctionId,Runtime of body analysis,Date
Yes,seaborn,seaborn/algorithms/bootstrap,0.008019447326660156,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/algorithms/_structured_bootstrap,0.001997232437133789,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/algorithms/_handle_random_seed,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/_BaseGrid/set,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/_BaseGrid/fig,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/_BaseGrid/figure,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/_BaseGrid/apply,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/_BaseGrid/pipe,0.00099945068359375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/_BaseGrid/savefig,0.0009984970092773438,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/Grid/__init__,0.0009984970092773438,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/Grid/tight_layout,0.0009992122650146484,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/Grid/add_legend,0.004995107650756836,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/Grid/_update_legend_data,0.001996278762817383,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/Grid/_get_palette,0.0010006427764892578,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/Grid/legend,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/Grid/tick_params,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/__init__,0.011078357696533203,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/facet_data,0.0019979476928710938,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/map,0.002998828887939453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/map_dataframe,0.0029969215393066406,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/_facet_color,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/_facet_plot,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/_finalize_grid,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/facet_axis,0.00099945068359375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/despine,0.00099945068359375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/set_axis_labels,0.0009992122650146484,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/set_xlabels,0.0009982585906982422,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/set_ylabels,0.00099945068359375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/set_xticklabels,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/set_yticklabels,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/set_titles,0.004992485046386719,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/refline,0.0009982585906982422,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/axes,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/ax,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/axes_dict,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/_inner_axes,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/_left_axes,0.0009992122650146484,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/_not_left_axes,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/_bottom_axes,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/FacetGrid/_not_bottom_axes,0.0020813941955566406,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/PairGrid/__init__,0.01298975944519043,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/PairGrid/map,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/PairGrid/map_lower,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/PairGrid/map_upper,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/PairGrid/map_offdiag,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/PairGrid/map_diag,0.00499415397644043,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/PairGrid/_map_diag_iter_hue,0.0019979476928710938,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/PairGrid/_map_bivariate,0.0019996166229248047,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/PairGrid/_plot_bivariate,0.0019974708557128906,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/PairGrid/_plot_bivariate_iter_hue,0.001997709274291992,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/PairGrid/_add_axis_labels,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/PairGrid/_find_numeric_cols,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/JointGrid/__init__,0.005994558334350586,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/JointGrid/_inject_kwargs,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/JointGrid/plot,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/JointGrid/plot_joint,0.0019981861114501953,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/JointGrid/plot_marginals,0.0019979476928710938,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/JointGrid/refline,0.0019979476928710938,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/JointGrid/set_axis_labels,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/pairplot,0.004994869232177734,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/axisgrid/jointplot,0.016553163528442383,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotterNew/__init__,0.002996683120727539,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotterNew/_hue_backcompat,0.0019974708557128906,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotterNew/_palette_without_hue_backcompat,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotterNew/cat_axis,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotterNew/_get_gray,0.00099945068359375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotterNew/_adjust_cat_axis,0.0009996891021728516,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotterNew/_native_width,0.0009984970092773438,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotterNew/_nested_offsets,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotterNew/plot_strips,0.004994630813598633,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotterNew/plot_swarms,0.0059931278228759766,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotter/establish_variables,0.00899052619934082,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotter/_group_longform,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotter/establish_colors,0.002996683120727539,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotter/hue_offsets,0.0009992122650146484,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotter/nested_width,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotter/annotate_axes,0.0029973983764648438,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalPlotter/add_legend_data,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_BoxPlotter/__init__,0.0020003318786621094,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_BoxPlotter/draw_boxplot,0.003000020980834961,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_BoxPlotter/restyle_boxplot,0.001997232437133789,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_BoxPlotter/plot,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/__init__,0.004082202911376953,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/estimate_densities,0.006992340087890625,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/fit_kde,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/kde_support,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/scale_area,0.00099945068359375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/scale_width,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/scale_count,0.0019979476928710938,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/dwidth,0.00099945068359375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/draw_violins,0.007991790771484375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/draw_single_observation,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/draw_box_lines,0.0019979476928710938,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/draw_quartiles,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/draw_points,0.00099945068359375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/draw_stick_lines,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/draw_to_density,0.001997709274291992,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_ViolinPlotter/plot,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalStatPlotter/nested_width,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalStatPlotter/estimate_statistic,0.004995107650756836,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_CategoricalStatPlotter/draw_confints,0.0019969940185546875,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_BarPlotter/__init__,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_BarPlotter/draw_bars,0.003789663314819336,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_BarPlotter/plot,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_PointPlotter/__init__,0.002996683120727539,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_PointPlotter/hue_offsets,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_PointPlotter/draw_points,0.004994630813598633,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_PointPlotter/plot,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_LVPlotter/__init__,0.002996683120727539,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_LVPlotter/_lv_box_ends,0.0030837059020996094,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_LVPlotter/_lv_outliers,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_LVPlotter/_width_functions,0.0009942054748535156,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_LVPlotter/_lvplot,0.011988162994384766,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_LVPlotter/draw_letter_value_plot,0.004996299743652344,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/_LVPlotter/plot,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/boxplot,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/violinplot,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/boxenplot,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/stripplot,0.003000497817993164,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/swarmplot,0.001997232437133789,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/barplot,0.0009980201721191406,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/pointplot,0.0009984970092773438,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/countplot,0.0019981861114501953,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/catplot,0.019661426544189453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/Beeswarm/__init__,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/Beeswarm/__call__,0.003996133804321289,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/Beeswarm/beeswarm,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/Beeswarm/could_overlap,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/Beeswarm/position_candidates,0.0009992122650146484,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/Beeswarm/first_non_overlapping_candidate,0.002016782760620117,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/categorical/Beeswarm/add_gutters,0.001998424530029297,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/__init__,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/univariate,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/data_variable,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/has_xy_data,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/_add_legend,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/_artist_kws,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/_quantile_to_level,0.0009992122650146484,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/_cmap_from_color,0.0009992122650146484,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/_default_discrete,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/_resolve_multiple,0.0049953460693359375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/_compute_univariate_density,0.002997159957885742,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/plot_univariate_histogram,0.019997835159301758,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/plot_bivariate_histogram,0.007973194122314453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/plot_univariate_density,0.005993843078613281,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/plot_bivariate_density,0.05849647521972656,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/plot_univariate_ecdf,0.003995656967163086,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/plot_rug,0.0019979476928710938,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_DistributionPlotter/_plot_single_rug,0.0019979476928710938,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/histplot,0.0019979476928710938,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/kdeplot,0.004994869232177734,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/ecdfplot,0.0019974708557128906,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/rugplot,0.0034224987030029297,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/displot,0.008990049362182617,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/_freedman_diaconis_bins,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/distributions/distplot,0.00799250602722168,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_index_to_label,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_index_to_ticklabels,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_convert_colors,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_matrix_mask,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_HeatMapper/__init__,0.00599360466003418,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_HeatMapper/_determine_cmap_params,0.0029969215393066406,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_HeatMapper/_annotate_heatmap,0.001998424530029297,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_HeatMapper/_skip_ticks,0.00099945068359375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_HeatMapper/_auto_ticks,0.001998424530029297,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_HeatMapper/plot,0.0029964447021484375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/heatmap,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_DendrogramPlotter/__init__,0.003979921340942383,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_DendrogramPlotter/_calculate_linkage_scipy,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_DendrogramPlotter/_calculate_linkage_fastcluster,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_DendrogramPlotter/calculated_linkage,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_DendrogramPlotter/calculate_dendrogram,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_DendrogramPlotter/reordered_ind,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/_DendrogramPlotter/plot,0.0029973983764648438,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/dendrogram,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/ClusterGrid/__init__,0.004777193069458008,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/ClusterGrid/_preprocess_colors,0.0029964447021484375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/ClusterGrid/format_data,0.0019843578338623047,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/ClusterGrid/z_score,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/ClusterGrid/standard_scale,0.0010175704956054688,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/ClusterGrid/dim_ratios,0.00099945068359375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/ClusterGrid/color_list_to_matrix_and_cmap,0.0019979476928710938,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/ClusterGrid/plot_dendrograms,0.0009806156158447266,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/ClusterGrid/plot_colors,0.0029785633087158203,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/ClusterGrid/plot_matrix,0.003995656967163086,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/ClusterGrid/plot,0.0019974708557128906,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/matrix/clustermap,0.0009992122650146484,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/miscplot/palplot,0.0010006427764892578,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/miscplot/dogplot,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/_ColorPalette/__enter__,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/_ColorPalette/__exit__,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/_ColorPalette/as_hex,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/_ColorPalette/_repr_html_,0.00099945068359375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/_patch_colormap_display,0.0019974708557128906,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/color_palette,0.005011558532714844,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/hls_palette,0.001983165740966797,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/husl_palette,0.0009980201721191406,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/mpl_palette,0.0019979476928710938,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/_color_to_rgb,0.0009984970092773438,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/dark_palette,0.0009989738464355469,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/light_palette,0.0009992122650146484,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/diverging_palette,0.002010345458984375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/blend_palette,0.0005207061767578125,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/xkcd_palette,0.0010182857513427734,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/crayon_palette,0.0009815692901611328,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/cubehelix_palette,0.0029964447021484375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/_parse_cubehelix_args,0.0019974708557128906,2025-02-27 15:41:22.555765
