Type-Aware,Library,Runtime [seconds],Expressions,Type coverage,Expr with 3 type sources,Expr with 2 type sources,Expr with 1 type source,Expr with 0 type sources,Conflicted Types,Expressions with both type hint and docstring,Expressions with type hint,Expressions with comment type info,Expressions with inferred type info,mp_nodes.StrExpr,mp_nodes.CallExpr,mp_nodes.NameExpr,mp_nodes.ComparisonExpr,mp_nodes.MemberExpr,mp_nodes.IntExpr,mp_nodes.IndexExpr,mp_nodes.DictExpr,mp_nodes.ListExp,mp_nodes.OpExpr,mp_nodes.UnaryExpr,,mp_nodes.GeneratorExpr,mp_nodes.TupleExpr,mp_nodes.ConditionalExpr,mp_nodes.FloatExpr,mp_nodes.SuperExpr,mp_nodes.SliceExpr,mp_nodes.LambdaExpr,mp_nodes.SetExpr,mp_nodes.StarExp,mp_nodes.CastExpr,mp_nodes.EllipsisExpr,mp_nodes.YieldFromExpr,Date
-,seaborn,96.16062426567078,44536,0.591925633195617,0,1219,25371,17946,228,0,3538,0,24271,3451,5544,20861,1499,6257,1124,1487,301,818,983,317,203,175,898,137,300,15,112,9,18,16,8,2,1,2025-02-11 09:21:43.633435
Yes,seaborn,111.21795344352722,44536,0.591925633195617,0,1219,25371,17946,228,0,3538,0,24271,3451,5544,20861,1499,6257,1124,1487,301,818,983,317,203,175,898,137,300,15,112,9,18,16,8,2,1,2025-02-20 09:23:30.838609
No,seaborn,127.24413537979126,44536,0.591925633195617,0,1219,25371,17946,228,0,3538,0,24271,3451,5544,20861,1499,6257,1124,1487,301,818,983,317,203,175,898,137,300,15,112,9,18,16,8,2,1,2025-02-20 10:46:25.538198
No,seaborn,101.5485897064209,44536,0.591925633195617,0,1219,25371,17946,228,0,3538,0,24271,3451,5544,20861,1499,6257,1124,1487,301,818,983,317,203,175,898,137,300,15,112,9,18,16,8,2,1,2025-02-20 11:17:41.219002
Yes,seaborn,6647.4239666461945,44536,0.5919031794503323,0,1219,25370,17947,228,0,3538,0,24270,3451,5544,20861,1499,6257,1124,1487,301,818,983,317,203,175,898,137,300,15,112,9,18,16,8,2,1,2025-03-01 07:44:52.350925
No,seaborn,910.085296869278,44536,0.5919031794503323,0,1219,25370,17947,228,0,3538,0,24270,3451,5544,20861,1499,6257,1124,1487,301,818,983,317,203,175,898,137,300,15,112,9,18,16,8,2,1,2025-03-01 10:01:22.753652
No,seaborn,1428.9402439594269,44536,0.5919031794503323,0,1219,25370,17947,228,0,3538,0,24270,3451,5544,20861,1499,6257,1124,1487,301,818,983,317,203,175,898,137,300,15,112,9,18,16,8,2,1,2025-03-01 15:00:20.253307
Yes,seaborn,116.83967876434326,44536,0.5919031794503323,0,1219,25370,17947,228,0,3538,0,24270,3451,5544,20861,1499,6257,1124,1487,301,818,983,317,203,175,898,137,300,15,112,9,18,16,8,2,1,2025-03-02 05:35:47.729706
Yes,seaborn,83.01073336601257,44536,0.5919031794503323,0,1219,25370,17947,228,0,3538,0,24270,3451,5544,20861,1499,6257,1124,1487,301,818,983,317,203,175,898,137,300,15,112,9,18,16,8,2,1,2025-03-02 11:54:57.878060
No,seaborn,94.75305247306824,44536,0.5919031794503323,0,1219,25370,17947,228,0,3538,0,24270,3451,5544,20861,1499,6257,1124,1487,301,818,983,317,203,175,898,137,300,15,112,9,18,16,8,2,1,2025-03-02 12:00:50.197216
No,seaborn,246.45891547203064,44536,0.5919031794503323,0,1219,25370,17947,228,0,3538,0,24270,3451,5544,20861,1499,6257,1124,1487,301,818,983,317,203,175,898,137,300,15,112,9,18,16,8,2,1,2025-03-03 06:10:44.966532
No,seaborn,97.96344947814941,44536,0.5919031794503323,0,1219,25370,17947,228,0,3538,0,24270,3451,5544,20861,1499,6257,1124,1487,301,818,983,317,203,175,898,137,300,15,112,9,18,16,8,2,1,2025-03-08 21:58:56.558367
Yes,seaborn,98.4989423751831,44536,0.5919031794503323,0,1219,25370,17947,228,0,3538,0,24270,3451,5544,20861,1499,6257,1124,1487,301,818,983,317,203,175,898,137,300,15,112,9,18,16,8,2,1,2025-03-09 05:49:38.006560
