Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
seaborn,seaborn.axisgrid,159,18,GeneratorExpr,None,,GeneratorExpr,2025-02-11 09:21:32.342379
seaborn,seaborn.axisgrid,399,18,ConditionalExpr,None,,ConditionalExpr,2025-02-11 09:21:32.442753
seaborn,seaborn.axisgrid,405,49,CallExpr,None,,"Any, Any",2025-02-11 09:21:32.445752
seaborn,seaborn.axisgrid,406,49,CallExpr,None,,"Any, Any",2025-02-11 09:21:32.447751
seaborn,seaborn.axisgrid,407,49,CallExpr,None,,"Any, Any",2025-02-11 09:21:32.449778
seaborn,seaborn.axisgrid,423,31,OpExpr,None,,OpExpr,2025-02-11 09:21:32.460752
seaborn,seaborn.axisgrid,430,19,OpExpr,int,,OpExpr,2025-02-11 09:21:32.462752
seaborn,seaborn.axisgrid,430,43,OpExpr,int,,OpExpr,2025-02-11 09:21:32.463753
seaborn,seaborn.axisgrid,437,22,ConditionalExpr,None,,ConditionalExpr,2025-02-11 09:21:32.464761
seaborn,seaborn.axisgrid,438,23,ConditionalExpr,None,,ConditionalExpr,2025-02-11 09:21:32.466773
seaborn,seaborn.axisgrid,918,29,SliceExpr,None,,SliceExpr,2025-02-11 09:21:32.647336
seaborn,seaborn.axisgrid,919,34,SliceExpr,None,,SliceExpr,2025-02-11 09:21:32.650379
seaborn,seaborn.axisgrid,1271,18,OpExpr,int,,OpExpr,2025-02-11 09:21:32.788359
seaborn,seaborn.axisgrid,1271,49,OpExpr,float,,OpExpr,2025-02-11 09:21:32.788359
seaborn,seaborn.axisgrid,1329,23,ConditionalExpr,None,,ConditionalExpr,2025-02-11 09:21:32.810457
seaborn,seaborn.axisgrid,1691,26,OpExpr,int,,OpExpr,2025-02-11 09:21:33.025449
seaborn,seaborn.axisgrid,1691,37,OpExpr,int,,OpExpr,2025-02-11 09:21:33.025449
seaborn,seaborn.axisgrid,2101,15,ConditionalExpr,None,,ConditionalExpr,2025-02-11 09:21:33.171438
seaborn,seaborn.axisgrid,2102,15,ConditionalExpr,None,,ConditionalExpr,2025-02-11 09:21:33.172468
seaborn,seaborn.axisgrid,2103,15,ConditionalExpr,None,,ConditionalExpr,2025-02-11 09:21:33.172468
seaborn,seaborn.axisgrid,2196,16,ConditionalExpr,None,,ConditionalExpr,2025-02-11 09:21:33.207328
seaborn,seaborn.axisgrid,2198,19,ConditionalExpr,None,,ConditionalExpr,2025-02-11 09:21:33.208368
seaborn,seaborn.categorical,140,11,OpExpr,bool,,OpExpr,2025-02-11 09:21:33.318330
seaborn,seaborn.categorical,495,40,GeneratorExpr,None,,GeneratorExpr,2025-02-11 09:21:33.513442
seaborn,seaborn.categorical,554,23,ConditionalExpr,None,,ConditionalExpr,2025-02-11 09:21:33.533445
seaborn,seaborn.categorical,1508,34,OpExpr,None,,OpExpr,2025-02-11 09:21:34.187632
seaborn,seaborn.categorical,1508,52,OpExpr,None,,OpExpr,2025-02-11 09:21:34.188623
seaborn,seaborn.categorical,1510,34,OpExpr,None,,OpExpr,2025-02-11 09:21:34.191623
seaborn,seaborn.categorical,1510,52,OpExpr,None,,OpExpr,2025-02-11 09:21:34.191623
seaborn,seaborn.categorical,1516,34,OpExpr,None,,OpExpr,2025-02-11 09:21:34.198623
seaborn,seaborn.categorical,1516,52,OpExpr,None,,OpExpr,2025-02-11 09:21:34.200667
seaborn,seaborn.categorical,1519,34,OpExpr,None,,OpExpr,2025-02-11 09:21:34.204621
seaborn,seaborn.categorical,1519,52,OpExpr,None,,OpExpr,2025-02-11 09:21:34.205626
