Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
Yes,seaborn,seaborn.axisgrid,159,18,GeneratorExpr,None,,GeneratorExpr,2025-03-01 15:53:51.814666
Yes,seaborn,seaborn.axisgrid,399,18,ConditionalExpr,None,,ConditionalExpr,2025-03-01 15:53:51.903777
Yes,seaborn,seaborn.axisgrid,405,49,CallExpr,None,,"Any, Any",2025-03-01 15:53:51.905776
Yes,seaborn,seaborn.axisgrid,406,49,CallExpr,None,,"Any, Any",2025-03-01 15:53:51.907778
Yes,seaborn,seaborn.axisgrid,407,49,CallExpr,None,,"Any, Any",2025-03-01 15:53:51.908778
Yes,seaborn,seaborn.axisgrid,423,31,OpExpr,None,,OpExpr,2025-03-01 15:53:51.923429
Yes,seaborn,seaborn.axisgrid,430,19,OpExpr,int,,OpExpr,2025-03-01 15:53:51.925391
Yes,seaborn,seaborn.axisgrid,430,43,OpExpr,int,,OpExpr,2025-03-01 15:53:51.925391
Yes,seaborn,seaborn.axisgrid,437,22,ConditionalExpr,None,,ConditionalExpr,2025-03-01 15:53:51.926391
Yes,seaborn,seaborn.axisgrid,438,23,ConditionalExpr,None,,ConditionalExpr,2025-03-01 15:53:51.927392
Yes,seaborn,seaborn.axisgrid,918,29,SliceExpr,None,,SliceExpr,2025-03-01 15:53:52.097487
Yes,seaborn,seaborn.axisgrid,919,34,SliceExpr,None,,SliceExpr,2025-03-01 15:53:52.099497
Yes,seaborn,seaborn.axisgrid,1271,18,OpExpr,int,,OpExpr,2025-03-01 15:53:52.227028
Yes,seaborn,seaborn.axisgrid,1271,49,OpExpr,float,,OpExpr,2025-03-01 15:53:52.227028
Yes,seaborn,seaborn.axisgrid,1329,23,ConditionalExpr,None,,ConditionalExpr,2025-03-01 15:53:52.247065
Yes,seaborn,seaborn.axisgrid,1691,26,OpExpr,int,,OpExpr,2025-03-01 15:53:52.449797
Yes,seaborn,seaborn.axisgrid,1691,37,OpExpr,int,,OpExpr,2025-03-01 15:53:52.450802
Yes,seaborn,seaborn.axisgrid,2101,15,ConditionalExpr,None,,ConditionalExpr,2025-03-01 15:53:52.573429
Yes,seaborn,seaborn.axisgrid,2102,15,ConditionalExpr,None,,ConditionalExpr,2025-03-01 15:53:52.574432
Yes,seaborn,seaborn.axisgrid,2103,15,ConditionalExpr,None,,ConditionalExpr,2025-03-01 15:53:52.575428
Yes,seaborn,seaborn.axisgrid,2196,16,ConditionalExpr,None,,ConditionalExpr,2025-03-01 15:53:52.606826
Yes,seaborn,seaborn.axisgrid,2198,19,ConditionalExpr,None,,ConditionalExpr,2025-03-01 15:53:52.607826
Yes,seaborn,seaborn.categorical,140,11,OpExpr,bool,,OpExpr,2025-03-01 15:53:52.707829
Yes,seaborn,seaborn.categorical,495,40,GeneratorExpr,None,,GeneratorExpr,2025-03-01 15:53:52.890834
Yes,seaborn,seaborn.categorical,554,23,ConditionalExpr,None,,ConditionalExpr,2025-03-01 15:53:52.909835
Yes,seaborn,seaborn.categorical,1508,34,OpExpr,None,,OpExpr,2025-03-01 15:53:53.501516
Yes,seaborn,seaborn.categorical,1508,52,OpExpr,None,,OpExpr,2025-03-01 15:53:53.502515
Yes,seaborn,seaborn.categorical,1510,34,OpExpr,None,,OpExpr,2025-03-01 15:53:53.505514
Yes,seaborn,seaborn.categorical,1510,52,OpExpr,None,,OpExpr,2025-03-01 15:53:53.505514
Yes,seaborn,seaborn.categorical,1516,34,OpExpr,None,,OpExpr,2025-03-01 15:53:53.511513
Yes,seaborn,seaborn.categorical,1516,52,OpExpr,None,,OpExpr,2025-03-01 15:53:53.512515
