Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
Yes,seaborn,seaborn.algorithms,37,11,CallExpr,,,,2025-03-03 11:12:52.549777
Yes,seaborn,seaborn.algorithms,37,11,MemberExpr,,,,2025-03-03 11:12:52.550776
Yes,seaborn,seaborn.algorithms,39,4,NameExpr,,,Any,2025-03-03 11:12:52.551775
Yes,seaborn,seaborn.algorithms,42,4,NameExpr,,,Any,2025-03-03 11:12:52.552773
Yes,seaborn,seaborn.algorithms,43,4,NameExpr,,,Any,2025-03-03 11:12:52.552773
Yes,seaborn,seaborn.algorithms,44,4,NameExpr,,,Any,2025-03-03 11:12:52.553774
Yes,seaborn,seaborn.algorithms,45,4,NameExpr,,,Any,2025-03-03 11:12:52.554781
Yes,seaborn,seaborn.algorithms,46,4,NameExpr,,,Any,2025-03-03 11:12:52.555774
Yes,seaborn,seaborn.algorithms,48,8,NameExpr,,,Any,2025-03-03 11:12:52.556776
Yes,seaborn,seaborn.algorithms,49,8,CallExpr,,,,2025-03-03 11:12:52.556776
Yes,seaborn,seaborn.algorithms,49,8,MemberExpr,,,,2025-03-03 11:12:52.557775
Yes,seaborn,seaborn.algorithms,49,22,NameExpr,,,Any,2025-03-03 11:12:52.558780
Yes,seaborn,seaborn.algorithms,47,7,NameExpr,,,Any,2025-03-03 11:12:52.558780
Yes,seaborn,seaborn.algorithms,50,4,NameExpr,,,Any,2025-03-03 11:12:52.559789
Yes,seaborn,seaborn.algorithms,50,30,NameExpr,,,Any,2025-03-03 11:12:52.559789
Yes,seaborn,seaborn.algorithms,52,8,NameExpr,,,Any,2025-03-03 11:12:52.560828
Yes,seaborn,seaborn.algorithms,54,8,NameExpr,,,Any,2025-03-03 11:12:52.561775
Yes,seaborn,seaborn.algorithms,54,32,NameExpr,,,Any,2025-03-03 11:12:52.561775
Yes,seaborn,seaborn.algorithms,51,7,NameExpr,,,Any,2025-03-03 11:12:52.562776
Yes,seaborn,seaborn.algorithms,57,4,NameExpr,,,Any,2025-03-03 11:12:52.563792
Yes,seaborn,seaborn.algorithms,57,10,CallExpr,,,,2025-03-03 11:12:52.564778
