Type-Aware,Library,Full Api Analysis Runtime [s],Function Body Anaylsis Runtime [s],Average function body analysis runtime [s],Finding Referenced Functions runtime [s],Date
-,seaborn,107.51945328712463,1.36,0.0,0.0,2025-02-07 19:02:37.685762
-,seaborn,110.34507751464844,1.31,0.0,0.11313366889953613,2025-02-07 19:11:16.113291
No,seaborn,91.7244017124176,1.27994,0.00164,0.0,2025-02-20 11:17:02.824716
Yes,seaborn,85.97551107406616,1.15789,0.00148,0.08299970626831055,2025-02-20 11:45:04.682773
No,seaborn,85.55280017852783,1.09795,0.00141,0.0,2025-02-20 13:04:08.180956
Yes,seaborn,99.15350914001465,1.35895,0.00174,0.12871313095092773,2025-02-27 06:30:14.640773
Yes,seaborn,99.36167359352112,1.15939,0.00149,0.08275842666625977,2025-02-27 15:41:22.562757
No,seaborn,130.52608489990234,1.1155,0.00143,0.0,2025-02-28 02:52:37.563725
No,seaborn,141.5133364200592,1.17055,0.0015,0.0,2025-02-28 19:10:29.343200
Yes,seaborn,156.58910942077637,2.41025,0.00309,0.17200326919555664,2025-03-02 12:44:32.952062
