Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
No,seaborn,Yes,seaborn._compat.scale_factory.70.0,6,6,5,0,1,1.0,0.8333333333333334,Impure,Impure,2025-03-01 15:02:32.637630
No,seaborn,No,seaborn._compat.set_scale_obj.108.0,789010,793856,588813,2830,28,1.0061418739939925,0.7462681081355116,Impure,Impure,2025-03-01 15:02:32.648002
No,seaborn,No,seaborn._core.data.join.72.4,9,9,7,1,2,1.0,0.7777777777777778,Impure,Impure,2025-03-01 15:02:32.650000
No,seaborn,No,seaborn._core.moves.__call__.53.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:32.651197
No,seaborn,No,seaborn._core.moves.widths_to_offsets.130.8,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:32.652196
No,seaborn,No,seaborn._core.plot.__init__.200.4,13,12,11,0,2,0.9230769230769231,0.8461538461538461,Impure,Impure,2025-03-01 15:02:32.653195
No,seaborn,No,seaborn._core.plot.__init__.875.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:32.653195
No,seaborn,No,seaborn._core.plot._clone.283.4,8,8,6,1,2,1.0,0.75,Impure,Impure,2025-03-01 15:02:32.654194
No,seaborn,No,seaborn._core.plot._make_legend.1593.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-01 15:02:32.655192
No,seaborn,No,seaborn._core.plot._plot_layer.1295.4,1554,1658,1168,68,10,1.066924066924067,0.7516087516087516,Impure,Impure,2025-03-01 15:02:32.657282
No,seaborn,No,seaborn._core.plot._resolve_label.965.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-01 15:02:32.658282
No,seaborn,No,seaborn._core.plot._resolve_positionals.234.4,9,8,8,0,1,0.8888888888888888,0.8888888888888888,Impure,Pure,2025-03-01 15:02:32.659274
No,seaborn,No,seaborn._core.plot._setup_figure.980.4,788970,793814,588787,2828,27,1.006139650430308,0.7462729888335424,Impure,Impure,2025-03-01 15:02:32.660263
No,seaborn,No,seaborn._core.plot._setup_split_generator.1471.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.661358
No,seaborn,No,seaborn._core.plot._theme_with_defaults.309.4,219,222,176,3,5,1.0136986301369864,0.8036529680365296,Impure,Impure,2025-03-01 15:02:32.662358
No,seaborn,No,seaborn._core.plot._variables.330.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-01 15:02:32.663426
No,seaborn,No,seaborn._core.plot.add.390.4,16,16,13,1,3,1.0,0.8125,Impure,Impure,2025-03-01 15:02:32.663929
No,seaborn,No,seaborn._core.plot.get_order.1310.12,9,8,7,0,2,0.8888888888888888,0.7777777777777778,Impure,Impure,2025-03-01 15:02:32.664932
No,seaborn,No,seaborn._core.plot.on.344.4,12,12,9,1,3,1.0,0.75,Impure,Impure,2025-03-01 15:02:32.665931
No,seaborn,Yes,seaborn._core.plot.save.778.4,8095283,8145083,6041319,29082,38,1.006151730581871,0.7462764427136148,Impure,Impure,2025-03-01 15:02:32.669051
No,seaborn,No,seaborn._core.plot.scale.605.4,14,15,10,2,3,1.0714285714285714,0.7142857142857143,Impure,Impure,2025-03-01 15:02:32.669051
No,seaborn,No,seaborn._core.plot.split_generator.1485.8,788971,793815,588788,2829,27,1.0061396426484623,0.7462733104258585,Impure,Impure,2025-03-01 15:02:32.670050
No,seaborn,No,seaborn._core.plot.theme_context.94.0,198,199,159,1,5,1.005050505050505,0.803030303030303,Impure,Impure,2025-03-01 15:02:32.671049
No,seaborn,No,seaborn._core.properties._default_values.450.4,7,6,6,0,1,0.8571428571428571,0.8571428571428571,Impure,Impure,2025-03-01 15:02:32.672127
No,seaborn,No,seaborn._core.properties._default_values.546.4,5,4,4,0,1,0.8,0.8,Impure,Impure,2025-03-01 15:02:32.673126
No,seaborn,No,seaborn._core.properties._get_nominal_mapping.223.4,1,0,1,0,0,0.0,1.0,Pure,Impure,2025-03-01 15:02:32.674125
No,seaborn,No,seaborn._core.properties._get_values.378.4,35,35,28,0,3,1.0,0.8,Impure,Impure,2025-03-01 15:02:32.675124
No,seaborn,No,seaborn._core.properties._get_values.702.4,37,37,30,0,3,1.0,0.8108108108108109,Impure,Impure,2025-03-01 15:02:32.675124
No,seaborn,No,seaborn._core.properties._inverse.172.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:32.676123
No,seaborn,No,seaborn._core.properties._mapping.663.8,7,6,6,0,1,0.8571428571428571,0.8571428571428571,Impure,Impure,2025-03-01 15:02:32.677220
No,seaborn,No,seaborn._core.properties.default_scale.64.4,6514961,6554950,4861922,23347,34,1.0061380259989277,0.7462703153556867,Impure,Impure,2025-03-01 15:02:32.678219
No,seaborn,No,seaborn._core.properties.get_mapping.764.4,1,0,1,0,0,0.0,1.0,Pure,Impure,2025-03-01 15:02:32.679218
No,seaborn,No,seaborn._core.properties.get_mapping.97.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:32.680218
No,seaborn,No,seaborn._core.properties.identity.99.8,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:32.681216
No,seaborn,No,seaborn._core.properties.infer_scale.77.4,8,7,7,0,1,0.875,0.875,Impure,Impure,2025-03-01 15:02:32.682348
No,seaborn,No,seaborn._core.properties.standardize.103.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:32.683348
No,seaborn,Yes,seaborn._core.rules.all_numeric.114.4,2005071,2017377,1496326,7185,31,1.006137438524621,0.7462708303097496,Impure,Pure,2025-03-01 15:02:32.684346
No,seaborn,Yes,seaborn._core.rules.categorical_order.139.0,620153,623958,462804,2222,26,1.0061355826707281,0.7462739033754573,Impure,Impure,2025-03-01 15:02:32.685345
No,seaborn,Yes,seaborn._core.rules.variable_type.40.0,4154770,4180272,3100583,14889,33,1.00613800523254,0.7462706720227594,Impure,Impure,2025-03-01 15:02:32.685345
No,seaborn,No,seaborn._core.scales._get_formatter.393.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.686344
No,seaborn,No,seaborn._core.scales._make_identity_transforms.1000.0,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:32.687435
No,seaborn,No,seaborn._core.scales._make_logit_transforms.1008.0,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:32.688434
No,seaborn,No,seaborn._core.scales._make_power_transforms.1079.0,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:32.688434
No,seaborn,No,seaborn._core.scales._setup.253.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:32.689433
No,seaborn,No,seaborn._core.scales.get_data_interval.931.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.690432
No,seaborn,No,seaborn._core.scales.get_scale.984.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.691431
No,seaborn,No,seaborn._core.scales.label.225.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:32.692502
No,seaborn,No,seaborn._core.scales.label.75.4,2,1,1,0,1,0.5,0.5,Pure,Pure,2025-03-01 15:02:32.693503
No,seaborn,No,seaborn._core.scales.label.815.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:32.693503
No,seaborn,No,seaborn._core.scales.na_safe_cast.174.8,11,10,8,0,2,0.9090909090909091,0.7272727272727273,Impure,Impure,2025-03-01 15:02:32.695218
No,seaborn,No,seaborn._core.scales.set_data_interval.928.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.696220
No,seaborn,No,seaborn._core.scales.set_major_formatter.943.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.697220
No,seaborn,No,seaborn._core.scales.set_minor_locator.947.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.699356
No,seaborn,Yes,seaborn._core.scales.sqrt.1070.4,2,2,1,1,1,1.0,0.5,Impure,Impure,2025-03-01 15:02:32.700354
No,seaborn,Yes,seaborn._core.scales.square.1073.4,1,1,0,1,1,1.0,0.0,Impure,Impure,2025-03-01 15:02:32.701323
No,seaborn,No,seaborn._core.scales.symexp.1061.4,6,5,4,0,2,0.8333333333333334,0.6666666666666666,Impure,Impure,2025-03-01 15:02:32.702357
No,seaborn,No,seaborn._core.subplots.__init__.32.4,15,15,10,0,3,1.0,0.6666666666666666,Impure,Impure,2025-03-01 15:02:32.703492
No,seaborn,No,seaborn._core.subplots.init_figure.142.4,9,8,8,0,1,0.8888888888888888,0.8888888888888888,Impure,Impure,2025-03-01 15:02:32.703996
No,seaborn,No,seaborn._marks.area._legend_artist.71.4,84,89,64,4,7,1.0595238095238095,0.7619047619047619,Impure,Impure,2025-03-01 15:02:32.704999
No,seaborn,No,seaborn._marks.area._postprocess_artist.56.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:32.705996
No,seaborn,No,seaborn._marks.area._standardize_coordinate_parameters.162.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:32.706995
No,seaborn,No,seaborn._marks.bar.get_dimensions.232.12,228,242,171,10,9,1.0614035087719298,0.75,Impure,Impure,2025-03-01 15:02:32.706995
No,seaborn,No,seaborn._marks.base.depend.78.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.707994
No,seaborn,No,seaborn._marks.base.document_properties.297.0,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-03-01 15:02:32.709077
No,seaborn,No,seaborn._marks.line._handle_capstyle.111.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.710075
No,seaborn,No,seaborn._marks.line._legend_artist.83.4,86,91,66,4,7,1.058139534883721,0.7674418604651163,Impure,Impure,2025-03-01 15:02:32.711074
No,seaborn,No,seaborn._marks.line._setup_segments.287.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:32.712073
No,seaborn,No,seaborn._marks.text._plot.40.4,100,106,78,4,7,1.06,0.78,Impure,Impure,2025-03-01 15:02:32.713073
No,seaborn,No,seaborn._oldcore.__init__.520.4,14,13,13,0,1,0.9285714285714286,0.9285714285714286,Impure,Impure,2025-03-01 15:02:32.714207
No,seaborn,Yes,seaborn._oldcore.__init__.632.4,4489951,4517510,3350723,16090,35,1.0061379288994468,0.7462716185544118,Impure,Impure,2025-03-01 15:02:32.715206
No,seaborn,No,seaborn._oldcore._assign_variables_longform.859.4,9,8,8,0,1,0.8888888888888888,0.8888888888888888,Impure,Impure,2025-03-01 15:02:32.715206
No,seaborn,Yes,seaborn._oldcore._assign_variables_wideform.717.4,843,847,631,3,10,1.0047449584816133,0.7485172004744959,Impure,Impure,2025-03-01 15:02:32.716204
No,seaborn,No,seaborn._oldcore._check_list_length.58.4,7,6,6,0,1,0.8571428571428571,0.8571428571428571,Impure,Impure,2025-03-01 15:02:32.717203
No,seaborn,No,seaborn._oldcore._log_scaled.1301.4,7,6,6,0,1,0.8571428571428571,0.8571428571428571,Impure,Impure,2025-03-01 15:02:32.718202
No,seaborn,No,seaborn._oldcore._lookup_single.170.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.718202
No,seaborn,No,seaborn._oldcore._lookup_single.580.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.719314
No,seaborn,No,seaborn._oldcore._map_attributes.588.4,14,13,12,0,2,0.9285714285714286,0.8571428571428571,Impure,Impure,2025-03-01 15:02:32.720314
No,seaborn,Yes,seaborn._oldcore.assign_variables.689.4,4489947,4517506,3350720,16090,34,1.0061379343675994,0.7462716152328747,Impure,Impure,2025-03-01 15:02:32.721312
No,seaborn,No,seaborn._oldcore.has_xy_data.664.4,7,7,5,0,2,1.0,0.7142857142857143,Impure,Impure,2025-03-01 15:02:32.722310
No,seaborn,No,seaborn._oldcore.iter_data.973.4,36,36,30,0,2,1.0,0.8333333333333334,Impure,Impure,2025-03-01 15:02:32.723309
No,seaborn,No,seaborn._oldcore.scale_categorical.1359.4,788968,793811,588784,2828,27,1.0061383985155292,0.7462710781679358,Impure,Impure,2025-03-01 15:02:32.724390
No,seaborn,No,seaborn._statistics.__call__.189.4,291,306,190,16,8,1.0515463917525774,0.6529209621993127,Impure,Impure,2025-03-01 15:02:32.725389
No,seaborn,No,seaborn._statistics.__call__.393.4,291,306,190,16,8,1.0515463917525774,0.6529209621993127,Impure,Impure,2025-03-01 15:02:32.726388
No,seaborn,No,seaborn._statistics.__call__.480.4,789019,793863,588827,2829,29,1.006139269143075,0.7462773393289642,Impure,Impure,2025-03-01 15:02:32.728386
No,seaborn,No,seaborn._statistics._define_support_bivariate.106.4,40,42,25,3,5,1.05,0.625,Impure,Impure,2025-03-01 15:02:32.729874
No,seaborn,No,seaborn._statistics._define_support_grid.89.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-03-01 15:02:32.730874
No,seaborn,No,seaborn._statistics._eval_bivariate.335.4,27,26,22,0,4,0.9629629629629629,0.8148148148148148,Impure,Impure,2025-03-01 15:02:32.731873
No,seaborn,No,seaborn._statistics.define_support.124.4,80,85,49,6,6,1.0625,0.6125,Impure,Impure,2025-03-01 15:02:32.732871
No,seaborn,No,seaborn._stats.aggregation.__call__.117.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:32.733871
No,seaborn,No,seaborn._stats.aggregation.__call__.38.4,788956,793800,588774,2829,29,1.0061397593782162,0.7462697539533256,Impure,Impure,2025-03-01 15:02:32.734983
No,seaborn,No,seaborn._stats.base._check_param_one_of.33.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-01 15:02:32.735982
No,seaborn,No,seaborn._stats.counting.__call__.201.4,788999,793843,588809,2828,29,1.006139424764797,0.7462734426786346,Impure,Impure,2025-03-01 15:02:32.736981
No,seaborn,No,seaborn._stats.counting.__call__.34.4,788956,793800,588774,2829,29,1.0061397593782162,0.7462697539533256,Impure,Impure,2025-03-01 15:02:32.737980
No,seaborn,No,seaborn._stats.density._fit.110.4,16,16,10,1,4,1.0,0.625,Impure,Impure,2025-03-01 15:02:32.738979
No,seaborn,No,seaborn._stats.order._percentile.62.4,14,13,12,0,2,0.9285714285714286,0.8571428571428571,Impure,Impure,2025-03-01 15:02:32.740062
No,seaborn,No,seaborn._stats.regression.__call__.39.4,788964,793807,588781,2828,29,1.0061384296368403,0.7462710592625266,Impure,Impure,2025-03-01 15:02:32.741061
No,seaborn,No,seaborn._testing.assert_artists_equal.24.0,10,9,8,0,2,0.9,0.8,Impure,Impure,2025-03-01 15:02:32.742060
No,seaborn,No,seaborn._testing.assert_plots_equal.64.0,11,10,8,0,3,0.9090909090909091,0.7272727272727273,Impure,Impure,2025-03-01 15:02:32.743059
No,seaborn,No,seaborn.algorithms._structured_bootstrap.102.0,22,21,18,0,2,0.9545454545454546,0.8181818181818182,Impure,Impure,2025-03-01 15:02:32.744058
No,seaborn,No,seaborn.axisgrid.__init__.103.4,1,0,1,0,0,0.0,1.0,Impure,Pure,2025-03-01 15:02:32.745172
No,seaborn,No,seaborn.axisgrid.__init__.1681.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-01 15:02:32.747172
No,seaborn,No,seaborn.axisgrid._add_axis_labels.1657.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:32.748173
No,seaborn,No,seaborn.axisgrid._map_bivariate.1552.4,5,4,4,0,1,0.8,0.8,Impure,Impure,2025-03-01 15:02:32.749169
No,seaborn,No,seaborn.axisgrid._map_diag_iter_hue.1513.4,7,6,6,0,1,0.8571428571428571,0.8571428571428571,Impure,Impure,2025-03-01 15:02:32.750316
No,seaborn,No,seaborn.axisgrid.apply.56.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.751316
No,seaborn,No,seaborn.axisgrid.ax.1072.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:32.752315
No,seaborn,No,seaborn.axisgrid.figure.52.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.753314
No,seaborn,No,seaborn.axisgrid.jointplot.2179.0,790472,795356,589997,2841,29,1.0061785869708224,0.7463857037314414,Impure,Impure,2025-03-01 15:02:32.760564
No,seaborn,No,seaborn.axisgrid.map_diag.1431.4,9,8,8,0,1,0.8888888888888888,0.8888888888888888,Impure,Impure,2025-03-01 15:02:32.763563
No,seaborn,No,seaborn.axisgrid.set_axis_labels.1937.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.764561
No,seaborn,No,seaborn.axisgrid.set_axis_labels.877.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.765722
No,seaborn,No,seaborn.axisgrid.set_titles.938.4,5,4,4,0,1,0.8,0.8,Impure,Impure,2025-03-01 15:02:32.766722
No,seaborn,No,seaborn.axisgrid.tight_layout.112.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.767720
No,seaborn,No,seaborn.categorical.__init__.1525.4,9,8,7,0,2,0.8888888888888888,0.7777777777777778,Impure,Impure,2025-03-01 15:02:32.768719
No,seaborn,Yes,seaborn.categorical.__init__.1747.4,33556,33761,25051,120,19,1.006109190606747,0.7465430921444749,Impure,Impure,2025-03-01 15:02:32.769718
No,seaborn,No,seaborn.categorical.__init__.781.4,39414,39655,29423,141,19,1.0061145785761405,0.7465113918912062,Impure,Impure,2025-03-01 15:02:32.770837
No,seaborn,No,seaborn.categorical._hue_backcompat.121.4,5,4,4,0,1,0.8,0.8,Impure,Impure,2025-03-01 15:02:32.771837
No,seaborn,No,seaborn.categorical._lv_outliers.1826.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:32.772835
No,seaborn,No,seaborn.categorical._native_width.227.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-01 15:02:32.773835
No,seaborn,No,seaborn.categorical.annotate_axes.736.4,5,4,4,0,1,0.8,0.8,Impure,Impure,2025-03-01 15:02:32.774833
No,seaborn,No,seaborn.categorical.draw_box_lines.1327.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-03-01 15:02:32.775918
No,seaborn,No,seaborn.categorical.draw_boxplot.796.4,5,4,3,0,2,0.8,0.6,Impure,Impure,2025-03-01 15:02:32.776918
No,seaborn,No,seaborn.categorical.draw_confints.1494.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:32.776918
No,seaborn,No,seaborn.categorical.draw_points.1375.4,5,4,4,0,1,0.8,0.8,Impure,Impure,2025-03-01 15:02:32.777916
No,seaborn,No,seaborn.categorical.draw_to_density.1395.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-01 15:02:32.778916
No,seaborn,No,seaborn.categorical.hue_offsets.1637.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-03-01 15:02:32.780914
No,seaborn,No,seaborn.categorical.kde_support.1067.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-03-01 15:02:32.782048
No,seaborn,No,seaborn.categorical.plot.1733.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:32.783047
No,seaborn,No,seaborn.categorical.plot.886.4,6,5,4,0,2,0.8333333333333334,0.6666666666666666,Impure,Impure,2025-03-01 15:02:32.785045
