Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Date
Yes,seaborn,seaborn.algorithms,map,37,26,Yes,0,3,,map.(),builtins.map,2025-01-15 01:26:24.596019
Yes,seaborn,seaborn.algorithms,map,60,16,Yes,0,3,,map.(),builtins.map,2025-01-15 01:26:24.596019
Yes,seaborn,seaborn.algorithms,_handle_random_seed,57,10,No,1,1,Found same amount of functions,_handle_random_seed.(),seaborn.algorithms._handle_random_seed,2025-01-15 01:26:24.637114
Yes,seaborn,seaborn.algorithms,_structured_bootstrap,91,15,No,1,1,Found same amount of functions,_structured_bootstrap.(),seaborn.algorithms._structured_bootstrap,2025-01-15 01:26:24.640127
Yes,seaborn,seaborn.algorithms,f,98,25,No,0,0,Found no referenced functions,f.(),f,2025-01-15 01:26:24.643295
Yes,seaborn,seaborn.algorithms,map,113,18,Yes,0,3,,map.(),builtins.map,2025-01-15 01:26:24.728513
Yes,seaborn,seaborn.algorithms,map,116,22,Yes,0,3,,map.(),builtins.map,2025-01-15 01:26:24.728513
Yes,seaborn,seaborn.axisgrid,set,39,16,No,0,2,Found no referenced functions,ax.set.(),ax,2025-01-15 01:26:24.763662
Yes,seaborn,seaborn.rcmod,set_theme,132,4,No,1,0,Found more functions than old purity analysis,set_theme.(),seaborn.rcmod.set_theme,2025-01-15 01:26:24.764659
Yes,seaborn,seaborn._core.groupby,_get_groups,110,26,No,1,1,Found same amount of functions,self._get_groups.(),seaborn._core.groupby.GroupBy,2025-01-15 01:26:24.764659
Yes,seaborn,seaborn._core.groupby,_reorder_columns,113,19,No,1,1,Found same amount of functions,self._reorder_columns.(),seaborn._core.groupby.GroupBy,2025-01-15 01:26:24.765892
Yes,seaborn,seaborn._core.groupby,_reorder_columns,129,15,No,1,1,Found same amount of functions,self._reorder_columns.(),seaborn._core.groupby.GroupBy,2025-01-15 01:26:24.765892
Yes,seaborn,seaborn.axisgrid,savefig,95,8,No,0,1,Found no referenced functions,self.figure.savefig.(),seaborn.axisgrid._BaseGrid,2025-01-15 01:26:24.767939
Yes,seaborn,seaborn.axisgrid,__init__,376,8,Yes,3,24,,super.().__init__.(),seaborn.axisgrid.FacetGrid,2025-01-15 01:26:24.770307
Yes,seaborn,seaborn.axisgrid,categorical_order,383,24,No,0,2,Found no referenced functions,categorical_order.(),seaborn._oldcore.categorical_order,2025-01-15 01:26:24.770307
Yes,seaborn,seaborn.axisgrid,categorical_order,391,24,No,0,2,Found no referenced functions,categorical_order.(),seaborn._oldcore.categorical_order,2025-01-15 01:26:24.771311
Yes,seaborn,seaborn.axisgrid,categorical_order,396,24,No,0,2,Found no referenced functions,categorical_order.(),seaborn._oldcore.categorical_order,2025-01-15 01:26:24.771311
Yes,seaborn,seaborn.axisgrid,_get_palette,385,17,No,1,1,Found same amount of functions,self._get_palette.(),seaborn.axisgrid.FacetGrid,2025-01-15 01:26:24.772402
Yes,seaborn,seaborn.axisgrid,_disable_autolayout,446,13,No,0,1,Found no referenced functions,_disable_autolayout.(),seaborn.utils._disable_autolayout,2025-01-15 01:26:24.774458
Yes,seaborn,seaborn.axisgrid,figure,447,18,No,0,0,Found no referenced functions,plt.figure.(),matplotlib.pyplot,2025-01-15 01:26:24.774458
Yes,seaborn,seaborn.axisgrid,set_titles,525,8,No,1,1,Found same amount of functions,self.set_titles.(),seaborn.axisgrid.FacetGrid,2025-01-15 01:26:24.821852
Yes,seaborn,seaborn.axisgrid,tight_layout,526,8,No,1,1,Found same amount of functions,self.tight_layout.(),seaborn.axisgrid.FacetGrid,2025-01-15 01:26:24.821852
Yes,seaborn,seaborn.axisgrid,despine,529,12,Yes,1,2,,self.despine.(),seaborn.axisgrid.FacetGrid,2025-01-15 01:26:24.822883
Yes,seaborn,seaborn.axisgrid,__init__,1242,8,Yes,3,24,,super.().__init__.(),seaborn.axisgrid.PairGrid,2025-01-15 01:26:24.831028
Yes,seaborn,seaborn.axisgrid,_find_numeric_cols,1245,23,No,1,1,Found same amount of functions,self._find_numeric_cols.(),seaborn.axisgrid.PairGrid,2025-01-15 01:26:24.831028
Yes,seaborn,seaborn.axisgrid,_disable_autolayout,1273,13,No,0,1,Found no referenced functions,_disable_autolayout.(),seaborn.utils._disable_autolayout,2025-01-15 01:26:24.832026
Yes,seaborn,seaborn.axisgrid,figure,1274,18,No,0,0,Found no referenced functions,plt.figure.(),matplotlib.pyplot,2025-01-15 01:26:24.833023
Yes,seaborn,seaborn.axisgrid,_add_axis_labels,1304,8,Yes,1,2,,self._add_axis_labels.(),seaborn.axisgrid.PairGrid,2025-01-15 01:26:24.833023
Yes,seaborn,seaborn.axisgrid,categorical_order,1321,36,No,0,2,Found no referenced functions,categorical_order.(),seaborn._oldcore.categorical_order,2025-01-15 01:26:24.834020
Yes,seaborn,seaborn.axisgrid,_get_palette,1333,23,No,1,1,Found same amount of functions,self._get_palette.(),seaborn.axisgrid.PairGrid,2025-01-15 01:26:24.834020
Yes,seaborn,seaborn.axisgrid,despine,1357,12,No,0,2,Found no referenced functions,utils.despine.(),seaborn.utils,2025-01-15 01:26:24.835019
Yes,seaborn,seaborn.axisgrid,tight_layout,1358,8,No,1,1,Found same amount of functions,self.tight_layout.(),seaborn.axisgrid.PairGrid,2025-01-15 01:26:24.836016
Yes,seaborn,seaborn.axisgrid,get_var,1735,17,No,1,1,Found same amount of functions,get_var.(),seaborn.axisgrid.JointGrid.get_var,2025-01-15 01:26:24.841001
Yes,seaborn,seaborn.axisgrid,get_var,1736,17,No,1,1,Found same amount of functions,get_var.(),seaborn.axisgrid.JointGrid.get_var,2025-01-15 01:26:24.841999
Yes,seaborn,seaborn.axisgrid,get_var,1737,19,No,1,1,Found same amount of functions,get_var.(),seaborn.axisgrid.JointGrid.get_var,2025-01-15 01:26:24.841999
Yes,seaborn,seaborn.axisgrid,despine,1753,8,No,0,2,Found no referenced functions,utils.despine.(),seaborn.utils,2025-01-15 01:26:24.842996
Yes,seaborn,seaborn.axisgrid,despine,1755,12,No,0,2,Found no referenced functions,utils.despine.(),seaborn.utils,2025-01-15 01:26:24.842996
Yes,seaborn,seaborn.axisgrid,despine,1756,12,No,0,2,Found no referenced functions,utils.despine.(),seaborn.utils,2025-01-15 01:26:24.843994
Yes,seaborn,seaborn.axisgrid,tight_layout,1760,8,No,0,1,Found no referenced functions,f.tight_layout.(),f,2025-01-15 01:26:24.843994
Yes,seaborn,seaborn.categorical,__init__,66,8,Yes,3,7,,super.().__init__.(),seaborn.categorical._CategoricalPlotterNew,2025-01-15 01:26:24.845988
Yes,seaborn,seaborn.categorical,set,79,29,Yes,0,2,,set.(),builtins.set,2025-01-15 01:26:24.845988
Yes,seaborn,seaborn.categorical,infer_orient,96,22,No,1,1,Found same amount of functions,infer_orient.(),seaborn._oldcore.infer_orient,2025-01-15 01:26:24.846986
Yes,seaborn,seaborn.categorical,categorical_order,118,21,Yes,1,2,,categorical_order.(),seaborn._oldcore.categorical_order,2025-01-15 01:26:24.846986
Yes,seaborn,seaborn.categorical,establish_variables,785,8,Yes,1,2,,self.establish_variables.(),seaborn.categorical._BoxPlotter,2025-01-15 01:26:24.852969
Yes,seaborn,seaborn.categorical,establish_colors,786,8,No,1,1,Found same amount of functions,self.establish_colors.(),seaborn.categorical._BoxPlotter,2025-01-15 01:26:24.852969
Yes,seaborn,seaborn.categorical,establish_variables,901,8,Yes,1,2,,self.establish_variables.(),seaborn.categorical._ViolinPlotter,2025-01-15 01:26:24.854964
Yes,seaborn,seaborn.categorical,establish_colors,902,8,No,1,1,Found same amount of functions,self.establish_colors.(),seaborn.categorical._ViolinPlotter,2025-01-15 01:26:24.854964
Yes,seaborn,seaborn.categorical,estimate_densities,903,8,No,1,1,Found same amount of functions,self.estimate_densities.(),seaborn.categorical._ViolinPlotter,2025-01-15 01:26:24.854964
Yes,seaborn,seaborn.categorical,establish_variables,1530,8,Yes,1,2,,self.establish_variables.(),seaborn.categorical._BarPlotter,2025-01-15 01:26:24.855961
Yes,seaborn,seaborn.categorical,establish_colors,1532,8,No,1,1,Found same amount of functions,self.establish_colors.(),seaborn.categorical._BarPlotter,2025-01-15 01:26:24.856959
Yes,seaborn,seaborn.categorical,estimate_statistic,1533,8,No,1,1,Found same amount of functions,self.estimate_statistic.(),seaborn.categorical._BarPlotter,2025-01-15 01:26:24.856959
Yes,seaborn,seaborn.categorical,establish_variables,1601,8,Yes,1,2,,self.establish_variables.(),seaborn.categorical._PointPlotter,2025-01-15 01:26:24.857956
Yes,seaborn,seaborn.categorical,establish_colors,1603,8,No,1,1,Found same amount of functions,self.establish_colors.(),seaborn.categorical._PointPlotter,2025-01-15 01:26:24.857956
Yes,seaborn,seaborn.categorical,estimate_statistic,1604,8,No,1,1,Found same amount of functions,self.estimate_statistic.(),seaborn.categorical._PointPlotter,2025-01-15 01:26:24.857956
Yes,seaborn,seaborn.categorical,color_palette,1608,27,No,1,1,Found same amount of functions,color_palette.(),seaborn.palettes.color_palette,2025-01-15 01:26:24.858954
Yes,seaborn,seaborn.categorical,establish_variables,1785,8,Yes,1,2,,self.establish_variables.(),seaborn.categorical._LVPlotter,2025-01-15 01:26:24.859951
