Type-Aware?,Library,Runtime [s],Date
No,seaborn,215.10800218582153,2025-02-07 19:06:12.998508
Yes,seaborn,213.79688262939453,2025-02-07 19:14:50.138705
No,seaborn,190.20049715042114,2025-02-20 11:20:13.210176
Yes,seaborn,164.38291835784912,2025-02-20 11:47:49.229696
No,seaborn,165.20507526397705,2025-02-20 13:06:53.550315
Yes,seaborn,161.28744840621948,2025-02-27 06:32:56.172960
Yes,seaborn,157.48428773880005,2025-02-27 15:44:00.251629
No,seaborn,118.15722179412842,2025-02-28 02:54:35.892898
No,seaborn,117.75610065460205,2025-02-28 19:12:27.339794
Yes,seaborn,57.250067472457886,2025-03-02 12:34:20.418413
No,seaborn,68.53406548500061,2025-03-02 12:37:26.611053
Yes,seaborn,126.67789626121521,2025-03-03 16:47:24.714198
Yes,seaborn,151.23045086860657,2025-03-04 04:47:03.096888
No,seaborn,150.99680185317993,2025-03-04 19:37:15.333105
No,seaborn,152.42176461219788,2025-03-06 10:49:42.603617
Yes,seaborn,159.32791376113892,2025-03-07 00:34:17.727961
