Type-Aware?,Library,InFunction,name,line,column,IsFromParameter,HasTypeInfo,InferredType,TypeHint,DocString,MissingTypesOnPath,TypeOutsideOfPackage,Decrease,Increase,FoundType
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,ValueError,38,14,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,len,37,7,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,unique,37,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,list,37,21,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,map,37,26,No,Yes,Yes,No,No,No,No,-2,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,len,39,8,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,get,42,13,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,get,43,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,get,44,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,get,45,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,get,46,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,warn,49,8,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,get,50,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,dict,52,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,dict,54,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,_handle_random_seed,57,10,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,list,60,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,map,60,16,No,Yes,Yes,No,No,No,No,-2,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,asarray,62,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,getattr,67,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,isnan,70,23,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,sum,70,32,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,column_stack,70,39,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,getattr,73,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,join,73,31,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,format,73,31,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,join,75,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,format,75,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,warn,76,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,startswith,72,32,No,No,No,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,isinstance,64,7,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,_structured_bootstrap,91,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,integers,96,20,No,No,No,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,take,97,18,No,No,No,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,append,98,8,No,No,No,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,f,98,25,No,No,No,No,No,Yes,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,range,95,13,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,int,95,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms.bootstrap.7.0,array,99,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,unique,104,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,len,105,14,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,integers,111,20,No,No,No,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,map,113,18,No,Yes,Yes,No,No,No,No,-2,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,integers,114,21,No,No,No,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,take,115,19,No,No,No,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,zip,115,49,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,list,116,17,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,map,116,22,No,Yes,Yes,No,No,No,No,-2,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,append,117,8,No,No,No,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,func,117,25,No,No,No,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,range,110,13,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,int,110,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._structured_bootstrap.102.0,array,118,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._handle_random_seed.121.0,default_rng,132,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._handle_random_seed.121.0,RandomState,136,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._handle_random_seed.121.0,RandomState,138,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._handle_random_seed.121.0,ValueError,141,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._handle_random_seed.121.0,format,141,33,No,No,No,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._handle_random_seed.121.0,isinstance,135,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.algorithms._handle_random_seed.121.0,isinstance,127,7,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.axisgrid.set.35.4,set,39,16,No,No,No,No,No,Yes,No,-0,+0,[]
Yes,seaborn,seaborn.axisgrid.apply.56.4,func,68,8,No,No,No,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.axisgrid.pipe.71.4,func,83,15,No,No,No,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.axisgrid.savefig.85.4,copy,93,17,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.axisgrid.savefig.85.4,setdefault,94,8,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.axisgrid.savefig.85.4,savefig,95,8,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,seaborn,seaborn.axisgrid.tight_layout.112.4,copy,114,17,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.axisgrid.tight_layout.112.4,setdefault,115,8,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,seaborn,seaborn.axisgrid.tight_layout.112.4,setdefault,117,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
