Type-Aware,Library,FunctionId,Runtime of body analysis,Date
Yes,matplotlib,matplotlib/_parse_to_version_info,0.0030989646911621094,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_get_version,0.0009992122650146484,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_check_versions,0.0010921955108642578,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_ensure_handler,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/set_loglevel,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_logged_cached,0.0009987354278564453,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_get_executable_info,0.009123802185058594,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/checkdep_usetex,0.0009992122650146484,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_get_xdg_config_dir,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_get_xdg_cache_dir,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_get_config_or_cache_dir,0.002119302749633789,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/get_configdir,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/get_cachedir,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/get_data_path,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/matplotlib_fname,0.0009989738464355469,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/RcParams/__init__,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/RcParams/_set,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/RcParams/_get,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/RcParams/__setitem__,0.003149271011352539,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/RcParams/__getitem__,0.0051157474517822266,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/RcParams/_get_backend_or_none,0.0009987354278564453,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/RcParams/__repr__,0.0020852088928222656,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/RcParams/__str__,0.0010001659393310547,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/RcParams/__iter__,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/RcParams/__len__,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/RcParams/find_all,0.0010004043579101562,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/RcParams/copy,0.0009989738464355469,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/rc_params,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_get_ssl_context,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_open_file_or_url,0.0009989738464355469,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_rc_params_in_file,0.002998828887939453,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/rc_params_from_file,0.001138925552368164,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/rc,0.0009987354278564453,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/rcdefaults,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/rc_file_defaults,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/rc_file,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/rc_context,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/use,0.0010025501251220703,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/get_backend,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/interactive,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/is_interactive,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_init_tests,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_replacer,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_label_from_arg,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_add_data_doc,0.0009987354278564453,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_preprocess_data,0.003092527389526367,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/classproperty/__init__,0.0009992122650146484,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/classproperty/__get__,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/classproperty/fget,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/check_isinstance,0.0023267269134521484,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/check_in_list,0.0010576248168945312,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/check_shape,0.0021545886993408203,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/check_getitem,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/caching_module_getattr,0.0009992122650146484,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/define_aliases,0.003996133804321289,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/select_matching_signature,0.0011622905731201172,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/nargs_error,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/kwarg_error,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/recursive_subclasses,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/_api/warn_external,0.0010161399841308594,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/_get_running_interactive_framework,0.002015829086303711,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/_exception_printer,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/_StrongRef/__init__,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/_StrongRef/__call__,0.00012445449829101562,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/_StrongRef/__eq__,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/_StrongRef/__hash__,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/_weak_or_strong_ref,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/CallbackRegistry/__init__,0.0009963512420654297,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/CallbackRegistry/__getstate__,0.0009989738464355469,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/CallbackRegistry/__setstate__,0.0009992122650146484,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/CallbackRegistry/connect,0.0011150836944580078,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/CallbackRegistry/_connect_picklable,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/CallbackRegistry/_remove_proxy,0.0009982585906982422,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/CallbackRegistry/disconnect,0.0010933876037597656,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/CallbackRegistry/process,0.0009992122650146484,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/CallbackRegistry/blocked,0.0009984970092773438,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/silent_list/__init__,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/silent_list/__repr__,0.0009987354278564453,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/_local_over_kwdict,0.0009987354278564453,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/strip_math,0.0011057853698730469,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/_strip_comment,0.0019998550415039062,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/is_writable_file_like,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/file_requires_unicode,0.0009987354278564453,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/to_filehandle,0.0010986328125,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/open_file_cm,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/is_scalar_or_string,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/get_sample_data,0.0009992122650146484,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/_get_data_path,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/flatten,0.0010173320770263672,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/maxdict/__init__,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/maxdict/__setitem__,0.0,2025-02-27 00:14:53.045666
Yes,matplotlib,matplotlib/cbook/Stack/__init__,0.0,2025-02-27 00:14:53.045666
