Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
matplotlib,matplotlib,1436,35,OpExpr,None,,OpExpr,2025-02-11 08:37:50.558995
matplotlib,matplotlib.cbook,1244,11,OpExpr,bool,,OpExpr,2025-02-11 08:37:51.264862
matplotlib,matplotlib.projections,110,25,OpExpr,None,,OpExpr,2025-02-11 08:37:51.715165
matplotlib,matplotlib.testing,74,56,OpExpr,None,,OpExpr,2025-02-11 08:37:51.749170
matplotlib,matplotlib.animation,175,24,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:37:51.814197
matplotlib,matplotlib.animation,754,27,OpExpr,None,,OpExpr,2025-02-11 08:37:52.009253
matplotlib,matplotlib.animation,1046,29,IndexExpr,None,,MovieWriterRegistry,2025-02-11 08:37:52.077351
matplotlib,matplotlib.animation,1410,29,ConditionalExpr,int,,ConditionalExpr,2025-02-11 08:37:52.209759
matplotlib,matplotlib.animation,1678,11,OpExpr,bool,,OpExpr,2025-02-11 08:37:52.268521
matplotlib,matplotlib.artist,716,35,OpExpr,None,,OpExpr,2025-02-11 08:37:52.434516
matplotlib,matplotlib.artist,716,52,OpExpr,None,,OpExpr,2025-02-11 08:37:52.435508
matplotlib,matplotlib.artist,1612,18,OpExpr,int,,OpExpr,2025-02-11 08:37:52.733548
matplotlib,matplotlib.artist,1636,18,OpExpr,int,,OpExpr,2025-02-11 08:37:52.745543
matplotlib,matplotlib.artist,1751,24,OpExpr,None,,OpExpr,2025-02-11 08:37:52.814509
matplotlib,matplotlib.axis,92,17,OpExpr,bool,,OpExpr,2025-02-11 08:37:52.855552
matplotlib,matplotlib.axis,89,15,OpExpr,bool,,OpExpr,2025-02-11 08:37:52.858510
matplotlib,matplotlib.axis,105,22,ConditionalExpr,bool,,ConditionalExpr,2025-02-11 08:37:52.863510
matplotlib,matplotlib.axis,1606,15,SliceExpr,None,,SliceExpr,2025-02-11 08:37:53.573363
matplotlib,matplotlib.axis,1619,15,SliceExpr,None,,SliceExpr,2025-02-11 08:37:53.577362
matplotlib,matplotlib.backend_bases,974,11,OpExpr,bool,,OpExpr,2025-02-11 08:37:54.436156
matplotlib,matplotlib.backend_bases,1081,25,OpExpr,None,,OpExpr,2025-02-11 08:37:54.453200
matplotlib,matplotlib.backend_bases,1081,41,OpExpr,None,,OpExpr,2025-02-11 08:37:54.454164
matplotlib,matplotlib.backend_bases,1123,25,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:37:54.457199
matplotlib,matplotlib.backend_bases,1125,24,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:37:54.458162
matplotlib,matplotlib.backend_bases,1348,35,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:37:54.512078
matplotlib,matplotlib.backend_bases,2304,31,OpExpr,None,,OpExpr,2025-02-11 08:37:54.791619
matplotlib,matplotlib.backend_tools,549,8,CallExpr,None,,"ToolViewsPositions, Any",2025-02-11 08:37:55.607854
matplotlib,matplotlib.backend_tools,549,8,IndexExpr,None,,ToolViewsPositions,2025-02-11 08:37:55.607854
matplotlib,matplotlib.backend_tools,550,8,CallExpr,None,,"ToolViewsPositions, Any",2025-02-11 08:37:55.608854
matplotlib,matplotlib.backend_tools,550,8,IndexExpr,None,,ToolViewsPositions,2025-02-11 08:37:55.609858
matplotlib,matplotlib.backend_tools,579,24,IndexExpr,None,,ToolViewsPositions,2025-02-11 08:37:55.616857
matplotlib,matplotlib.bezier,168,26,OpExpr,float,,OpExpr,2025-02-11 08:37:55.932923
matplotlib,matplotlib.bezier,568,52,OpExpr,float,,OpExpr,2025-02-11 08:37:56.164799
matplotlib,matplotlib.bezier,571,52,OpExpr,float,,OpExpr,2025-02-11 08:37:56.167804
matplotlib,matplotlib.bezier,584,60,OpExpr,float,,OpExpr,2025-02-11 08:37:56.182799
matplotlib,matplotlib.cm,149,8,IndexExpr,None,,ColormapRegistry,2025-02-11 08:37:56.295869
matplotlib,matplotlib.cm,291,15,IndexExpr,None,,ColormapRegistry,2025-02-11 08:37:56.320875
matplotlib,matplotlib.cm,293,15,CallExpr,None,,"ColormapRegistry, Any",2025-02-11 08:37:56.321927
matplotlib,matplotlib.cm,293,15,IndexExpr,None,,ColormapRegistry,2025-02-11 08:37:56.322880
matplotlib,matplotlib.cm,464,41,OpExpr,None,,OpExpr,2025-02-11 08:37:56.349905
matplotlib,matplotlib.cm,474,23,OpExpr,bool,,OpExpr,2025-02-11 08:37:56.366873
matplotlib,matplotlib.collections,1114,68,OpExpr,str,,OpExpr,2025-02-11 08:37:56.881147
matplotlib,matplotlib.colorbar,344,26,OpExpr,None,,OpExpr,2025-02-11 08:37:57.463947
matplotlib,matplotlib.colorbar,420,11,OpExpr,None,,OpExpr,2025-02-11 08:37:57.490600
matplotlib,matplotlib.colorbar,1446,57,OpExpr,float,,OpExpr,2025-02-11 08:37:58.113965
matplotlib,matplotlib.colorbar,1452,57,OpExpr,float,,OpExpr,2025-02-11 08:37:58.122966
matplotlib,matplotlib.colorbar,1456,17,OpExpr,int,,OpExpr,2025-02-11 08:37:58.125967
matplotlib,matplotlib.colorbar,1537,31,OpExpr,float,,OpExpr,2025-02-11 08:37:58.161488
matplotlib,matplotlib.colorbar,1537,61,OpExpr,float,,OpExpr,2025-02-11 08:37:58.163487
matplotlib,matplotlib.colorbar,1556,27,OpExpr,float,,OpExpr,2025-02-11 08:37:58.177487
matplotlib,matplotlib.colorbar,1556,61,OpExpr,float,,OpExpr,2025-02-11 08:37:58.178488
matplotlib,matplotlib.colorbar,1565,21,OpExpr,int,,OpExpr,2025-02-11 08:37:58.184488
matplotlib,matplotlib.colorbar,1573,21,OpExpr,int,,OpExpr,2025-02-11 08:37:58.191489
matplotlib,matplotlib.colors,340,23,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:37:58.298017
matplotlib,matplotlib.colors,346,23,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:37:58.303017
matplotlib,matplotlib.colors,373,28,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:37:58.328017
matplotlib,matplotlib.colors,446,28,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:37:58.370019
matplotlib,matplotlib.colors,609,15,OpExpr,float,,OpExpr,2025-02-11 08:37:58.427022
matplotlib,matplotlib.colors,634,25,OpExpr,float,,OpExpr,2025-02-11 08:37:58.449019
matplotlib,matplotlib.colors,1147,30,OpExpr,None,,OpExpr,2025-02-11 08:37:58.684521
matplotlib,matplotlib.colors,1160,34,OpExpr,None,,OpExpr,2025-02-11 08:37:58.691541
matplotlib,matplotlib.colors,1970,11,OpExpr,bool,,OpExpr,2025-02-11 08:37:59.020195
matplotlib,matplotlib.colors,2569,43,OpExpr,None,,OpExpr,2025-02-11 08:37:59.297709
matplotlib,matplotlib.colors,2571,43,OpExpr,None,,OpExpr,2025-02-11 08:37:59.301708
matplotlib,matplotlib.colors,2573,43,OpExpr,None,,OpExpr,2025-02-11 08:37:59.305745
matplotlib,matplotlib.colors,2575,43,OpExpr,None,,OpExpr,2025-02-11 08:37:59.308708
matplotlib,matplotlib.dates,647,24,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:38:00.373757
matplotlib,matplotlib.dates,785,24,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:38:00.392793
matplotlib,matplotlib.dates,963,24,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:38:00.460219
matplotlib,matplotlib.dates,1801,34,OpExpr,int,,OpExpr,2025-02-11 08:38:00.803997
matplotlib,matplotlib.dates,1810,48,OpExpr,int,,OpExpr,2025-02-11 08:38:00.808997
matplotlib,matplotlib.dates,1813,49,OpExpr,int,,OpExpr,2025-02-11 08:38:00.810998
matplotlib,matplotlib.dates,1816,51,OpExpr,int,,OpExpr,2025-02-11 08:38:00.812996
matplotlib,matplotlib.dviread,231,32,OpExpr,None,,OpExpr,2025-02-11 08:38:00.917952
matplotlib,matplotlib.dviread,400,11,OpExpr,bool,,OpExpr,2025-02-11 08:38:00.995697
matplotlib,matplotlib.figure,161,13,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:38:01.399266
matplotlib,matplotlib.figure,162,20,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:38:01.399266
matplotlib,matplotlib.figure,164,13,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:38:01.400230
matplotlib,matplotlib.figure,165,20,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:38:01.401228
matplotlib,matplotlib.figure,904,27,OpExpr,None,,OpExpr,2025-02-11 08:38:01.583145
matplotlib,matplotlib.figure,1190,15,ConditionalExpr,None,,ConditionalExpr,2025-02-11 08:38:01.643510
matplotlib,matplotlib.figure,1295,16,OpExpr,bool,,OpExpr,2025-02-11 08:38:01.664515
matplotlib,matplotlib.figure,1706,15,OpExpr,bool,,OpExpr,2025-02-11 08:38:01.777959
matplotlib,matplotlib.figure,1949,21,OpExpr,None,,OpExpr,2025-02-11 08:38:01.863015
matplotlib,matplotlib.figure,1950,27,OpExpr,None,,OpExpr,2025-02-11 08:38:01.864014
matplotlib,matplotlib.figure,1951,25,OpExpr,None,,OpExpr,2025-02-11 08:38:01.864984
matplotlib,matplotlib.figure,2917,11,OpExpr,bool,,OpExpr,2025-02-11 08:38:02.178650
matplotlib,matplotlib.font_manager,1345,26,IndexExpr,str,,FontManager,2025-02-11 08:38:02.801889
matplotlib,matplotlib.gridspec,98,32,OpExpr,int,,OpExpr,2025-02-11 08:38:02.920956
matplotlib,matplotlib.gridspec,98,51,OpExpr,int,,OpExpr,2025-02-11 08:38:02.922956
matplotlib,matplotlib.gridspec,280,21,ConditionalExpr,bool,,ConditionalExpr,2025-02-11 08:38:03.017752
