Type-Aware,Library,Full Api Analysis Runtime [s],Function Body Anaylsis Runtime [s],Average function body analysis runtime [s],Finding Referenced Functions runtime [s],Date
-,matplotlib,95.22464370727539,6.81,0.0,2.0092153549194336,2025-02-07 19:19:48.577158
-,matplotlib,104.20807600021362,6.5,0.0,0.0,2025-02-07 19:33:40.121543
-,matplotlib,139.87352538108826,9.43,0.0,0.0,2025-02-13 18:27:51.410307
-,matplotlib,163.0895495414734,9.23,0.0,0.0,2025-02-13 18:27:51.578505
Yes,matplotlib,91.60836100578308,4.96701,0.00094,0.9211413860321045,2025-02-27 00:14:53.099940
Yes,matplotlib,93.5991280078888,5.92314,0.00112,1.0736920833587646,2025-02-27 09:18:40.985161
No,matplotlib,84.12090945243835,4.81956,0.00091,0.0,2025-02-27 17:26:22.803602
No,matplotlib,91.55251908302307,5.17672,0.00098,0.0,2025-02-28 09:27:19.012197
Yes,matplotlib,112.89728212356567,6.32701,0.0012,0.9173388481140137,2025-03-02 00:33:50.645440
Yes,matplotlib,92.01234817504883,5.25984,0.00099,0.9730846881866455,2025-03-03 10:00:24.416636
Yes,matplotlib,100.04188346862793,6.01058,0.00114,1.0269229412078857,2025-03-03 21:47:45.314492
No,matplotlib,90.6095359325409,5.2082,0.00098,0.0,2025-03-04 09:16:28.655982
No,matplotlib,97.63695025444031,5.91797,0.00112,0.0,2025-03-05 23:58:42.242643
Yes,matplotlib,85.92336010932922,4.76567,0.0009,0.8482558727264404,2025-03-06 17:25:50.726005
