Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
No,matplotlib,No,matplotlib._api.deprecation.emit_warning.192.8,20092129937574616825628512722701325331710278,20517171700935644691097847079453838805403487,14912030073528034951299367915331394887636281,217403992177018555037190541270018081975279,263,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:43.770158
No,matplotlib,No,matplotlib._api.deprecation.wrapper.444.4,6,5,5,0,1,0.8333333333333334,0.8333333333333334,Impure,Impure,2025-03-01 01:54:43.772372
No,matplotlib,No,matplotlib._cm._g21.133.0,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 01:54:43.779470
No,matplotlib,No,matplotlib._cm._prism_red.51.0,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 01:54:43.780469
No,matplotlib,No,matplotlib._docstring.__missing__.51.4,27547615564508205920956544629112543513713598890369,28130375437767500645084561690923236972722270656925,20445362090940328609127976666641288510771972064972,298074998384407356251927651228534571775775526529,326,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:44.400858
No,matplotlib,No,matplotlib._layoutgrid.edit_all_margins_min.306.4,131657368281643850923379879892388727804739657,134442532430381048063108529826788673848579894,97713813384506837893774275484613226684354511,1424579551937961530127129591721479890016820,269,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:44.591341
No,matplotlib,No,matplotlib._mathtext.Error.1644.0,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 01:54:44.593339
No,matplotlib,Yes,matplotlib._mathtext.__init__.698.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 01:54:44.595156
No,matplotlib,No,matplotlib._mathtext.hpack.1164.4,10,9,8,0,2,0.9,0.8,Impure,Impure,2025-03-01 01:54:44.596154
No,matplotlib,No,matplotlib._mathtext.push_state.2011.4,5590424493910981812958360727481275365112483639,5708687908104063603861438579680193346660442546,4149116018859048941917810574640750674106820635,60490381393937389495966696918191207977170446,290,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:44.787365
No,matplotlib,No,matplotlib._mathtext.render.961.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 01:54:44.788365
No,matplotlib,No,matplotlib._mathtext.shrink.1107.4,5,4,3,0,2,0.8,0.6,Impure,Impure,2025-03-01 01:54:44.789364
No,matplotlib,No,matplotlib._mathtext.to_vector.104.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-01 01:54:44.790362
No,matplotlib,Yes,matplotlib._pylab_helpers._set_new_active_manager.106.4,1387951541183282298483778986361311,1417313155524674108234264166924516,1030113541323389958880150932916426,15018129334172316717201750018348,191,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:44.792360
No,matplotlib,No,matplotlib._tight_layout._auto_adjust_subplotpars.20.0,143278534781098495351413163059874562713513440,146309540516396552926697842570320765265704070,106338841436175071123005213138830576854399429,1550324706811285418558221231904547695793226,271,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:45.042497
No,matplotlib,Yes,matplotlib._type1font._decrypt.444.4,19130964906328467480104452440615671938055,19535673570061376161605466039090789833151,14198670071572151533277725274151470593943,207003844677321169042416548349831673163,243,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:45.127756
No,matplotlib,Yes,matplotlib._type1font._parse.491.4,41,41,33,1,4,1.0,0.8048780487804879,Impure,Impure,2025-03-01 01:54:45.142743
No,matplotlib,Yes,matplotlib._type1font.transform.694.4,16,16,14,1,2,1.0,0.875,Impure,Impure,2025-03-01 01:54:45.143855
No,matplotlib,No,matplotlib._type1font.value.93.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 01:54:45.145361
No,matplotlib,No,matplotlib.animation._base_temp_name.452.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 01:54:45.151354
No,matplotlib,No,matplotlib.animation._draw_frame.1152.4,2,1,1,0,1,0.5,0.5,Pure,Pure,2025-03-01 01:54:45.153354
No,matplotlib,Yes,matplotlib.artist._internal_update.1216.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 01:54:45.154352
No,matplotlib,No,matplotlib.artist.aliased_name_rest.1586.4,13170717481461433603556368763086883624064230628991,13449339260259567742475100026571269016318874327379,9775077892871850822768899088588101778019104042391,142511847633960149186028424432989752715383387432,323,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:45.176330
No,matplotlib,No,matplotlib.artist.get_clip_box.894.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 01:54:45.177329
No,matplotlib,No,matplotlib.axes._axes.bar_label.2645.4,7057839565356305311389632496959931566,7207145616217949244667218527140223365,5238206012987487003210891362565123770,76368334388673414676163019897348440,221,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:45.436658
No,matplotlib,No,matplotlib.axes._axes.hist2d.7037.4,22677734392730749852963016604778947924481,23157473685939942484390819094795717631278,16831020818328613968497003213907796126016,245381152014632247113078036401331095139,242,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:45.614428
No,matplotlib,Yes,matplotlib.axes._axes.magnitude_spectrum.7357.4,669951593367152382888149672071969847,684124177732077045350239563122038054,497226443345655874775858298465491691,7249114524736912642005990462568073,197,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:45.859290
No,matplotlib,No,matplotlib.axes._axes.pie.3066.4,147420249578475225968844200506096392342965346996300,150538871796758659426737719084684109951125493751338,109412750265470313347732972320274879275840769659209,1595139534020044046605417719524126258639724839248,324,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:46.205711
No,matplotlib,Yes,matplotlib.axes._axes.specgram.7645.4,294842359663306338450075921178336274391220115732353,301079643458214242745315103864631746383445514492195,218826881366462652927241474723460843572835025165224,3190299199380592915312005804723879433927846963132,327,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:47.259016
No,matplotlib,No,matplotlib.axes._base.artists.1476.4,8,7,7,0,1,0.875,0.875,Impure,Impure,2025-03-01 01:54:47.261013
No,matplotlib,No,matplotlib.axes._base.get_agg_filter.4599.8,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 01:54:47.261142
No,matplotlib,Yes,matplotlib.axes._base.get_data_ratio.1862.4,66,65,47,0,4,0.9848484848484849,0.7121212121212122,Impure,Impure,2025-03-01 01:54:47.262141
No,matplotlib,No,matplotlib.axes._base.get_ybound.3735.4,3,2,1,0,2,0.6666666666666666,0.3333333333333333,Impure,Impure,2025-03-01 01:54:47.263139
No,matplotlib,No,matplotlib.axis.__init__.543.4,1,0,1,0,0,0.0,1.0,Impure,Pure,2025-03-01 01:54:47.265137
No,matplotlib,Yes,matplotlib.axis._set_formatter.1832.4,11621166499454644428033283167477412941381626,11867008086015504863589312743523430319684741,8625028051668233229230937654211102628001136,125745154873323888431091640182942042128034,262,1.021154639387741,0.7421826416541736,Impure,Impure,2025-03-01 01:54:47.265137
