Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
No,matplotlib,No,matplotlib._api.deprecation.emit_warning.192.8,3580375855577205638486044528551811880571473,3621255070340495008606280578570276721315182,3042427710125171937358976162025174171438491,8095868553344029905383251998275983712060,264,1.0114175763697018,0.8497509291897207,Impure,Impure,2025-01-18 09:57:01.351529
No,matplotlib,No,matplotlib._api.deprecation.wrapper.444.4,81472156077326751086525400224767810939948,82402370641343898501021794378996760199197,69231040329798361633269084785033405638185,184223079633417910609286972686047841571,243,1.0114175763697018,0.8497509291897207,Impure,Impure,2025-01-18 09:57:01.515948
No,matplotlib,No,matplotlib._cm._g21.133.0,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-01-18 09:57:01.519089
No,matplotlib,No,matplotlib._cm._prism_red.51.0,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-18 09:57:01.519089
No,matplotlib,No,matplotlib._docstring.__missing__.51.4,14805341482037909970508542785484803389595819906,14974382599088592674919540246799810090896432887,12580852681332831392558028430945543409553552899,33477518383786329477321264432828736984878225,293,1.0114175763697018,0.8497509291897207,Impure,Impure,2025-01-18 09:57:02.017838
No,matplotlib,No,matplotlib._layoutgrid.edit_all_margins_min.306.4,38587498194430024248967223949888961692,39028073901980661548766235578065016325,32789762445823585068700804448669019872,87253217479353858876894569408647154,218,1.0114175763697018,0.8497509291897207,Impure,Impure,2025-01-18 09:57:02.177377
No,matplotlib,No,matplotlib._mathtext.Error.1644.0,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-18 09:57:02.178376
No,matplotlib,Yes,matplotlib._mathtext.__init__.698.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-18 09:57:02.179375
No,matplotlib,No,matplotlib._mathtext.hpack.1164.4,10,9,8,0,2,0.9,0.8,Impure,Impure,2025-01-18 09:57:02.180374
No,matplotlib,No,matplotlib._mathtext.push_state.2011.4,68047412133664064963710563809326786679306,68824348658460751181649428372118238902561,57823351689536917864872133040630825542476,153867338584361776608517013792177187086,242,1.0114175763697018,0.8497509291897207,Impure,Impure,2025-01-18 09:57:02.452659
No,matplotlib,No,matplotlib._mathtext.render.961.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-01-18 09:57:02.696136
No,matplotlib,No,matplotlib._mathtext.shrink.1107.4,5,4,3,0,2,0.8,0.6,Impure,Impure,2025-01-18 09:57:02.698138
No,matplotlib,No,matplotlib._mathtext.to_vector.104.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-18 09:57:02.700132
No,matplotlib,Yes,matplotlib._pylab_helpers._set_new_active_manager.106.4,42944192660811443771488212383659439586130492,43434511260151448406220292490244949287114369,36491867616826910945033939715049683167287468,97104480908013942499232984560310315103865,269,1.0114175763697018,0.8497509291897207,Impure,Impure,2025-01-18 09:57:02.702130
No,matplotlib,No,matplotlib._tight_layout._auto_adjust_subplotpars.20.0,3580375855577205638486044529394573055416860,3621255070340495008606280579422660186240903,3042427710125171937358976162741311262840160,8095868553344029905383252000181617082040,263,1.0114175763697018,0.8497509291897207,Impure,Impure,2025-01-18 09:57:02.883987
No,matplotlib,Yes,matplotlib._type1font._decrypt.444.4,125952041007161686641521469633,127390108054280775188853983382,107027863879177454456861744653,284800034731267004231768568,162,1.0114175763697018,0.8497509291897207,Impure,Impure,2025-01-18 09:57:02.884986
No,matplotlib,Yes,matplotlib._type1font._parse.491.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-18 09:57:02.885995
No,matplotlib,Yes,matplotlib._type1font.transform.694.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-18 09:57:02.885995
