Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
Yes,matplotlib,No,matplotlib._api.deprecation.emit_warning.192.8,14,13,10,0,3,0.9285714285714286,0.7142857142857143,Impure,Impure,2025-03-01 15:02:46.034041
Yes,matplotlib,No,matplotlib._api.deprecation.wrapper.444.4,6,5,5,0,1,0.8333333333333334,0.8333333333333334,Impure,Impure,2025-03-01 15:02:46.035048
Yes,matplotlib,No,matplotlib._cm._g21.133.0,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:46.035048
Yes,matplotlib,No,matplotlib._cm._prism_red.51.0,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:46.039376
Yes,matplotlib,No,matplotlib._docstring.__missing__.51.4,8,8,5,1,2,1.0,0.625,Impure,Impure,2025-03-01 15:02:46.040376
Yes,matplotlib,No,matplotlib._layoutgrid.edit_all_margins_min.306.4,6,5,4,0,2,0.8333333333333334,0.6666666666666666,Impure,Impure,2025-03-01 15:02:46.040685
Yes,matplotlib,No,matplotlib._mathtext.Error.1644.0,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:46.040685
Yes,matplotlib,No,matplotlib._mathtext.__init__.698.4,12,11,9,0,3,0.9166666666666666,0.75,Impure,Impure,2025-03-01 15:02:46.041705
Yes,matplotlib,No,matplotlib._mathtext.hpack.1164.4,10,9,8,0,2,0.9,0.8,Impure,Impure,2025-03-01 15:02:46.042707
Yes,matplotlib,No,matplotlib._mathtext.push_state.2011.4,2,1,1,0,1,0.5,0.5,Pure,Impure,2025-03-01 15:02:46.043696
Yes,matplotlib,No,matplotlib._mathtext.render.961.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:46.044705
Yes,matplotlib,No,matplotlib._mathtext.shrink.1107.4,5,4,3,0,2,0.8,0.6,Impure,Impure,2025-03-01 15:02:46.045696
Yes,matplotlib,No,matplotlib._mathtext.to_vector.104.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-01 15:02:46.045696
