Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Possible reason for no found functions,Date
Yes,matplotlib,matplotlib.animation,correct_roundoff,92,11,No,1,1,Found same amount of functions,correct_roundoff.(),correct_roundoff,,2025-03-01 22:52:54.406833
Yes,matplotlib,matplotlib.animation,correct_roundoff,92,43,No,1,1,Found same amount of functions,correct_roundoff.(),correct_roundoff,,2025-03-01 22:52:54.408831
Yes,matplotlib,matplotlib.animation,type,287,11,No,0,0,Found same amount of functions,type.(),builtins.type,,2025-03-01 22:52:54.413050
Yes,matplotlib,matplotlib.animation,__init__,296,8,Yes,4,165,,super.().__init__.(),matplotlib.animation.MovieWriter,,2025-03-01 22:52:54.420147
Yes,matplotlib,matplotlib.animation,__init__,388,8,Yes,3,166,,super.().__init__.(),matplotlib.animation.FileMovieWriter,,2025-03-01 22:52:54.430350
Yes,matplotlib,matplotlib.animation,check_in_list,729,8,No,1,1,Found same amount of functions,_api.check_in_list.(),matplotlib._api,,2025-03-01 22:52:54.433438
Yes,matplotlib,matplotlib.animation,__init__,740,8,Yes,2,195,,super.().__init__.(),matplotlib.animation.HTMLWriter,,2025-03-01 22:52:54.440905
Yes,matplotlib,matplotlib.animation,new_frame_seq,868,25,No,2,2,Found same amount of functions,self.new_frame_seq.(),"NamedType(name='Animation', qname='matplotlib.animation.Animation')",,2025-03-01 22:52:54.448037
Yes,matplotlib,matplotlib.animation,mpl_connect,873,30,No,0,1,Found no referenced functions,fig.canvas.mpl_connect.(),fig,MemberExpr:873(  NameExpr(fig [l])  canvas) Type is Any No missing import name ,2025-03-01 22:52:54.448657
Yes,matplotlib,matplotlib.animation,mpl_connect,877,25,No,0,1,Found no referenced functions,self._fig.canvas.mpl_connect.(),"NamedType(name='Animation', qname='matplotlib.animation.Animation')","MemberExpr:877(  NameExpr(self [l])  _fig) Missing type info of: _fig, at path part _fig | ",2025-03-01 22:52:54.449160
Yes,matplotlib,matplotlib.animation,_setup_blit,880,12,No,1,1,Found same amount of functions,self._setup_blit.(),"NamedType(name='Animation', qname='matplotlib.animation.Animation')",,2025-03-01 22:52:54.449160
Yes,matplotlib,matplotlib.animation,new_timer,1415,27,No,0,2,Found no referenced functions,fig.canvas.new_timer.(),fig,MemberExpr:1415(  NameExpr(fig [l])  canvas) Type is Any No missing import name ,2025-03-01 22:52:54.455353
Yes,matplotlib,matplotlib.animation,__init__,1416,8,Yes,4,162,,super.().__init__.(),matplotlib.animation.TimedAnimation,,2025-03-01 22:52:54.460066
Yes,matplotlib,matplotlib.animation,__init__,1490,8,Yes,3,167,,super.().__init__.(),matplotlib.animation.ArtistAnimation,,2025-03-01 22:52:54.468198
Yes,matplotlib,matplotlib.animation,warn_external,1674,16,No,1,1,Found same amount of functions,_api.warn_external.(),matplotlib._api,,2025-03-01 22:52:54.471398
Yes,matplotlib,matplotlib.animation,warn_external,1679,12,No,1,1,Found same amount of functions,_api.warn_external.(),matplotlib._api,,2025-03-01 22:52:54.473395
Yes,matplotlib,matplotlib.animation,__init__,1694,8,Yes,3,166,,super.().__init__.(),matplotlib.animation.FuncAnimation,,2025-03-01 22:52:54.482235
Yes,matplotlib,matplotlib.artist,type,200,26,No,0,0,Found same amount of functions,type.(),builtins.type,,2025-03-01 22:52:54.485231
Yes,matplotlib,matplotlib.artist,list,1435,20,No,0,0,Found same amount of functions,list.(),builtins.list,,2025-03-01 22:52:54.492454
Yes,matplotlib,matplotlib.artist,type,1441,16,No,0,0,Found same amount of functions,type.(),builtins.type,,2025-03-01 22:52:54.492454
Yes,matplotlib,matplotlib.artist,get_aliases,1444,22,No,1,1,Found same amount of functions,self.get_aliases.(),"NamedType(name='ArtistInspector', qname='matplotlib.artist.ArtistInspector')",,2025-03-01 22:52:54.493453
Yes,matplotlib,matplotlib.axis,__init__,86,8,Yes,72,342,,super.().__init__.(),matplotlib.axis.Tick,,2025-03-01 22:52:54.759714
Yes,matplotlib,matplotlib.axis,set_figure,98,8,Yes,1,11,,self.set_figure.(),"NamedType(name='Tick', qname='matplotlib.axis.Tick')",,2025-03-01 22:52:54.761703
Yes,matplotlib,matplotlib.axis,_set_labelrotation,132,8,No,1,1,Found same amount of functions,self._set_labelrotation.(),"NamedType(name='Tick', qname='matplotlib.axis.Tick')",,2025-03-01 22:52:54.762694
Yes,matplotlib,matplotlib.axis,_has_alpha_channel,147,38,No,1,1,Found same amount of functions,mcolors._has_alpha_channel.(),matplotlib.colors,,2025-03-01 22:52:54.763822
Yes,matplotlib,matplotlib.axis,get_path,172,8,No,0,17,Found no referenced functions,self.gridline.get_path.(),"NamedType(name='Tick', qname='matplotlib.axis.Tick')","MemberExpr:172(  NameExpr(self [l])  gridline) Missing type info of: gridline, at path part gridline | ",2025-03-01 22:52:54.764823
Yes,matplotlib,matplotlib.axis,_apply_tickdir,183,8,No,3,3,Found same amount of functions,self._apply_tickdir.(),"NamedType(name='Tick', qname='matplotlib.axis.Tick')",,2025-03-01 22:52:54.766848
Yes,matplotlib,matplotlib.axis,_set_artist_props,187,12,Yes,1,5,,self._set_artist_props.(),"NamedType(name='Tick', qname='matplotlib.axis.Tick')",,2025-03-01 22:52:54.767820
