Type-Aware?,Library,Runtime [s],Date
Yes,matplotlib,581.7609195709229,2025-02-07 19:29:31.228225
No,matplotlib,6810.9246945381165,2025-02-07 21:27:11.924767
No,matplotlib,6362.4772255420685,2025-02-13 20:13:55.151750
No,matplotlib,6427.627331733704,2025-02-13 20:15:00.281995
No,matplotlib,1541.783174753189,2025-02-26 12:55:08.135001
Yes,matplotlib,1100.1088619232178,2025-02-26 13:30:17.723855
Yes,matplotlib,1140.5921490192413,2025-02-27 00:33:54.506218
Yes,matplotlib,1149.4976184368134,2025-02-27 09:37:51.495493
No,matplotlib,1313.2204847335815,2025-02-27 17:48:16.814635
No,matplotlib,1350.9456734657288,2025-02-28 09:49:50.721301
