Type-Aware?,Library,InFunction,name,line,column,IsFromParameter,HasTypeInfo,InferredType,TypeHint,DocString,MissingTypesOnPath,TypeOutsideOfPackage,Decrease,Increase,FoundType
No,matplotlib,matplotlib._parse_to_version_info.157.0,parse_version,165,8,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._parse_to_version_info.157.0,_VersionInfo,167,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._parse_to_version_info.157.0,_VersionInfo,169,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._parse_to_version_info.157.0,get,172,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._parse_to_version_info.157.0,get,172,17,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._parse_to_version_info.157.0,get,173,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._parse_to_version_info.157.0,get,173,17,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._parse_to_version_info.157.0,get,174,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._parse_to_version_info.157.0,get,174,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._parse_to_version_info.157.0,get,171,23,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._parse_to_version_info.157.0,_VersionInfo,175,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._parse_to_version_info.157.0,_VersionInfo,178,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_version.181.0,resolve,186,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_version.181.0,Path,186,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_version.181.0,get_version,191,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_version.181.0,exists,187,9,No,No,No,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_version.181.0,exists,188,17,No,No,No,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_version.181.0,exists,189,21,No,No,No,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._check_versions.208.0,import_module,221,17,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._check_versions.208.0,ImportError,223,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._check_versions.208.0,join,223,30,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._check_versions.208.0,format,223,30,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._check_versions.208.0,parse_version,222,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._check_versions.208.0,parse_version,222,47,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._ensure_handler.233.0,StreamHandler,240,14,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._ensure_handler.233.0,setFormatter,241,4,No,No,No,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._ensure_handler.233.0,Formatter,241,25,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._ensure_handler.233.0,addHandler,242,4,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib.set_loglevel.246.0,setLevel,276,4,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib.set_loglevel.246.0,upper,276,18,Yes,Yes,No,Yes,Yes,No,No,-0,+0,[]
No,matplotlib,matplotlib.set_loglevel.246.0,setLevel,277,4,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib.set_loglevel.246.0,_ensure_handler,277,4,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib.set_loglevel.246.0,upper,277,31,Yes,Yes,No,Yes,Yes,No,No,-0,+0,[]
No,matplotlib,matplotlib._logged_cached.280.0,partial,294,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._logged_cached.280.0,wraps,299,5,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,check_output,363,21,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,ExecutableNotFoundError,370,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,str,370,46,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,ExecutableNotFoundError,372,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,str,372,42,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,search,373,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,group,375,26,No,No,No,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,parse_version,376,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,ExecutableNotFoundError,378,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,join,379,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,format,379,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,parse_version,377,49,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,_ExecInfo,381,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,ExecutableNotFoundError,383,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,join,384,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,format,384,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,join,385,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,ExecutableNotFoundError,388,14,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,join,388,38,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,format,388,38,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,split,387,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,get,387,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,impl,391,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,impl,398,23,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,ExecutableNotFoundError,402,14,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,impl,406,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,impl,412,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,QueryValueEx,425,34,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,OpenKeyEx,421,25,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,Path,431,32,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,str,433,31,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,exists,432,23,No,No,No,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,ExecutableNotFoundError,436,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,impl,440,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,ExecutableNotFoundError,443,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,join,444,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,format,444,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,impl,447,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,impl,449,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,ExecutableNotFoundError,455,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,join,456,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,format,456,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,parse_version,454,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,parse_version,454,55,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,ValueError,460,14,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_executable_info.323.0,format,460,25,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib.checkdep_usetex.464.0,warning,468,8,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib.checkdep_usetex.464.0,which,467,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib.checkdep_usetex.464.0,_get_executable_info,471,8,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib.checkdep_usetex.464.0,warning,473,8,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib.checkdep_usetex.464.0,_get_executable_info,476,8,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib.checkdep_usetex.464.0,warning,478,8,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_xdg_config_dir.483.0,get,490,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_xdg_config_dir.483.0,str,490,48,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_xdg_config_dir.483.0,home,490,52,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_xdg_cache_dir.493.0,get,499,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_xdg_cache_dir.493.0,str,499,47,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_xdg_cache_dir.493.0,home,499,51,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,get,503,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,resolve,505,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,Path,505,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,Path,509,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,xdg_base_getter,509,25,No,No,No,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,home,511,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,startswith,506,9,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,mkdir,513,8,No,No,No,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,str,518,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,access,517,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,str,517,21,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,is_dir,517,50,No,No,No,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,mkdtemp,522,17,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,OSError,524,14,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,join,525,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,format,525,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
No,matplotlib,matplotlib._get_config_or_cache_dir.502.0,register,530,4,No,Yes,Yes,No,No,No,No,-0,+0,[]
