Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Date
No,Seaborn,Seaborn.algorithms,map,37,26,No,0,3,Found no referenced functions,,None,2025-01-17 10:59:32.315254
No,Seaborn,Seaborn.algorithms,map,60,16,No,0,3,Found no referenced functions,,None,2025-01-17 10:59:32.316246
No,Seaborn,Seaborn.algorithms,_handle_random_seed,57,10,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:32.364882
No,Seaborn,Seaborn.algorithms,_structured_bootstrap,91,15,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.171530
No,Seaborn,Seaborn.algorithms,f,98,25,No,0,0,Found no referenced functions,,None,2025-01-17 10:59:33.173096
No,Seaborn,Seaborn.algorithms,map,113,18,No,0,3,Found no referenced functions,,None,2025-01-17 10:59:33.383601
No,Seaborn,Seaborn.algorithms,map,116,22,No,0,3,Found no referenced functions,,None,2025-01-17 10:59:33.384603
No,Seaborn,Seaborn.axisgrid,set,39,16,No,0,2,Found no referenced functions,,None,2025-01-17 10:59:33.455455
No,Seaborn,Seaborn.rcmod,set_theme,132,4,No,0,0,Found no referenced functions,,None,2025-01-17 10:59:33.456885
No,Seaborn,Seaborn._core.groupby,_get_groups,110,26,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.456885
No,Seaborn,Seaborn._core.groupby,_reorder_columns,113,19,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.457886
No,Seaborn,Seaborn._core.groupby,_reorder_columns,129,15,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.457886
No,Seaborn,Seaborn.axisgrid,savefig,95,8,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.460684
No,Seaborn,Seaborn.axisgrid,__init__,376,8,No,0,24,Found no referenced functions,,None,2025-01-17 10:59:33.461683
No,Seaborn,Seaborn.axisgrid,categorical_order,383,24,No,0,2,Found no referenced functions,,None,2025-01-17 10:59:33.461683
No,Seaborn,Seaborn.axisgrid,categorical_order,391,24,No,0,2,Found no referenced functions,,None,2025-01-17 10:59:33.462682
No,Seaborn,Seaborn.axisgrid,categorical_order,396,24,No,0,2,Found no referenced functions,,None,2025-01-17 10:59:33.463664
No,Seaborn,Seaborn.axisgrid,_get_palette,385,17,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.463664
No,Seaborn,Seaborn.axisgrid,_disable_autolayout,446,13,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.465679
No,Seaborn,Seaborn.axisgrid,figure,447,18,No,0,0,Found no referenced functions,,None,2025-01-17 10:59:33.524495
No,Seaborn,Seaborn.axisgrid,set_titles,525,8,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.573171
No,Seaborn,Seaborn.axisgrid,tight_layout,526,8,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.573171
No,Seaborn,Seaborn.axisgrid,despine,529,12,No,0,2,Found no referenced functions,,None,2025-01-17 10:59:33.574170
No,Seaborn,Seaborn.axisgrid,__init__,1242,8,No,0,24,Found no referenced functions,,None,2025-01-17 10:59:33.592152
No,Seaborn,Seaborn.axisgrid,_find_numeric_cols,1245,23,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.593151
No,Seaborn,Seaborn.axisgrid,_disable_autolayout,1273,13,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.594150
No,Seaborn,Seaborn.axisgrid,figure,1274,18,No,0,0,Found no referenced functions,,None,2025-01-17 10:59:33.595151
No,Seaborn,Seaborn.axisgrid,_add_axis_labels,1304,8,No,0,2,Found no referenced functions,,None,2025-01-17 10:59:33.596150
No,Seaborn,Seaborn.axisgrid,categorical_order,1321,36,No,0,2,Found no referenced functions,,None,2025-01-17 10:59:33.596150
No,Seaborn,Seaborn.axisgrid,_get_palette,1333,23,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.597148
No,Seaborn,Seaborn.axisgrid,despine,1357,12,No,0,2,Found no referenced functions,,None,2025-01-17 10:59:33.598147
No,Seaborn,Seaborn.axisgrid,tight_layout,1358,8,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.605139
No,Seaborn,Seaborn.axisgrid,get_var,1735,17,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.657850
No,Seaborn,Seaborn.axisgrid,get_var,1736,17,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.658386
