Type-Aware,Library,FunctionId,Runtime of body analysis,Date
Yes,sklearn,sklearn/setup_module,0.0009980201721191406,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/_in_unstable_openblas_configuration,0.0030167102813720703,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/safe_mask,0.0020377635955810547,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/axis0_safe_slice,0.0009999275207519531,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/_array_indexing,0.0019996166229248047,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/_pandas_indexing,0.002034902572631836,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/_list_indexing,0.0020008087158203125,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/_determine_key_type,0.007002592086791992,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/_safe_indexing,0.004996776580810547,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/_safe_assign,0.001998424530029297,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/_get_column_indices,0.008028030395507812,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/resample,0.008975028991699219,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/shuffle,0.0,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/safe_sqr,0.001003265380859375,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/_chunk_generator,0.0010023117065429688,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/gen_batches,0.003000020980834961,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/gen_even_slices,0.0040242671966552734,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/tosequence,0.0010073184967041016,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/_to_object_array,0.0009925365447998047,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/indices_to_mask,0.001961231231689453,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/_message_with_time,0.0019991397857666016,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/_print_elapsed_time,0.0010004043579101562,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/get_chunk_n_rows,0.0029959678649902344,2025-03-02 07:34:07.240193
Yes,sklearn,sklearn/utils/_is_pandas_na,0.000965118408203125,2025-03-02 07:34:07.240193
