Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
sklearn,sklearn.utils,571,9,OpExpr,bool,,OpExpr,2025-02-09 01:21:46.473474
sklearn,sklearn.utils,784,11,OpExpr,int,,OpExpr,2025-02-09 01:21:46.555473
sklearn,sklearn.base,195,15,OpExpr,bool,,OpExpr,2025-02-09 01:21:46.870475
sklearn,sklearn.base,291,18,OpExpr,int,,OpExpr,2025-02-09 01:21:46.923472
sklearn,sklearn.calibration,862,17,MemberExpr,None,,"Any, Any",2025-02-09 01:21:47.480462
sklearn,sklearn.calibration,863,17,MemberExpr,None,,"Any, Any",2025-02-09 01:21:47.484540
sklearn,sklearn.calibration,1049,38,OpExpr,int,,OpExpr,2025-02-09 01:21:47.577774
sklearn,sklearn.calibration,1052,37,OpExpr,int,,OpExpr,2025-02-09 01:21:47.584774
sklearn,sklearn.discriminant_analysis,70,20,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:21:47.763551
sklearn,sklearn.discriminant_analysis,91,16,OpExpr,None,,OpExpr,2025-02-09 01:21:47.780005
sklearn,sklearn.multioutput,67,25,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:21:49.654918
sklearn,sklearn.multioutput,194,16,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:21:49.698436
sklearn,sklearn.random_projection,134,25,OpExpr,float,,OpExpr,2025-02-09 01:21:51.220613
sklearn,sklearn.random_projection,301,23,OpExpr,str,,OpExpr,2025-02-09 01:21:51.310612
sklearn,sklearn.cluster._agglomerative,315,18,OpExpr,None,,OpExpr,2025-02-09 01:21:51.827611
sklearn,sklearn.cluster._agglomerative,599,18,OpExpr,None,,OpExpr,2025-02-09 01:21:52.048614
sklearn,sklearn.cluster._kmeans,1030,18,OpExpr,None,,OpExpr,2025-02-09 01:21:53.947510
sklearn,sklearn.cluster._kmeans,1659,7,OpExpr,bool,,OpExpr,2025-02-09 01:21:54.151732
sklearn,sklearn.cluster._mean_shift,84,14,IndexExpr,int,,"Any, Any",2025-02-09 01:21:54.378732
