Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
No,sklearn,sklearn.utils,571,9,OpExpr,bool,,OpExpr,2025-03-01 06:43:57.080078
No,sklearn,sklearn.utils,784,11,OpExpr,int,,OpExpr,2025-03-01 06:43:57.198065
No,sklearn,sklearn.base,195,15,OpExpr,bool,,OpExpr,2025-03-01 06:43:57.952038
No,sklearn,sklearn.base,291,18,OpExpr,int,,OpExpr,2025-03-01 06:43:58.021967
No,sklearn,sklearn.calibration,862,17,MemberExpr,None,,"Any, Any",2025-03-01 06:43:59.167463
No,sklearn,sklearn.calibration,863,17,MemberExpr,None,,"Any, Any",2025-03-01 06:43:59.170460
No,sklearn,sklearn.calibration,1049,38,OpExpr,int,,OpExpr,2025-03-01 06:43:59.356252
No,sklearn,sklearn.calibration,1052,37,OpExpr,int,,OpExpr,2025-03-01 06:43:59.364244
No,sklearn,sklearn.discriminant_analysis,70,20,ConditionalExpr,None,,ConditionalExpr,2025-03-01 06:43:59.575502
No,sklearn,sklearn.discriminant_analysis,91,16,OpExpr,None,,OpExpr,2025-03-01 06:43:59.596479
No,sklearn,sklearn.multioutput,67,25,ConditionalExpr,None,,ConditionalExpr,2025-03-01 06:44:02.466681
No,sklearn,sklearn.multioutput,194,16,ConditionalExpr,None,,ConditionalExpr,2025-03-01 06:44:02.527514
No,sklearn,sklearn.random_projection,134,25,OpExpr,float,,OpExpr,2025-03-01 06:44:04.834260
No,sklearn,sklearn.random_projection,301,23,OpExpr,str,,OpExpr,2025-03-01 06:44:04.922227
No,sklearn,sklearn.cluster._agglomerative,315,18,OpExpr,None,,OpExpr,2025-03-01 06:44:05.699418
No,sklearn,sklearn.cluster._agglomerative,599,18,OpExpr,None,,OpExpr,2025-03-01 06:44:05.998685
No,sklearn,sklearn.cluster._kmeans,1030,18,OpExpr,None,,OpExpr,2025-03-01 06:44:08.376594
No,sklearn,sklearn.cluster._kmeans,1659,7,OpExpr,bool,,OpExpr,2025-03-01 06:44:08.721857
No,sklearn,sklearn.cluster._mean_shift,84,14,IndexExpr,int,,"Any, Any",2025-03-01 06:44:09.048222
No,sklearn,sklearn.cluster._mean_shift,84,14,SliceExpr,None,,SliceExpr,2025-03-01 06:44:09.051218
No,sklearn,sklearn.cluster._mean_shift,86,22,OpExpr,float,,OpExpr,2025-03-01 06:44:09.058212
No,sklearn,sklearn.covariance._graph_lasso,655,27,OpExpr,bool,,OpExpr,2025-03-01 06:44:12.169593
No,sklearn,sklearn.covariance._robust_covariance,180,16,OpExpr,int,,OpExpr,2025-03-01 06:44:12.586708
No,sklearn,sklearn.covariance._robust_covariance,348,17,SliceExpr,int,,SliceExpr,2025-03-01 06:44:12.662681
