Type-Aware,Library,Full Api Analysis Runtime [s],Function Body Anaylsis Runtime [s],Average function body analysis runtime [s],Finding Referenced Functions runtime [s],Date
Yes,sklearn,166.51451587677002,4.17667,0.00124,3.2667644023895264,2025-02-27 05:58:36.172040
Yes,sklearn,164.43570375442505,4.57439,0.00136,3.3235466480255127,2025-02-27 15:10:00.586736
No,sklearn,132.2345700263977,4.14884,0.00123,0.0,2025-02-27 20:17:35.232040
No,sklearn,131.84550642967224,5.32328,0.00158,0.0,2025-02-28 12:20:35.768678
Yes,sklearn,319.48805499076843,10.51928,0.00312,7.401065111160278,2025-03-02 07:34:07.294196
Yes,sklearn,128.3723602294922,4.65425,0.00138,3.549830913543701,2025-03-02 16:20:35.496409
Yes,sklearn,152.90718984603882,4.14452,0.00123,3.029700994491577,2025-03-03 13:31:25.628384
Yes,sklearn,166.55213689804077,4.56531,0.00136,3.438908576965332,2025-03-04 01:28:24.980082
No,sklearn,149.35456585884094,5.35159,0.00159,0.0,2025-03-04 12:22:21.906133
No,sklearn,137.0098695755005,5.64169,0.00168,0.0,2025-03-06 03:08:41.712240
Yes,sklearn,111.46125626564026,4.72714,0.0014,3.5242717266082764,2025-03-06 21:07:40.169771
