Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
No,sklearn,No,sklearn._build_utils.pre_build_helpers.basic_check_build.61.0,5565034,5645297,4240951,39156,44,1.0144227330866262,0.7620709954332714,Impure,Impure,2025-03-01 14:34:55.656370
No,sklearn,No,sklearn._config.get_config.32.0,3,2,1,0,2,0.6666666666666666,0.3333333333333333,Impure,Impure,2025-03-01 14:34:55.760942
No,sklearn,No,sklearn._loss.link.includes.30.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-03-01 14:34:55.778660
No,sklearn,No,sklearn.base.decorator.1133.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 14:34:55.804580
No,sklearn,No,sklearn.base.get_indices.808.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 14:34:55.842172
No,sklearn,No,sklearn.base.score.993.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 14:34:55.852391
No,sklearn,No,sklearn.calibration.__init__.274.4,1,0,1,0,0,0.0,1.0,Impure,Pure,2025-03-01 14:34:55.869639
No,sklearn,No,sklearn.calibration.grad.881.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-03-01 14:34:55.873636
No,sklearn,No,sklearn.cluster._affinity_propagation._more_tags.469.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 14:34:55.874775
No,sklearn,No,sklearn.cluster._affinity_propagation.fit.473.4,1355984,1376164,1030140,9811,37,1.0148821815006668,0.7596992294894335,Impure,Impure,2025-03-01 14:34:55.882898
No,sklearn,No,sklearn.cluster._affinity_propagation.predict.536.4,591721,600530,449537,4281,33,1.01488708360866,0.7597110800529303,Impure,Impure,2025-03-01 14:34:55.885021
No,sklearn,No,sklearn.cluster._birch.radius.354.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-01 14:34:55.887121
