Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
No,sklearn,No,sklearn._build_utils.pre_build_helpers.basic_check_build.61.0,254383414842620230287951721718017978607608251,257356644881879291281755405073676804017115698,197405039784297345319407806216850377136722560,7007238910186834483605859936911561484105,208,1.0116879869746953,0.776013797544255,Impure,Impure,2025-02-11 13:07:49.447769
No,sklearn,No,sklearn._config.get_config.32.0,3,2,1,0,2,0.6666666666666666,0.3333333333333333,Impure,Impure,2025-02-11 13:07:49.455760
No,sklearn,No,sklearn._loss.link.includes.30.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-02-11 13:07:49.458762
No,sklearn,No,sklearn.base.decorator.1133.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-02-11 13:07:49.459757
No,sklearn,No,sklearn.base.get_indices.808.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-02-11 13:07:49.461755
No,sklearn,No,sklearn.base.score.993.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-02-11 13:07:49.463754
No,sklearn,No,sklearn.calibration.__init__.274.4,1,0,1,0,0,0.0,1.0,Impure,Pure,2025-02-11 13:07:49.464750
No,sklearn,No,sklearn.calibration.grad.881.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-02-11 13:07:49.471743
No,sklearn,No,sklearn.cluster._affinity_propagation._more_tags.469.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-02-11 13:07:49.472742
No,sklearn,No,sklearn.cluster._affinity_propagation.fit.473.4,41476946,41961717,32186698,1138,43,1.0116877216562665,0.7760141742354898,Impure,Impure,2025-02-11 13:07:49.473742
No,sklearn,No,sklearn.cluster._affinity_propagation.predict.536.4,26697238,27009273,20717428,735,43,1.0116879131841279,0.7760139082552285,Impure,Impure,2025-02-11 13:07:49.474742
No,sklearn,No,sklearn.cluster._birch.radius.354.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-02-11 13:07:49.475749
No,sklearn,Yes,sklearn.cluster._dbscan.fit_predict.423.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-02-11 13:07:49.476739
No,sklearn,No,sklearn.cluster._hdbscan.hdbscan._get_finite_row_indices.395.0,6,5,5,0,1,0.8333333333333334,0.8333333333333334,Impure,Impure,2025-02-11 13:07:49.477737
No,sklearn,No,sklearn.cluster._kmeans.fit.1444.4,14670165,14841627,11384251,405,41,1.011687803102419,0.7760138348818845,Impure,Impure,2025-02-11 13:07:49.478736
No,sklearn,No,sklearn.cluster._kmeans.predict.1070.4,41367330,41850828,32101622,1140,44,1.0116879189447325,0.7760138737501309,Impure,Impure,2025-02-11 13:07:49.480734
No,sklearn,No,sklearn.cluster._optics._xi_cluster.929.0,12,11,8,0,2,0.9166666666666666,0.6666666666666666,Impure,Impure,2025-02-11 13:07:49.480734
No,sklearn,Yes,sklearn.cluster._spectral.fit.655.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-02-11 13:07:49.481733
No,sklearn,No,sklearn.cluster._spectral.spectral_clustering.196.0,541118540032442247302733462817737652454261579010656998330,547443126480107579530515036675198199337796867528298998260,419915453172178519829761785123775198128481263923841639405,14905637189769888075504139943884941240168909128472319,298,1.0116879869746953,0.776013797544255,Impure,Impure,2025-02-11 13:07:49.828549
