Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
Yes,sklearn,No,sklearn._build_utils.pre_build_helpers.basic_check_build.61.0,17,16,15,0,2,0.9411764705882353,0.8823529411764706,Impure,Impure,2025-02-10 20:16:35.525329
Yes,sklearn,No,sklearn._config.get_config.32.0,3,2,1,0,2,0.6666666666666666,0.3333333333333333,Impure,Impure,2025-02-10 20:16:35.526293
Yes,sklearn,No,sklearn._loss.link.includes.30.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-02-10 20:16:35.528293
Yes,sklearn,No,sklearn.base.decorator.1133.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-02-10 20:16:35.531267
Yes,sklearn,No,sklearn.base.get_indices.808.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-02-10 20:16:35.533274
Yes,sklearn,No,sklearn.base.score.993.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-02-10 20:16:35.534274
Yes,sklearn,No,sklearn.calibration.__init__.274.4,1,0,1,0,0,0.0,1.0,Impure,Pure,2025-02-10 20:16:35.535327
Yes,sklearn,No,sklearn.calibration.grad.881.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-02-10 20:16:35.537337
Yes,sklearn,No,sklearn.cluster._affinity_propagation._more_tags.469.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-02-10 20:16:35.538334
Yes,sklearn,No,sklearn.cluster._affinity_propagation.fit.473.4,25,24,20,0,4,0.96,0.8,Impure,Impure,2025-02-10 20:16:35.543332
Yes,sklearn,No,sklearn.cluster._affinity_propagation.predict.536.4,11,10,10,0,1,0.9090909090909091,0.9090909090909091,Impure,Impure,2025-02-10 20:16:35.545333
Yes,sklearn,No,sklearn.cluster._birch.radius.354.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-02-10 20:16:35.545333
