Type-Aware?,Library,Runtime [seconds],Classified as Pure,Classified as Impure,Amount of functions,True Positive,True Negative,False Positive,False Negative,Recall,Precision,Accuracy,Balanced Accuracy,Call References,Improved CallRef,Found more func,Found same amount,Found no referenced functions,Call refs func outside of package,Api callRef not found,Api Analyzer bug,Mean reduction of referenced functions,Mean reduction of referenced functions if improved,Largest reduction,Callrefs found by purity,Callrefs found by api,Date
Yes,sklearn,6710.535243988037,665,8512,9177,26,156,3,15,0.6341463414634146,0.896551724137931,0.91,0.8076392084675563,28894,1885,487,5050,19810,0,757,905,54.534263168823976,835.9220159151193,331,76341,72561,2025-01-21 01:45:58.164014
No,sklearn,258457.11372733116,653,8532,9185,25,156,3,16,0.6097560975609756,0.8928571428571429,0.905,0.7954440865163368,28894,0,0,0,28894,0,0,0,0,0,0,76341,72561,2025-02-11 13:07:55.528010
Yes,sklearn,17245.791867017746,665,8512,9177,26,156,3,15,0.6341463414634146,0.896551724137931,0.91,0.8076392084675563,28894,1847,456,5091,19838,0,757,905,54.53523222814425,853.1353546291283,331,76341,72561,2025-02-09 06:12:37.565983
Yes,sklearn,10208.473686695099,665,8512,9177,26,156,3,15,0.6341463414634146,0.896551724137931,0.91,0.8076392084675563,28894,1852,456,5094,19844,0,743,905,54.53460926143836,850.8223542116631,331,76341,72659,2025-02-10 20:16:36.947192
Yes,sklearn,16914.86322617531,387,3048,3435,26,156,3,15,0.6341463414634146,0.896551724137931,0.91,0.8076392084675563,7652,569,86,1546,4695,0,551,205,9.766858337689493,131.34622144112478,218,22485,22338,2025-03-03 11:11:19.725029,Laptop
No,sklearn,39912.795268297195,386,3049,3435,26,156,3,15,0.6341463414634146,0.896551724137931,0.91,0.8076392084675563,7652,0,0,0,7652,0,0,0,0,0,0,22485,22338,2025-03-03 23:26:06.254661,Laptop
Yes,sklearn,2409.773203611374,738,5076,5814,25,156,3,16,0.6097560975609756,0.8928571428571429,0.905,0.7954440865163368,7652,569,86,1546,4695,0,551,205,9.766858337689493,131.34622144112478,218,22485,22338,2025-03-01 05:53:38.343718
No,sklearn,31156.949603319168,765,5182,5947,25,156,3,16,0.6097560975609756,0.8928571428571429,0.905,0.7954440865163368,7652,0,0,0,7652,0,0,0,0,0,0,22485,22338,2025-03-01 09:45:06.277534
No,sklearn,28215.543877601624,765,5182,5947,25,156,3,16,0.6097560975609756,0.8928571428571429,0.905,0.7954440865163368,7652,0,0,0,7652,0,0,0,0,0,0,22485,22338,2025-03-01 14:35:45.741474
Yes,sklearn,11273.40115404129,767,5180,5947,25,156,3,16,0.6097560975609756,0.8928571428571429,0.905,0.7954440865163368,7652,569,86,1546,4695,0,551,205,9.766858337689493,131.34622144112478,218,22485,22338,2025-03-02 05:33:37.352272
No,sklearn,25521.087037801743,383,3052,3435,25,156,3,16,0.6097560975609756,0.8928571428571429,0.905,0.7954440865163368,7652,0,0,0,7652,0,0,0,0,0,0,22485,22338,2025-03-03 06:06:18.318827
No,sklearn,21883.21973323822,383,3052,3435,25,156,3,16,0.6097560975609756,0.8928571428571429,0.905,0.7954440865163368,7652,0,0,0,7652,0,0,0,0,0,0,22485,22338,2025-03-08 21:57:02.244737
Yes,sklearn,9960.822887897491,385,3050,3435,25,156,3,16,0.6097560975609756,0.8928571428571429,0.905,0.7954440865163368,7652,569,86,1546,4695,0,551,205,9.766858337689493,131.34622144112478,218,22485,22338,2025-03-09 05:47:46.795361
Yes,sklearn,12232.31048321724,386,3049,3435,25,156,3,16,0.6097560975609756,0.8928571428571429,0.905,0.7954440865163368,7652,569,86,1546,4695,0,551,205,9.766858337689493,131.34622144112478,218,22485,22338,2025-04-09 06:14:29.493938
