Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Date
No,sklearn,sklearn.base,__sklearn_clone__,75,15,No,0,2,Found no referenced functions,,None,2025-02-08 13:20:49.097842
No,sklearn,sklearn.base,_clone_parametrized,76,11,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.097842
No,sklearn,sklearn.base,clone,85,31,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.101387
No,sklearn,sklearn.base,clone,107,34,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.102015
No,sklearn,sklearn.base,get_params,105,24,No,0,21,Found no referenced functions,,None,2025-02-08 13:20:49.103592
No,sklearn,sklearn.base,get_params,115,17,No,0,21,Found no referenced functions,,None,2025-02-08 13:20:49.104124
No,sklearn,sklearn.utils._metadata_requests,request_is_valid,279,42,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.122061
No,sklearn,sklearn.utils._metadata_requests,request_is_valid,281,19,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.123064
No,sklearn,sklearn.utils._metadata_requests,_get_param_names,421,15,No,0,2,Found no referenced functions,,None,2025-02-08 13:20:49.124046
No,sklearn,sklearn.utils._metadata_requests,_get_param_names,724,16,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.125053
No,sklearn,sklearn.utils._metadata_requests,_get_param_names,733,24,No,0,2,Found no referenced functions,,None,2025-02-08 13:20:49.126159
No,sklearn,sklearn.base,_get_param_names,193,19,No,0,2,Found no referenced functions,,None,2025-02-08 13:20:49.128170
No,sklearn,sklearn.base,get_params,196,29,No,0,21,Found no referenced functions,,None,2025-02-08 13:20:49.128170
No,sklearn,sklearn.base,update,197,16,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.129160
No,sklearn,sklearn.pipeline,_get_params,194,15,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.130184
No,sklearn,sklearn.pipeline,_get_params,1113,15,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.131287
No,sklearn,sklearn.compose._column_transformer,_get_params,330,15,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.131287
No,sklearn,sklearn.ensemble._base,_get_params,334,15,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.132287
No,sklearn,sklearn.ensemble.tests.test_base,make_steps,79,20,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.134298
No,sklearn,sklearn.ensemble.tests.test_base,_set_random_states,80,4,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.134298
No,sklearn,sklearn.ensemble.tests.test_base,get_params,84,8,No,0,21,Found no referenced functions,,None,2025-02-08 13:20:49.135283
No,sklearn,sklearn.ensemble.tests.test_base,get_params,85,11,No,0,21,Found no referenced functions,,None,2025-02-08 13:20:49.135283
No,sklearn,sklearn.ensemble.tests.test_base,get_params,93,21,No,0,2,Found no referenced functions,,None,2025-02-08 13:20:49.136485
No,sklearn,sklearn.ensemble.tests.test_base,get_params,98,21,No,0,2,Found no referenced functions,,None,2025-02-08 13:20:49.138494
No,sklearn,sklearn.gaussian_process.kernels,get_params,681,25,No,0,21,Found no referenced functions,,None,2025-02-08 13:20:49.145618
No,sklearn,sklearn.gaussian_process.kernels,get_params,683,25,No,0,21,Found no referenced functions,,None,2025-02-08 13:20:49.146712
No,sklearn,sklearn.gaussian_process.kernels,update,682,12,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.146712
No,sklearn,sklearn.gaussian_process.kernels,update,684,12,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.147715
No,sklearn,sklearn.gaussian_process.kernels,get_params,1031,25,No,0,21,Found no referenced functions,,None,2025-02-08 13:20:49.149710
No,sklearn,sklearn.gaussian_process.kernels,update,1032,12,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.150708
No,sklearn,sklearn.model_selection.tests.test_successive_halving,get_params,52,17,No,0,21,Found no referenced functions,,None,2025-02-08 13:20:49.151870
No,sklearn,sklearn.utils.tests.test_pprint,get_params,629,21,No,0,21,Found no referenced functions,,None,2025-02-08 13:20:49.154885
No,sklearn,sklearn.utils.tests.test_pprint,update,630,12,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.154885
No,sklearn,sklearn.base,get_params,222,23,No,0,21,Found no referenced functions,,None,2025-02-08 13:20:49.155883
No,sklearn,sklearn.base,_get_param_names,228,37,No,0,2,Found no referenced functions,,None,2025-02-08 13:20:49.156968
No,sklearn,sklearn.base,set_params,262,12,No,0,18,Found no referenced functions,,None,2025-02-08 13:20:49.210159
No,sklearn,sklearn.pipeline,_set_params,215,8,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.214945
No,sklearn,sklearn.pipeline,_set_params,1134,8,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.215933
No,sklearn,sklearn.compose._column_transformer,_set_params,349,8,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.216930
No,sklearn,sklearn.ensemble._base,_set_params,312,8,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.216930
No,sklearn,sklearn.gaussian_process.kernels,get_params,211,23,No,0,21,Found no referenced functions,,None,2025-02-08 13:20:49.217929
No,sklearn,sklearn.gaussian_process.kernels,split,213,20,No,0,18,Found no referenced functions,,None,2025-02-08 13:20:49.218946
No,sklearn,sklearn.gaussian_process.kernels,set_params,224,16,No,0,18,Found no referenced functions,,None,2025-02-08 13:20:49.219927
No,sklearn,sklearn.model_selection.tests.test_successive_halving,set_params,675,19,No,0,18,Found no referenced functions,,None,2025-02-08 13:20:49.221938
No,sklearn,sklearn.tests.test_base,set_params,280,12,No,0,18,Found no referenced functions,,None,2025-02-08 13:20:49.222937
No,sklearn,sklearn.utils.tests.test_estimator_checks,set_params,138,15,No,0,18,Found no referenced functions,,None,2025-02-08 13:20:49.224935
No,sklearn,sklearn.utils.tests.test_estimator_checks,set_params,176,15,No,0,18,Found no referenced functions,,None,2025-02-08 13:20:49.226124
No,sklearn,sklearn.utils.tests.test_estimator_checks,set_params,195,15,No,0,18,Found no referenced functions,,None,2025-02-08 13:20:49.227123
No,sklearn,sklearn.base,_clone_parametrized,267,15,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.228122
No,sklearn,sklearn.base,split,289,33,No,0,18,Found no referenced functions,,None,2025-02-08 13:20:49.229121
No,sklearn,sklearn.gaussian_process.kernels,format,372,15,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.433939
No,sklearn,sklearn.gaussian_process.kernels,format,867,15,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.438033
No,sklearn,sklearn.gaussian_process.kernels,format,967,15,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.440033
No,sklearn,sklearn.gaussian_process.kernels,format,1149,15,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.441032
No,sklearn,sklearn.gaussian_process.kernels,format,1296,15,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.443029
No,sklearn,sklearn.gaussian_process.kernels,format,1417,15,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.445192
No,sklearn,sklearn.gaussian_process.kernels,format,1565,19,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.446190
No,sklearn,sklearn.gaussian_process.kernels,format,1570,19,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.446190
No,sklearn,sklearn.gaussian_process.kernels,format,1766,19,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.453414
No,sklearn,sklearn.gaussian_process.kernels,format,1772,19,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.453414
No,sklearn,sklearn.gaussian_process.kernels,format,1928,15,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.457411
No,sklearn,sklearn.gaussian_process.kernels,format,2073,15,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.458561
No,sklearn,sklearn.gaussian_process.kernels,format,2213,15,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.459561
No,sklearn,sklearn.gaussian_process.kernels,format,2387,15,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:49.460560
No,sklearn,sklearn.metrics._scorer,_factory_args,220,12,No,0,3,Found no referenced functions,,None,2025-02-08 13:20:49.462558
No,sklearn,sklearn.model_selection._split,_build_repr,134,15,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.463677
No,sklearn,sklearn.model_selection._split,_build_repr,1537,15,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.464677
No,sklearn,sklearn.model_selection._split,_build_repr,1755,15,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.465675
No,sklearn,sklearn.model_selection.tests.test_split,_build_repr,1823,19,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:49.465675
No,sklearn,sklearn.tree._reingold_tilford,__str__,51,15,No,0,27,Found no referenced functions,,None,2025-02-08 13:20:49.466693
No,sklearn,sklearn.utils._metadata_requests,_serialize,361,19,No,0,4,Found no referenced functions,,None,2025-02-08 13:20:49.467674
No,sklearn,sklearn.utils._metadata_requests,_serialize,477,19,No,0,4,Found no referenced functions,,None,2025-02-08 13:20:49.468845
No,sklearn,sklearn.utils._metadata_requests,_serialize,590,19,No,0,4,Found no referenced functions,,None,2025-02-08 13:20:49.468845
No,sklearn,sklearn.utils._metadata_requests,_serialize,890,19,No,0,4,Found no referenced functions,,None,2025-02-08 13:20:49.469848
No,sklearn,sklearn.utils._pprint,__repr__,80,15,No,0,31,Found no referenced functions,,None,2025-02-08 13:20:49.470844
No,sklearn,sklearn.utils.tests.test_pprint,__repr__,663,19,No,0,31,Found no referenced functions,,None,2025-02-08 13:20:49.472842
No,sklearn,sklearn.base,__getstate__,329,20,No,0,6,Found no referenced functions,,None,2025-02-08 13:20:49.473969
No,sklearn,sklearn.isotonic,__getstate__,449,16,No,0,6,Found no referenced functions,,None,2025-02-08 13:20:49.484355
No,sklearn,sklearn.base,__setstate__,355,12,No,0,4,Found no referenced functions,,None,2025-02-08 13:20:50.629929
No,sklearn,sklearn.base,update,357,12,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.630930
No,sklearn,sklearn.isotonic,__setstate__,459,8,No,0,4,Found no referenced functions,,None,2025-02-08 13:20:50.638059
No,sklearn,sklearn.isotonic,_build_f,461,12,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.639057
No,sklearn,sklearn.tests.test_base,update,498,8,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.641383
No,sklearn,sklearn.multiclass,_safe_tags,548,28,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.760611
No,sklearn,sklearn.multiclass,_safe_tags,868,28,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.761612
No,sklearn,sklearn.pipeline,_safe_tags,775,31,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.761612
No,sklearn,sklearn.pipeline,_safe_tags,782,34,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.762611
No,sklearn,sklearn.compose._target,_safe_tags,318,27,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.766769
No,sklearn,sklearn.ensemble._bagging,_safe_tags,990,29,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.775958
No,sklearn,sklearn.ensemble._bagging,_safe_tags,1278,29,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.777957
No,sklearn,sklearn.feature_selection._from_model,_safe_tags,448,29,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.778956
No,sklearn,sklearn.feature_selection._rfe,_safe_tags,446,25,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.779955
No,sklearn,sklearn.feature_selection._sequential,_safe_tags,294,25,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.781057
No,sklearn,sklearn.impute._base,is_scalar_nan,136,29,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.784055
No,sklearn,sklearn.impute._base,_is_pandas_na,662,25,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.785054
No,sklearn,sklearn.impute._base,is_scalar_nan,662,63,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.786204
No,sklearn,sklearn.linear_model._glm.glm,_get_loss,444,24,No,0,5,Found no referenced functions,,None,2025-02-08 13:20:50.789203
No,sklearn,sklearn.linear_model._glm.glm,in_y_true_range,445,47,No,0,2,Found no referenced functions,,None,2025-02-08 13:20:50.790202
No,sklearn,sklearn.model_selection._search,_safe_tags,426,24,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.792344
No,sklearn,sklearn.model_selection._search_successive_halving,_more_tags,378,24,No,0,151,Found no referenced functions,,None,2025-02-08 13:20:50.794341
No,sklearn,sklearn.model_selection._search_successive_halving,update,379,8,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.795340
No,sklearn,sklearn.utils.tests.test_estimator_checks,_yield_all_checks,1179,25,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.801099
No,sklearn,sklearn.base,_more_tags,369,28,No,0,0,Found no referenced functions,,None,2025-02-08 13:20:50.802267
No,sklearn,sklearn.base,update,370,16,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.802800
No,sklearn,sklearn.utils.tests.test_estimator_checks,_get_tags,441,15,No,0,2,Found no referenced functions,,None,2025-02-08 13:20:50.805361
No,sklearn,sklearn.base,_num_features,391,25,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.806363
No,sklearn,sklearn.base,_get_feature_names,440,31,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.809472
No,sklearn,sklearn.base,_get_feature_names,450,26,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.809472
No,sklearn,sklearn.base,add_names,495,27,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.811470
No,sklearn,sklearn.base,add_names,499,27,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.811470
No,sklearn,sklearn.base,_check_feature_names,579,8,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.813587
No,sklearn,sklearn.base,_get_tags,581,25,No,0,2,Found no referenced functions,,None,2025-02-08 13:20:50.814588
No,sklearn,sklearn.base,check_array,604,18,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.815585
No,sklearn,sklearn.base,check_array,616,20,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.816586
No,sklearn,sklearn.base,check_array,619,20,No,0,1,Found no referenced functions,,None,2025-02-08 13:20:50.816586
