Type-Aware?,Library,Runtime [s],Date
Yes,sklearn,1796.0953216552734,2025-02-27 06:28:33.024693
Yes,sklearn,1779.5167169570923,2025-02-27 15:39:40.839311
No,sklearn,23551.027505397797,2025-02-28 02:50:07.051244
No,sklearn,24431.014364242554,2025-02-28 19:07:47.771899
Yes,sklearn,18440.7789914608,2025-03-02 12:41:29.620196,Laptop
Yes,sklearn,10904.923413515091,2025-03-02 19:22:21.215930
Yes,sklearn,11514.653926372528,2025-03-03 16:43:21.056445
Yes,sklearn,11629.927609205246,2025-03-04 04:42:15.655704
No,sklearn,25774.941451072693,2025-03-04 19:31:57.685722
No,sklearn,27366.6572637558,2025-03-06 10:44:49.251674
Yes,sklearn,12069.572953939438,2025-03-07 00:28:50.506534
