Type-Aware?,Library,InFunction,name,line,column,IsFromParameter,HasTypeInfo,InferredType,TypeHint,DocString,MissingTypesOnPath,TypeOutsideOfPackage,Decrease,Increase,FoundType
Yes,sklearn,sklearn.setup_module.133.0,get,139,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.setup_module.133.0,uniform,141,23,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.setup_module.133.0,iinfo,141,45,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.setup_module.133.0,int,142,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.setup_module.133.0,print,143,4,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.setup_module.133.0,seed,144,4,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.setup_module.133.0,seed,145,4,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._in_unstable_openblas_configuration.82.0,threadpool_info,89,19,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,sklearn,sklearn.utils._in_unstable_openblas_configuration.82.0,any,91,21,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._in_unstable_openblas_configuration.82.0,parse_version,97,36,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._in_unstable_openblas_configuration.82.0,get,101,27,No,No,No,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._in_unstable_openblas_configuration.82.0,get,102,32,No,No,No,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._in_unstable_openblas_configuration.82.0,parse_version,108,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils.safe_mask.115.0,asarray,131,11,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,sklearn,sklearn.utils.safe_mask.115.0,issubdtype,132,7,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils.safe_mask.115.0,arange,136,14,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils.safe_mask.115.0,hasattr,135,7,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils.axis0_safe_slice.141.0,safe_mask,174,17,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils.axis0_safe_slice.141.0,zeros,175,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._array_indexing.178.0,asarray,181,14,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,sklearn,sklearn.utils._array_indexing.178.0,issparse,180,7,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._array_indexing.178.0,list,183,14,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._array_indexing.178.0,isinstance,182,7,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._pandas_indexing.187.0,asarray,190,14,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,sklearn,sklearn.utils._pandas_indexing.187.0,_is_arraylike_not_scalar,189,7,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,sklearn,sklearn.utils._pandas_indexing.187.0,take,195,15,No,No,No,No,No,Yes,No,-0,+0,[]
Yes,sklearn,sklearn.utils._pandas_indexing.187.0,isinstance,192,35,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._pandas_indexing.187.0,isscalar,192,61,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._list_indexing.202.0,isscalar,204,7,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._list_indexing.202.0,isinstance,204,27,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._list_indexing.202.0,list,209,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._list_indexing.202.0,compress,209,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,type,250,32,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,ValueError,252,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,isinstance,248,7,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,tuple,248,23,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,keys,248,29,No,No,No,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,TypeError,255,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,_determine_key_type,260,25,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,_determine_key_type,261,24,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,ValueError,264,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,isinstance,253,7,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,set,269,21,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,_determine_key_type,270,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,ValueError,274,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,len,273,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,pop,275,15,No,No,No,No,No,No,No,-0,+0,[]
Yes,sklearn,sklearn.utils._determine_key_type.214.0,isinstance,268,7,No,Yes,Yes,No,No,No,No,-0,+0,[]
