Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Date
Yes,safeds,safeds.config._device,device,6,11,No,0,0,Found no referenced functions,torch.device.(),tests.data.safeds.config._device.torch,2025-01-03 22:49:52.198009
Yes,safeds,safeds.config._device,device,6,66,No,0,0,Found no referenced functions,torch.device.(),tests.data.safeds.config._device.torch,2025-01-03 22:49:52.199398
Yes,safeds,safeds.data.tabular.containers._column,rename,109,32,No,0,1,Found no referenced functions,data.rename.(),"NamedType(name='None', qname='builtins.None')",2025-01-03 22:49:52.980912
Yes,safeds,safeds.data.tabular.containers._column,_data_type,111,33,No,1,1,Found same amount of functions,ColumnType._data_type.(),tests.data.safeds.data.tabular.containers._column.ColumnType,2025-01-03 22:49:52.984235
Yes,safeds,safeds.data.tabular.containers._row,_from_pandas_dataframe,130,31,Yes,1,3,,Schema._from_pandas_dataframe.(),tests.data.safeds.data.tabular.containers._row.Schema,2025-01-03 22:49:52.985236
Yes,safeds,safeds.data.tabular.containers._table,_from_pandas_dataframe,424,31,Yes,1,3,,Schema._from_pandas_dataframe.(),tests.data.safeds.data.tabular.containers._table.Schema,2025-01-03 22:49:52.987233
Yes,safeds,safeds.data.tabular.containers._tagged_table,__init__,150,8,Yes,3,44,,super.().__init__.(),tests.data.safeds.data.tabular.containers._tagged_table.TaggedTable,2025-01-03 22:49:52.989229
Yes,safeds,safeds.data.tabular.containers._tagged_table,keep_only_columns,165,32,No,0,3,Found no referenced functions,_data.keep_only_columns.(),_data,2025-01-03 22:49:52.989229
Yes,safeds,safeds.data.tabular.containers._tagged_table,get_column,166,31,No,0,1,Found no referenced functions,_data.get_column.(),_data,2025-01-03 22:49:52.990221
Yes,safeds,safeds.data.tabular.containers._time_series,__init__,183,8,Yes,2,5,,super.().__init__.(),tests.data.safeds.data.tabular.containers._time_series.TimeSeries,2025-01-03 22:49:52.991538
Yes,safeds,safeds.data.tabular.containers._time_series,get_column,188,29,No,0,1,Found no referenced functions,_data.get_column.(),_data,2025-01-03 22:49:52.991538
Yes,safeds,safeds.exceptions._data,__init__,31,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._data.UnknownColumnNameError,2025-01-03 22:49:52.993570
Yes,safeds,safeds.exceptions._data,__init__,39,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._data.NonNumericColumnError,2025-01-03 22:49:52.994598
Yes,safeds,safeds.exceptions._data,__init__,50,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._data.MissingValuesColumnError,2025-01-03 22:49:52.995613
Yes,safeds,safeds.exceptions._data,__init__,67,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._data.DuplicateColumnNameError,2025-01-03 22:49:52.995613
Yes,safeds,safeds.exceptions._data,__init__,82,12,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._data.IndexOutOfBoundsError,2025-01-03 22:49:52.996657
Yes,safeds,safeds.exceptions._data,__init__,84,12,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._data.IndexOutOfBoundsError,2025-01-03 22:49:52.996657
Yes,safeds,safeds.exceptions._data,__init__,100,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._data.ColumnSizeError,2025-01-03 22:49:52.997669
Yes,safeds,safeds.exceptions._data,__init__,107,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._data.ColumnLengthMismatchError,2025-01-03 22:49:52.997669
Yes,safeds,safeds.exceptions._data,__init__,114,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._data.TransformerNotFittedError,2025-01-03 22:49:52.998754
Yes,safeds,safeds.exceptions._data,__init__,123,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._data.ValueNotPresentWhenFittedError,2025-01-03 22:49:52.998754
Yes,safeds,safeds.exceptions._data,__init__,133,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._data.WrongFileExtensionError,2025-01-03 22:49:52.999967
Yes,safeds,safeds.exceptions._data,__init__,143,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._data.IllegalSchemaModificationError,2025-01-03 22:49:52.999967
Yes,safeds,safeds.exceptions._data,__init__,150,8,Yes,3,44,,super.().__init__.(),tests.data.safeds.exceptions._data.ColumnIsTargetError,2025-01-03 22:49:53.001146
Yes,safeds,safeds.exceptions._data,__init__,157,8,Yes,3,44,,super.().__init__.(),tests.data.safeds.exceptions._data.ColumnIsTimeError,2025-01-03 22:49:53.002250
Yes,safeds,safeds.exceptions._data,__init__,164,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._data.IllegalFormatError,2025-01-03 22:49:53.002250
Yes,safeds,safeds.exceptions._generic,_check_lower_bound,77,13,No,3,3,Found same amount of functions,_lower_bound._check_lower_bound.(),tests.data.safeds.exceptions._generic.Bound,2025-01-03 22:49:53.005380
Yes,safeds,safeds.exceptions._generic,_check_upper_bound,77,57,No,3,3,Found same amount of functions,_upper_bound._check_upper_bound.(),tests.data.safeds.exceptions._generic.Bound,2025-01-03 22:49:53.006786
Yes,safeds,safeds.exceptions._generic,_str_lower_bound,81,47,No,3,3,Found same amount of functions,_lower_bound._str_lower_bound.(),tests.data.safeds.exceptions._generic.Bound,2025-01-03 22:49:53.007254
Yes,safeds,safeds.exceptions._generic,_str_lower_bound,87,50,No,3,3,Found same amount of functions,_lower_bound._str_lower_bound.(),tests.data.safeds.exceptions._generic.Bound,2025-01-03 22:49:53.007872
Yes,safeds,safeds.exceptions._generic,_str_upper_bound,81,82,No,3,3,Found same amount of functions,_upper_bound._str_upper_bound.(),tests.data.safeds.exceptions._generic.Bound,2025-01-03 22:49:53.007872
Yes,safeds,safeds.exceptions._generic,_str_upper_bound,87,85,No,3,3,Found same amount of functions,_upper_bound._str_upper_bound.(),tests.data.safeds.exceptions._generic.Bound,2025-01-03 22:49:53.007872
Yes,safeds,safeds.exceptions._generic,__init__,86,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._generic.OutOfBoundsError,2025-01-03 22:49:53.008914
Yes,safeds,safeds.exceptions._generic,__init__,185,8,Yes,3,44,,super.().__init__.(),tests.data.safeds.exceptions._generic.ClosedBound,2025-01-03 22:49:53.010005
Yes,safeds,safeds.exceptions._generic,__init__,242,8,Yes,3,44,,super.().__init__.(),tests.data.safeds.exceptions._generic.OpenBound,2025-01-03 22:49:53.010005
Yes,safeds,safeds.exceptions._ml,__init__,12,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._ml.DatasetContainsTargetError,2025-01-03 22:49:53.011042
Yes,safeds,safeds.exceptions._ml,__init__,26,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._ml.DatasetMissesFeaturesError,2025-01-03 22:49:53.011042
Yes,safeds,safeds.exceptions._ml,__init__,33,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._ml.DatasetMissesDataError,2025-01-03 22:49:53.012078
Yes,safeds,safeds.exceptions._ml,__init__,47,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._ml.LearningError,2025-01-03 22:49:53.012078
Yes,safeds,safeds.exceptions._ml,__init__,54,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._ml.ModelNotFittedError,2025-01-03 22:49:53.013218
Yes,safeds,safeds.exceptions._ml,__init__,68,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._ml.PredictionError,2025-01-03 22:49:53.013218
Yes,safeds,safeds.exceptions._ml,__init__,75,8,No,0,44,Found no referenced functions,super.().__init__.(),tests.data.safeds.exceptions._ml.UntaggedTableError,2025-01-03 22:49:53.014343
Yes,safeds,safeds.data.image.containers._image,all,109,16,No,0,1,Found no referenced functions,torch.all.(),tests.data.safeds.data.image.containers._image.torch,2025-01-03 22:49:53.025043
Yes,safeds,safeds.data.image.containers._image,_set_device,109,55,No,0,1,Found no referenced functions,other._set_device.(),"NamedType(name='object', qname='builtins.object')",2025-01-03 22:49:53.026091
Yes,safeds,safeds.data.tabular.containers._table,sort_columns,454,17,Yes,3,4,,self.sort_columns.(),tests.data.safeds.data.tabular.containers._table.Table,2025-01-03 22:49:53.027378
Yes,safeds,safeds.data.tabular.containers._table,sort_columns,455,17,No,0,4,Found no referenced functions,other.sort_columns.(),"NamedType(name='object', qname='builtins.object')",2025-01-03 22:49:53.027378
Yes,safeds,safeds.data.tabular.containers._tagged_table,__sizeof__,176,15,No,3,0,Found more functions than old purity analysis,Table.__sizeof__.(),tests.data.safeds.data.tabular.containers._tagged_table.Table,2025-01-03 22:49:53.030043
Yes,safeds,safeds.data.tabular.containers._time_series,__sizeof__,198,15,No,2,0,Found more functions than old purity analysis,TaggedTable.__sizeof__.(),tests.data.safeds.data.tabular.containers._time_series.TaggedTable,2025-01-03 22:49:53.031044
Yes,safeds,safeds.data.tabular.typing._schema,sum,112,15,No,0,0,Found no referenced functions,sum.(),builtins.sum,2025-01-03 22:49:53.031044
Yes,safeds,safeds.data.tabular.typing._schema,sum,112,62,No,0,0,Found no referenced functions,sum.(),builtins.sum,2025-01-03 22:49:53.032119
Yes,safeds,safeds.data.image.containers._image,crop,319,21,No,0,0,Found no referenced functions,func2.crop.(),tests.data.safeds.data.image.containers._image.func2,2025-01-03 22:49:53.241336
Yes,safeds,safeds.data.image.containers._image,adjust_brightness,383,20,No,0,0,Found no referenced functions,func2.adjust_brightness.(),tests.data.safeds.data.image.containers._image.func2,2025-01-03 22:49:53.243604
